"k","WSS","log_WSS","eta_squared","PRE"
1,73640.0000000028,11.2069436353471,0,
2,66312.6285365119,11.1021356336996,0.0995025999930835,0.0995025999930836
3,61756.7426562644,11.0309584413431,0.161369599996442,0.0687031411782903
4,58726.0158137535,10.9806381071851,0.202525586450961,0.0490752379765195
5,56522.6547911733,10.9423968065229,0.232446295611473,0.0375193343537566
6,54945.6351524409,10.9140995236002,0.253861554149392,0.0279006646902701
7,56335.2724293682,10.9390761264678,0.234990868694106,-0.0252911313714346
8,55376.3691191923,10.9219082315419,0.248012369375474,0.0170213663451825
9,52339.0619740751,10.8654982541443,0.289257713551425,0.0548484343308904
10,50672.6205847481,10.8331410157974,0.311887281575962,0.0318393438184354
