"variable","estimate","robust_se"
"treatment2_base",0.00245410651775038,0.0120846528877805
"treatment3_base",0.00697849130390035,0.0121865957953761
"respondent_age_base",-0.00318986956472859,0.000639398384810843
"married_base",-0.0112170244851795,0.0121864266252427
"hh_size_base",-0.0120554909226169,0.00332645877037672
"completed_primary_base",0.0165521099859195,0.0136619411470252
"completed_secondary_base",0.0362751864589416,0.0183488653601114
"work_occupation_base",-0.00799208514011282,0.0140712302008954
"loan_amount_dis_base",-0.0691769448525684,0.0245184459448485
"weekly_profit_base",0.00964961205782566,0.0733767682174198
"high_profits_base",-0.0116342298467567,0.011360156311666
"current_loan_base",-0.0025557137848764,0.014920854041911
"much_saved_base",-0.0338856772682669,0.024032462874157
"mobile_account_base",0.0184675542100976,0.0263906920453984
"hyperbolic_base",-0.00642194297240983,0.0139375778047343
"impatient_base",-0.0348786044465035,0.0112365824586786
"womans_income_share_base",-0.00626382093827083,0.0177581495735725
"above_m_median_base",-0.00539449634443542,0.0114955352289302
"spouse_fam_takes_base",-0.0307441740328321,0.0115151382572163
"F-test p-value",0.000000570009132036912,
"Observations",2959,
