"variable","control_mean","control_sd","account_mean","account_sd","disburse_mean","disburse_sd","p_control_vs_disburse","p_control_vs_account","p_disburse_vs_account","joint_p_value","pooled_p_value"
"branch1",0.236252545824847,0.424995543981719,0.232628398791541,0.422720213510589,0.233739837398374,0.423423816982189,0.895410577551966,0.849277629236909,0.9535011322136,0.981245191839646,0.852708653175351
"branch2",0.256619144602851,0.436989953814784,0.238670694864048,0.426485834055979,0.236788617886179,0.425327654240073,0.306238926854011,0.35332518792866,0.922421726622158,0.528081765880895,0.260191545409299
"branch3",0.126272912423625,0.332325937761013,0.149043303121853,0.356310607659965,0.123983739837398,0.329730590326693,0.881257952070924,0.136506298167615,0.101132696471159,0.192986501796393,0.437691262288518
"branch4",0.126272912423625,0.332325937761013,0.109768378650554,0.312758355666807,0.11890243902439,0.323838270541156,0.61301287394176,0.256354678663913,0.52965286422699,0.523622204984914,0.343050691421601
"branch5",0.0987780040733198,0.298515753438331,0.105740181268882,0.30765974241619,0.110772357723577,0.314009630140683,0.386164991404529,0.614133775137904,0.715405260924974,0.684698315557241,0.429306347987544
"branch6",0.155804480651731,0.362854683539077,0.164149043303122,0.370597417025047,0.175813008130081,0.380854569416287,0.232573979318233,0.617753930039849,0.485245069810486,0.487089673479143,0.329302164200023
"high profits",0.479633401221996,0.499839595090285,0.481369587109768,0.499904564845287,0.473577235772358,0.499555252993672,0.788215415912274,0.938475565016755,0.728891723338652,0.936034059557146,0.912564979038833
"repeat borrower",0.814663951120163,0.38876793691161,0.824773413897281,0.3803523594734,0.822154471544715,0.382577105467645,0.665360714988316,0.55850254821048,0.879464391179046,0.831856577799588,0.556815648589439
"hyperbolic",0.182281059063136,0.386272722482768,0.21852970795569,0.4134569220423,0.205284552845528,0.404114797310232,0.204101267302364,0.0449294021498334,0.463358891617837,0.127781546100977,0.058563291296097
"hides money",0.416496945010183,0.49322912930683,0.410876132930514,0.492240739198785,0.420731707317073,0.493927595044271,0.849021811548745,0.800076946545467,0.656848707838729,0.905385651197189,0.970353641100986
"respondent age (yrs)",35.9948979591837,8.94592622403741,36.0100704934542,9.05838473276554,35.7624872579001,8.7041896744538,0.563381189108112,0.969816917432351,0.536857400421126,0.787595693966967,0.756564538055944
"married",0.673116089613035,0.469313447380029,0.655589123867069,0.475415226367683,0.653455284552846,0.476111167029095,0.357499031183049,0.41099114237538,0.92022488791326,0.600340532128752,0.314745830085396
"household size",4.30448065173116,1.64603755675844,4.269889224572,1.54947626681602,4.22256097560976,1.7040013785825,0.266501928855869,0.638139019982266,0.519711813783359,0.536595898557861,0.362091816946672
"completed primary",0.793279022403259,0.405159941924327,0.80563947633434,0.395907006498858,0.806910569105691,0.394923287463216,0.448494647295145,0.490936642083042,0.943497931790791,0.704047793111064,0.403823271461733
"completed secondary",0.143584521384929,0.350846627821249,0.115810674723061,0.320159002216792,0.143292682926829,0.350549244537332,0.984852548821229,0.0702276827066679,0.0730782357824118,0.114506349114282,0.289615632835787
"other job",0.187372708757637,0.390409259621961,0.18932527693857,0.391964201705845,0.207317073170732,0.405590782791752,0.264314414019342,0.912772993908491,0.312594792792028,0.468293543745605,0.480578170404729
"loan amount (USD)",381.001074903824,213.507959684396,398.17472306143,215.295978036851,384.140413279133,207.188507829724,0.742753148359348,0.0720088839042709,0.14126971367716,0.158991753590149,0.218587234337585
"loan term 40 weeks",0.496945010183299,0.500245439281017,0.522658610271903,0.499738017321611,0.519308943089431,0.499881094794717,0.321425814552023,0.253203928133408,0.881603272187529,0.463110518347722,0.217975496536109
"group size",21.6500566251416,6.65993431300034,21.1209039548023,6.32634934338284,21.3821510297483,6.54916742748271,0.388720535602158,0.0877387975445245,0.400351834660531,0.232694486669043,0.137201090280292
"profit calculated (USD)",173.511088087654,208.477907633025,170.842900777511,236.803574672577,173.709637666186,214.737570155575,0.984079962582203,0.788010355092015,0.772597912297693,0.949157534968297,0.885210587148427
"profit self-report (USD)",117.030436750396,105.174946847093,122.994013651113,118.214146475227,121.079296522132,112.958122383537,0.424039152224266,0.23796566975227,0.704596824759263,0.484248538169458,0.252979071001781
"business assets (USD)",157.788850776533,244.626317561149,160.297210586275,247.365224268571,152.94850370506,247.383673673812,0.663309030793614,0.821107118856692,0.507470650680645,0.797073350586556,0.904925709700462
"inventory (USD)",492.863008268207,456.74688750939,482.586438402148,461.447597784551,487.090604209097,465.13356947791,0.781560120255297,0.620588643822937,0.828191030415667,0.884173719734703,0.655423569526471
"weekly hours business",99.5346232179226,47.7704578055377,98.8197381671702,47.2814660238751,96.2073170731707,46.8880368897487,0.119089926692831,0.737097961983826,0.219734344375489,0.259802363665952,0.275428564901346
"business age (yrs)",6.00918367346939,5.83050669510758,6.05342741935484,5.52675981139856,5.88265306122449,5.44613376016853,0.617207781184069,0.860841979575787,0.498648842551921,0.781807351882782,0.852834932808691
"has employees",0.404081632653061,0.952381925190417,0.373991935483871,0.879322388376289,0.373469387755102,0.919269486187026,0.460146302995427,0.466488382100346,0.989909573114388,0.698842242773643,0.39725418486402
"employee hours",17.7769857416813,33.8184901397374,17.2980866084046,33.8409134876637,16.3109756000643,34.8138318390123,0.341461915916583,0.75543544799531,0.52065425760864,0.624440571818854,0.466934614029145
"empowerment index",0.00435569803202013,0.234170413779316,0.00412500073804078,0.241406983680904,0.00524934590510206,0.235850423952677,0.933434035119141,0.982758114415863,0.916074459684331,0.993834790675574,0.971661149930244
"controls own earnings",0.762729124236252,0.425626462730886,0.770392749244713,0.420792199822245,0.786585365853659,0.409926334881981,0.206774703709377,0.684350986993436,0.390137063870583,0.435420867914868,0.336322046220885
"reports sharing pressure",0.341140529531568,0.474334044247336,0.315206445115811,0.464832156968477,0.349593495934959,0.477084053067301,0.691425639108449,0.222313142643274,0.105479393775135,0.240524998725042,0.632429643776143
"household business",0.406313645621181,0.49139471087175,0.403826787512588,0.490910791744346,0.385162601626016,0.486881176201451,0.338401096083753,0.910170602250805,0.39691927734856,0.577807385717644,0.537960610007741
"spouse business",0.345213849287169,0.475680214808322,0.348439073514602,0.476716001126232,0.334349593495935,0.472002491221245,0.612000530014325,0.880037913553602,0.509499445396002,0.787844374795983,0.838101123968647
"Impatient",0.428716904276986,0.49514480969529,0.425981873111782,0.494740144070557,0.445121951219512,0.497231997742192,0.463192034250421,0.902433094463287,0.390741054524018,0.65054782214761,0.725650877490268
"has savings",0.858452138492872,0.348763429732777,0.865055387713998,0.34183656895168,0.880081300813008,0.325031641774401,0.156946239168555,0.664894137997555,0.32407309180807,0.348852872684185,0.286966225947528
"amount saved (USD)",129.376272063815,227.474626961914,126.16314115475,203.766907579438,120.584433999548,195.337178805744,0.351731333151842,0.733004773518426,0.553468604104797,0.641280524832952,0.463483871136769
"mobile money account",0.966395112016293,0.180301702914705,0.94159113796576,0.234633134197454,0.967479674796748,0.177467632323126,0.904000404540795,0.00573037203393488,0.00391494134593561,0.00483871421945561,0.126223279802042
"MM agent distance (min)",4.45526613816535,5.68175093302389,4.42824858757062,6.06084288686155,4.69908466819222,5.5982180182825,0.377116880706936,0.921786133395263,0.326284316948059,0.55796362819178,0.652158162836929
"saves business",0.243488108720272,0.429430430966231,0.27683615819209,0.447687801846192,0.242562929061785,0.428878314084524,0.964486631483227,0.107504783810054,0.098964238994675,0.169711435024832,0.363781758861425
"household income (USD)",288.686490897837,230.339189896566,289.031597634937,223.420751896828,289.767486398782,246.63500288689,0.918307663705107,0.973819408655691,0.944180839739851,0.994522292225371,0.937830728596701
