"Row","missed_payment","missed_days_brac","principal_outstanding_brac","interest_outstanding_brac","savings_amt_brac","overdue_amount_brac"
"Mobile Account — Estimate",0.00564069193430881,0.0000604201861109871,1.48721228569957,0.175427348201992,1.07999768945073,0.297780522448002
"Mobile Account — Robust SE",0.00481989757481512,0.0000791237607766239,7.74509529807189,0.123113334333352,1.13062363521175,0.835616927772456
"Mobile Account — Robust p-value",0.241993427995346,0.445167246054755,0.847742053756033,0.154302134365849,0.339556273450034,0.721600652763277
"Mobile Disburse — Estimate",0.00809369676768432,0.0000459584321705291,5.38554346757592,0.10106237483821,1.25121977342042,-0.00441403686276298
"Mobile Disburse — Robust SE",0.00506808510524231,0.0000695556110070714,7.69451061255728,0.0832262117958505,1.11301112076849,0.709709770800456
"Mobile Disburse — Robust p-value",0.110392235461352,0.508836895017958,0.484041537958502,0.224743000854998,0.261045336892924,0.995038083136153
"Observations",2959,2959,2959,2959,2959,2959
"R-squared",0.149865652657719,0.12030347256585,0.183788971731993,0.246444944573808,0.181414853887777,0.0973194375314792
"Control mean",0.00814663951120163,0.0001148449897419,208.463902183752,1.33806913328807,34.4011244059742,1.18584521384929
"p-value MA=MD",0.672967314973918,0.8584180134931,0.612104407365713,0.529855021863367,0.880576455763815,0.654902658854289
