"Row","high_profits_base...2","high_profits_base...3","high_profits_base...4","high_profits_base...5","high_profits_base...6","high_profits_base...7","high_profits_base...8","high_profits_base...9","high_profits_base...10","high_profits_base...11","high_profits_base...12","high_profits_base...13","high_profits_base...14","high_profits_base...15","high_profits_base...16","high_profits_base...17","high_profits_base...18","high_profits_base","above_m_median_base...2","above_m_median_base...3","above_m_median_base...4","above_m_median_base...5","above_m_median_base...6","above_m_median_base...7","above_m_median_base...8","above_m_median_base...9","above_m_median_base...10","above_m_median_base...11","above_m_median_base...12","above_m_median_base...13","above_m_median_base...14","above_m_median_base...15","above_m_median_base...16","above_m_median_base...17","above_m_median_base...18","above_m_median_base","abovem_inventory_base...2","abovem_inventory_base...3","abovem_inventory_base...4","abovem_inventory_base...5","abovem_inventory_base...6","abovem_inventory_base...7","abovem_inventory_base...8","abovem_inventory_base...9","abovem_inventory_base...10","abovem_inventory_base...11","abovem_inventory_base...12","abovem_inventory_base...13","abovem_inventory_base...14","abovem_inventory_base...15","abovem_inventory_base...16","abovem_inventory_base...17","abovem_inventory_base...18","abovem_inventory_base","current_loan_base...2","current_loan_base...3","current_loan_base...4","current_loan_base...5","current_loan_base...6","current_loan_base...7","current_loan_base...8","current_loan_base...9","current_loan_base...10","current_loan_base...11","current_loan_base...12","current_loan_base...13","current_loan_base...14","current_loan_base...15","current_loan_base...16","current_loan_base...17","current_loan_base...18","current_loan_base","hyperbolic_base...2","hyperbolic_base...3","hyperbolic_base...4","hyperbolic_base...5","hyperbolic_base...6","hyperbolic_base...7","hyperbolic_base...8","hyperbolic_base...9","hyperbolic_base...10","hyperbolic_base...11","hyperbolic_base...12","hyperbolic_base...13","hyperbolic_base...14","hyperbolic_base...15","hyperbolic_base...16","hyperbolic_base...17","hyperbolic_base...18","hyperbolic_base","impatient_base...2","impatient_base...3","impatient_base...4","impatient_base...5","impatient_base...6","impatient_base...7","impatient_base...8","impatient_base...9","impatient_base...10","impatient_base...11","impatient_base...12","impatient_base...13","impatient_base...14","impatient_base...15","impatient_base...16","impatient_base...17","impatient_base...18","impatient_base","abovem_risk_base...2","abovem_risk_base...3","abovem_risk_base...4","abovem_risk_base...5","abovem_risk_base...6","abovem_risk_base...7","abovem_risk_base...8","abovem_risk_base...9","abovem_risk_base...10","abovem_risk_base...11","abovem_risk_base...12","abovem_risk_base...13","abovem_risk_base...14","abovem_risk_base...15","abovem_risk_base...16","abovem_risk_base...17","abovem_risk_base...18","abovem_risk_base","abovem_sav_base...2","abovem_sav_base...3","abovem_sav_base...4","abovem_sav_base...5","abovem_sav_base...6","abovem_sav_base...7","abovem_sav_base...8","abovem_sav_base...9","abovem_sav_base...10","abovem_sav_base...11","abovem_sav_base...12","abovem_sav_base...13","abovem_sav_base...14","abovem_sav_base...15","abovem_sav_base...16","abovem_sav_base...17","abovem_sav_base...18","abovem_sav_base","above_med_basset_base...2","above_med_basset_base...3","above_med_basset_base...4","above_med_basset_base...5","above_med_basset_base...6","above_med_basset_base...7","above_med_basset_base...8","above_med_basset_base...9","above_med_basset_base...10","above_med_basset_base...11","above_med_basset_base...12","above_med_basset_base...13","above_med_basset_base...14","above_med_basset_base...15","above_med_basset_base...16","above_med_basset_base...17","above_med_basset_base...18","above_med_basset_base","married_base...2","married_base...3","married_base...4","married_base...5","married_base...6","married_base...7","married_base...8","married_base...9","married_base...10","married_base...11","married_base...12","married_base...13","married_base...14","married_base...15","married_base...16","married_base...17","married_base...18","married_base","above_med_emp_base...2","above_med_emp_base...3","above_med_emp_base...4","above_med_emp_base...5","above_med_emp_base...6","above_med_emp_base...7","above_med_emp_base...8","above_med_emp_base...9","above_med_emp_base...10","above_med_emp_base...11","above_med_emp_base...12","above_med_emp_base...13","above_med_emp_base...14","above_med_emp_base...15","above_med_emp_base...16","above_med_emp_base...17","above_med_emp_base...18","above_med_emp_base","sent_fam_dummy_base...2","sent_fam_dummy_base...3","sent_fam_dummy_base...4","sent_fam_dummy_base...5","sent_fam_dummy_base...6","sent_fam_dummy_base...7","sent_fam_dummy_base...8","sent_fam_dummy_base...9","sent_fam_dummy_base...10","sent_fam_dummy_base...11","sent_fam_dummy_base...12","sent_fam_dummy_base...13","sent_fam_dummy_base...14","sent_fam_dummy_base...15","sent_fam_dummy_base...16","sent_fam_dummy_base...17","sent_fam_dummy_base...18","sent_fam_dummy_base","spouse_fam_takes_base...2","spouse_fam_takes_base...3","spouse_fam_takes_base...4","spouse_fam_takes_base...5","spouse_fam_takes_base...6","spouse_fam_takes_base...7","spouse_fam_takes_base...8","spouse_fam_takes_base...9","spouse_fam_takes_base...10","spouse_fam_takes_base...11","spouse_fam_takes_base...12","spouse_fam_takes_base...13","spouse_fam_takes_base...14","spouse_fam_takes_base...15","spouse_fam_takes_base...16","spouse_fam_takes_base...17","spouse_fam_takes_base...18","spouse_fam_takes_base","saving_goal_6_base...2","saving_goal_6_base...3","saving_goal_6_base...4","saving_goal_6_base...5","saving_goal_6_base...6","saving_goal_6_base...7","saving_goal_6_base...8","saving_goal_6_base...9","saving_goal_6_base...10","saving_goal_6_base...11","saving_goal_6_base...12","saving_goal_6_base...13","saving_goal_6_base...14","saving_goal_6_base...15","saving_goal_6_base...16","saving_goal_6_base...17","saving_goal_6_base...18","saving_goal_6_base","spouse_bus_base...2","spouse_bus_base...3","spouse_bus_base...4","spouse_bus_base...5","spouse_bus_base...6","spouse_bus_base...7","spouse_bus_base...8","spouse_bus_base...9","spouse_bus_base...10","spouse_bus_base...11","spouse_bus_base...12","spouse_bus_base...13","spouse_bus_base...14","spouse_bus_base...15","spouse_bus_base...16","spouse_bus_base...17","spouse_bus_base...18","spouse_bus_base","hh_bus_base...2","hh_bus_base...3","hh_bus_base...4","hh_bus_base...5","hh_bus_base...6","hh_bus_base...7","hh_bus_base...8","hh_bus_base...9","hh_bus_base...10","hh_bus_base...11","hh_bus_base...12","hh_bus_base...13","hh_bus_base...14","hh_bus_base...15","hh_bus_base...16","hh_bus_base...17","hh_bus_base...18","hh_bus_base","mm_close...2","mm_close...3","mm_close...4","mm_close...5","mm_close...6","mm_close...7","mm_close...8","mm_close...9","mm_close...10","mm_close...11","mm_close...12","mm_close...13","mm_close...14","mm_close...15","mm_close...16","mm_close...17","mm_close...18","mm_close"
"Mobile Account — Estimate",-13.9474560846969,,,,,,,,,,,,,,,,,,31.8945545449151,,,,,,,,,,,,,,,,,,-5.89712449330875,,,,,,,,,,,,,,,,,,30.6646168396268,,,,,,,,,,,,,,,,,,12.8425704139505,,,,,,,,,,,,,,,,,,-14.8317284970985,,,,,,,,,,,,,,,,,,30.1634351060268,,,,,,,,,,,,,,,,,,7.59174828691008,,,,,,,,,,,,,,,,,,32.5144197791534,,,,,,,,,,,,,,,,,,1.15766920123392,,,,,,,,,,,,,,,,,,5.61110437769639,,,,,,,,,,,,,,,,,,23.9340424398534,,,,,,,,,,,,,,,,,,7.96305652296638,,,,,,,,,,,,,,,,,,12.756581224973,,,,,,,,,,,,,,,,,,8.53387915618069,,,,,,,,,,,,,,,,,,15.6821593865457,,,,,,,,,,,,,,,,,,-20.9551076023419,,,,,,,,,,,,,,,,,
"Mobile Account — Robust SE",,31.6564282174068,,,,,,,,,,,,,,,,,,29.3739058200042,,,,,,,,,,,,,,,,,,29.1720963094525,,,,,,,,,,,,,,,,,,51.1401112219081,,,,,,,,,,,,,,,,,,26.8710449772341,,,,,,,,,,,,,,,,,,32.0537933288756,,,,,,,,,,,,,,,,,,42.8132755225857,,,,,,,,,,,,,,,,,,31.7492163890625,,,,,,,,,,,,,,,,,,28.4124772506889,,,,,,,,,,,,,,,,,,39.8168503822955,,,,,,,,,,,,,,,,,,37.3770602094527,,,,,,,,,,,,,,,,,,38.3607655893291,,,,,,,,,,,,,,,,,,29.999423640124,,,,,,,,,,,,,,,,,,27.5600648210634,,,,,,,,,,,,,,,,,,30.4935367286906,,,,,,,,,,,,,,,,,,32.436576472753,,,,,,,,,,,,,,,,,,35.0276175101868,,,,,,,,,,,,,,,,
"Mobile Account — Robust p-value",,,0.659554147872204,,,,,,,,,,,,,,,,,,0.277680585039198,,,,,,,,,,,,,,,,,,0.839818496105081,,,,,,,,,,,,,,,,,,0.548821311604498,,,,,,,,,,,,,,,,,,0.63274494834304,,,,,,,,,,,,,,,,,,0.643615252583134,,,,,,,,,,,,,,,,,,0.481174262820586,,,,,,,,,,,,,,,,,,0.81103778250026,,,,,,,,,,,,,,,,,,0.2525938909776,,,,,,,,,,,,,,,,,,0.97680751909374,,,,,,,,,,,,,,,,,,0.880682396427877,,,,,,,,,,,,,,,,,,0.532744744992703,,,,,,,,,,,,,,,,,,0.790695083094463,,,,,,,,,,,,,,,,,,0.643507003553082,,,,,,,,,,,,,,,,,,0.779612212166465,,,,,,,,,,,,,,,,,,0.628808993310252,,,,,,,,,,,,,,,,,,0.549737682542143,,,,,,,,,,,,,,,
"Mobile Disburse — Estimate",,,,44.3207064206369,,,,,,,,,,,,,,,,,,30.8892182644202,,,,,,,,,,,,,,,,,,29.6163540279432,,,,,,,,,,,,,,,,,,37.2639660272919,,,,,,,,,,,,,,,,,,67.593053749207,,,,,,,,,,,,,,,,,,76.6912773437525,,,,,,,,,,,,,,,,,,82.0166177433599,,,,,,,,,,,,,,,,,,36.5190014407549,,,,,,,,,,,,,,,,,,88.0433529924084,,,,,,,,,,,,,,,,,,-21.2576149193057,,,,,,,,,,,,,,,,,,56.5888406647897,,,,,,,,,,,,,,,,,,117.288360832765,,,,,,,,,,,,,,,,,,23.5213694110367,,,,,,,,,,,,,,,,,,75.9368807034448,,,,,,,,,,,,,,,,,,16.6724948997245,,,,,,,,,,,,,,,,,,30.8639713974428,,,,,,,,,,,,,,,,,,93.1269881431677,,,,,,,,,,,,,,
"Mobile Disburse — Robust SE",,,,,31.2266709612112,,,,,,,,,,,,,,,,,,27.7920507729603,,,,,,,,,,,,,,,,,,28.9999091779987,,,,,,,,,,,,,,,,,,52.226161806116,,,,,,,,,,,,,,,,,,27.1945789766,,,,,,,,,,,,,,,,,,32.042472975201,,,,,,,,,,,,,,,,,,40.2047084090734,,,,,,,,,,,,,,,,,,31.0004189038046,,,,,,,,,,,,,,,,,,29.0435488729867,,,,,,,,,,,,,,,,,,37.9683884054256,,,,,,,,,,,,,,,,,,37.0810787115122,,,,,,,,,,,,,,,,,,36.7908202156456,,,,,,,,,,,,,,,,,,29.5600242825637,,,,,,,,,,,,,,,,,,27.5689126185911,,,,,,,,,,,,,,,,,,30.3054733635042,,,,,,,,,,,,,,,,,,31.788544975747,,,,,,,,,,,,,,,,,,33.9236886050744,,,,,,,,,,,,,
"Mobile Disburse — Robust p-value",,,,,,0.15594639209836,,,,,,,,,,,,,,,,,,0.266499788589103,,,,,,,,,,,,,,,,,,0.307244775569222,,,,,,,,,,,,,,,,,,0.475604787106575,,,,,,,,,,,,,,,,,,0.0130092793283556,,,,,,,,,,,,,,,,,,0.016774973449052,,,,,,,,,,,,,,,,,,0.0414716577755037,,,,,,,,,,,,,,,,,,0.238917136074943,,,,,,,,,,,,,,,,,,0.00246233085916036,,,,,,,,,,,,,,,,,,0.575620406012302,,,,,,,,,,,,,,,,,,0.127132298868427,,,,,,,,,,,,,,,,,,0.0014527730913467,,,,,,,,,,,,,,,,,,0.426283028698465,,,,,,,,,,,,,,,,,,0.00592753890816027,,,,,,,,,,,,,,,,,,0.582273578263387,,,,,,,,,,,,,,,,,,0.331697107498187,,,,,,,,,,,,,,,,,,0.00609660985498565,,,,,,,,,,,,
"MA*interaction — Estimate",,,,,,,57.0738434795494,,,,,,,,,,,,,,,,,,-42.9491099751056,,,,,,,,,,,,,,,,,,39.4503678246993,,,,,,,,,,,,,,,,,,-21.2496457118505,,,,,,,,,,,,,,,,,,1.04612868648715,,,,,,,,,,,,,,,,,,64.2150118199802,,,,,,,,,,,,,,,,,,-26.0157993849903,,,,,,,,,,,,,,,,,,11.9992923341154,,,,,,,,,,,,,,,,,,-38.2050729523842,,,,,,,,,,,,,,,,,,18.9103300026198,,,,,,,,,,,,,,,,,,17.0238952157586,,,,,,,,,,,,,,,,,,-17.2134881523205,,,,,,,,,,,,,,,,,,9.56653121160372,,,,,,,,,,,,,,,,,,6.32211550897358,,,,,,,,,,,,,,,,,,9.87018114669065,,,,,,,,,,,,,,,,,,-6.33499411384766,,,,,,,,,,,,,,,,,,72.3633042076266,,,,,,,,,,,
"MA*interaction — Robust SE",,,,,,,,51.2547119517041,,,,,,,,,,,,,,,,,,50.9632680011522,,,,,,,,,,,,,,,,,,52.7999523927582,,,,,,,,,,,,,,,,,,57.718048338606,,,,,,,,,,,,,,,,,,59.9651075827605,,,,,,,,,,,,,,,,,,52.129354550717,,,,,,,,,,,,,,,,,,54.5120481190658,,,,,,,,,,,,,,,,,,51.3282087810719,,,,,,,,,,,,,,,,,,52.0164063754003,,,,,,,,,,,,,,,,,,53.2369477290645,,,,,,,,,,,,,,,,,,51.5795574073997,,,,,,,,,,,,,,,,,,51.1047217713273,,,,,,,,,,,,,,,,,,54.7168259178584,,,,,,,,,,,,,,,,,,63.7973515972304,,,,,,,,,,,,,,,,,,54.8764087445276,,,,,,,,,,,,,,,,,,53.0435583619434,,,,,,,,,,,,,,,,,,52.6603781009111,,,,,,,,,,
"MA*interaction — Robust p-value",,,,,,,,,0.265600644041,,,,,,,,,,,,,,,,,,0.399461658524626,,,,,,,,,,,,,,,,,,0.455042551898192,,,,,,,,,,,,,,,,,,0.712787073667599,,,,,,,,,,,,,,,,,,0.986082690061829,,,,,,,,,,,,,,,,,,0.218140234879149,,,,,,,,,,,,,,,,,,0.633232374401782,,,,,,,,,,,,,,,,,,0.815180740501146,,,,,,,,,,,,,,,,,,0.46273357217756,,,,,,,,,,,,,,,,,,0.722465755957493,,,,,,,,,,,,,,,,,,0.741392608456895,,,,,,,,,,,,,,,,,,0.736278797004623,,,,,,,,,,,,,,,,,,0.861223679383303,,,,,,,,,,,,,,,,,,0.921070390167264,,,,,,,,,,,,,,,,,,0.85727742011568,,,,,,,,,,,,,,,,,,0.904945540551543,,,,,,,,,,,,,,,,,,0.169534443653295,,,,,,,,,
"MD*interaction — Estimate",,,,,,,,,,51.2738576067581,,,,,,,,,,,,,,,,,,94.3794753953197,,,,,,,,,,,,,,,,,,80.1918270337885,,,,,,,,,,,,,,,,,,39.2371272523412,,,,,,,,,,,,,,,,,,5.82407377438591,,,,,,,,,,,,,,,,,,-15.9137198252298,,,,,,,,,,,,,,,,,,-21.0790807541763,,,,,,,,,,,,,,,,,,65.5321304172823,,,,,,,,,,,,,,,,,,-38.554603608595,,,,,,,,,,,,,,,,,,137.398832019913,,,,,,,,,,,,,,,,,,26.5027798620475,,,,,,,,,,,,,,,,,,-76.2596022683733,,,,,,,,,,,,,,,,,,127.201968605202,,,,,,,,,,,,,,,,,,-30.5492670527618,,,,,,,,,,,,,,,,,,138.989948761695,,,,,,,,,,,,,,,,,,89.6002196085249,,,,,,,,,,,,,,,,,,-53.4154955139606,,,,,,,,
