"Row","high_profits_base...2","high_profits_base...3","high_profits_base...4","high_profits_base...5","high_profits_base...6","high_profits_base...7","high_profits_base...8","high_profits_base...9","high_profits_base...10","high_profits_base...11","high_profits_base...12","high_profits_base...13","high_profits_base...14","high_profits_base...15","high_profits_base...16","high_profits_base...17","high_profits_base...18","high_profits_base","above_m_median_base...2","above_m_median_base...3","above_m_median_base...4","above_m_median_base...5","above_m_median_base...6","above_m_median_base...7","above_m_median_base...8","above_m_median_base...9","above_m_median_base...10","above_m_median_base...11","above_m_median_base...12","above_m_median_base...13","above_m_median_base...14","above_m_median_base...15","above_m_median_base...16","above_m_median_base...17","above_m_median_base...18","above_m_median_base","abovem_inventory_base...2","abovem_inventory_base...3","abovem_inventory_base...4","abovem_inventory_base...5","abovem_inventory_base...6","abovem_inventory_base...7","abovem_inventory_base...8","abovem_inventory_base...9","abovem_inventory_base...10","abovem_inventory_base...11","abovem_inventory_base...12","abovem_inventory_base...13","abovem_inventory_base...14","abovem_inventory_base...15","abovem_inventory_base...16","abovem_inventory_base...17","abovem_inventory_base...18","abovem_inventory_base","current_loan_base...2","current_loan_base...3","current_loan_base...4","current_loan_base...5","current_loan_base...6","current_loan_base...7","current_loan_base...8","current_loan_base...9","current_loan_base...10","current_loan_base...11","current_loan_base...12","current_loan_base...13","current_loan_base...14","current_loan_base...15","current_loan_base...16","current_loan_base...17","current_loan_base...18","current_loan_base","hyperbolic_base...2","hyperbolic_base...3","hyperbolic_base...4","hyperbolic_base...5","hyperbolic_base...6","hyperbolic_base...7","hyperbolic_base...8","hyperbolic_base...9","hyperbolic_base...10","hyperbolic_base...11","hyperbolic_base...12","hyperbolic_base...13","hyperbolic_base...14","hyperbolic_base...15","hyperbolic_base...16","hyperbolic_base...17","hyperbolic_base...18","hyperbolic_base","impatient_base...2","impatient_base...3","impatient_base...4","impatient_base...5","impatient_base...6","impatient_base...7","impatient_base...8","impatient_base...9","impatient_base...10","impatient_base...11","impatient_base...12","impatient_base...13","impatient_base...14","impatient_base...15","impatient_base...16","impatient_base...17","impatient_base...18","impatient_base","abovem_risk_base...2","abovem_risk_base...3","abovem_risk_base...4","abovem_risk_base...5","abovem_risk_base...6","abovem_risk_base...7","abovem_risk_base...8","abovem_risk_base...9","abovem_risk_base...10","abovem_risk_base...11","abovem_risk_base...12","abovem_risk_base...13","abovem_risk_base...14","abovem_risk_base...15","abovem_risk_base...16","abovem_risk_base...17","abovem_risk_base...18","abovem_risk_base","abovem_sav_base...2","abovem_sav_base...3","abovem_sav_base...4","abovem_sav_base...5","abovem_sav_base...6","abovem_sav_base...7","abovem_sav_base...8","abovem_sav_base...9","abovem_sav_base...10","abovem_sav_base...11","abovem_sav_base...12","abovem_sav_base...13","abovem_sav_base...14","abovem_sav_base...15","abovem_sav_base...16","abovem_sav_base...17","abovem_sav_base...18","abovem_sav_base","above_med_basset_base...2","above_med_basset_base...3","above_med_basset_base...4","above_med_basset_base...5","above_med_basset_base...6","above_med_basset_base...7","above_med_basset_base...8","above_med_basset_base...9","above_med_basset_base...10","above_med_basset_base...11","above_med_basset_base...12","above_med_basset_base...13","above_med_basset_base...14","above_med_basset_base...15","above_med_basset_base...16","above_med_basset_base...17","above_med_basset_base...18","above_med_basset_base","married_base...2","married_base...3","married_base...4","married_base...5","married_base...6","married_base...7","married_base...8","married_base...9","married_base...10","married_base...11","married_base...12","married_base...13","married_base...14","married_base...15","married_base...16","married_base...17","married_base...18","married_base","above_med_emp_base...2","above_med_emp_base...3","above_med_emp_base...4","above_med_emp_base...5","above_med_emp_base...6","above_med_emp_base...7","above_med_emp_base...8","above_med_emp_base...9","above_med_emp_base...10","above_med_emp_base...11","above_med_emp_base...12","above_med_emp_base...13","above_med_emp_base...14","above_med_emp_base...15","above_med_emp_base...16","above_med_emp_base...17","above_med_emp_base...18","above_med_emp_base","sent_fam_dummy_base...2","sent_fam_dummy_base...3","sent_fam_dummy_base...4","sent_fam_dummy_base...5","sent_fam_dummy_base...6","sent_fam_dummy_base...7","sent_fam_dummy_base...8","sent_fam_dummy_base...9","sent_fam_dummy_base...10","sent_fam_dummy_base...11","sent_fam_dummy_base...12","sent_fam_dummy_base...13","sent_fam_dummy_base...14","sent_fam_dummy_base...15","sent_fam_dummy_base...16","sent_fam_dummy_base...17","sent_fam_dummy_base...18","sent_fam_dummy_base","spouse_fam_takes_base...2","spouse_fam_takes_base...3","spouse_fam_takes_base...4","spouse_fam_takes_base...5","spouse_fam_takes_base...6","spouse_fam_takes_base...7","spouse_fam_takes_base...8","spouse_fam_takes_base...9","spouse_fam_takes_base...10","spouse_fam_takes_base...11","spouse_fam_takes_base...12","spouse_fam_takes_base...13","spouse_fam_takes_base...14","spouse_fam_takes_base...15","spouse_fam_takes_base...16","spouse_fam_takes_base...17","spouse_fam_takes_base...18","spouse_fam_takes_base","saving_goal_6_base...2","saving_goal_6_base...3","saving_goal_6_base...4","saving_goal_6_base...5","saving_goal_6_base...6","saving_goal_6_base...7","saving_goal_6_base...8","saving_goal_6_base...9","saving_goal_6_base...10","saving_goal_6_base...11","saving_goal_6_base...12","saving_goal_6_base...13","saving_goal_6_base...14","saving_goal_6_base...15","saving_goal_6_base...16","saving_goal_6_base...17","saving_goal_6_base...18","saving_goal_6_base","spouse_bus_base...2","spouse_bus_base...3","spouse_bus_base...4","spouse_bus_base...5","spouse_bus_base...6","spouse_bus_base...7","spouse_bus_base...8","spouse_bus_base...9","spouse_bus_base...10","spouse_bus_base...11","spouse_bus_base...12","spouse_bus_base...13","spouse_bus_base...14","spouse_bus_base...15","spouse_bus_base...16","spouse_bus_base...17","spouse_bus_base...18","spouse_bus_base","hh_bus_base...2","hh_bus_base...3","hh_bus_base...4","hh_bus_base...5","hh_bus_base...6","hh_bus_base...7","hh_bus_base...8","hh_bus_base...9","hh_bus_base...10","hh_bus_base...11","hh_bus_base...12","hh_bus_base...13","hh_bus_base...14","hh_bus_base...15","hh_bus_base...16","hh_bus_base...17","hh_bus_base...18","hh_bus_base","mm_close...2","mm_close...3","mm_close...4","mm_close...5","mm_close...6","mm_close...7","mm_close...8","mm_close...9","mm_close...10","mm_close...11","mm_close...12","mm_close...13","mm_close...14","mm_close...15","mm_close...16","mm_close...17","mm_close...18","mm_close"
"Mobile Account — Estimate",6.00223653649641,,,,,,,,,,,,,,,,,,2.76972619820572,,,,,,,,,,,,,,,,,,6.66570017277402,,,,,,,,,,,,,,,,,,-1.09628600284037,,,,,,,,,,,,,,,,,,3.35911607411656,,,,,,,,,,,,,,,,,,4.4446730374897,,,,,,,,,,,,,,,,,,-10.3116190269647,,,,,,,,,,,,,,,,,,5.17691486371416,,,,,,,,,,,,,,,,,,3.29109261905605,,,,,,,,,,,,,,,,,,4.36772707329305,,,,,,,,,,,,,,,,,,3.71830166108246,,,,,,,,,,,,,,,,,,-1.83938478405139,,,,,,,,,,,,,,,,,,0.523294635001427,,,,,,,,,,,,,,,,,,5.78873904800062,,,,,,,,,,,,,,,,,,1.64433746052388,,,,,,,,,,,,,,,,,,0.383620094115656,,,,,,,,,,,,,,,,,,6.25272203251066,,,,,,,,,,,,,,,,,
"Mobile Account — Robust SE",,4.18880014523066,,,,,,,,,,,,,,,,,,5.01565010777714,,,,,,,,,,,,,,,,,,4.74385297697231,,,,,,,,,,,,,,,,,,7.25682504085784,,,,,,,,,,,,,,,,,,4.06997678500907,,,,,,,,,,,,,,,,,,5.09537466885953,,,,,,,,,,,,,,,,,,6.09649940158979,,,,,,,,,,,,,,,,,,4.93739682303204,,,,,,,,,,,,,,,,,,5.08114306348174,,,,,,,,,,,,,,,,,,6.86973520819266,,,,,,,,,,,,,,,,,,5.20002447945691,,,,,,,,,,,,,,,,,,6.3655216968855,,,,,,,,,,,,,,,,,,4.46852158502535,,,,,,,,,,,,,,,,,,4.13007608575281,,,,,,,,,,,,,,,,,,4.8994905687112,,,,,,,,,,,,,,,,,,5.17592305444824,,,,,,,,,,,,,,,,,,5.0977226563467,,,,,,,,,,,,,,,,
"Mobile Account — Robust p-value",,,0.152020961312809,,,,,,,,,,,,,,,,,,0.580855773371189,,,,,,,,,,,,,,,,,,0.160125304095344,,,,,,,,,,,,,,,,,,0.879934587707985,,,,,,,,,,,,,,,,,,0.40926762924796,,,,,,,,,,,,,,,,,,0.383142052596452,,,,,,,,,,,,,,,,,,0.0909016783772698,,,,,,,,,,,,,,,,,,0.294518096338122,,,,,,,,,,,,,,,,,,0.517241788558158,,,,,,,,,,,,,,,,,,0.524977536480579,,,,,,,,,,,,,,,,,,0.474650943366295,,,,,,,,,,,,,,,,,,0.772638701685756,,,,,,,,,,,,,,,,,,0.906786015629364,,,,,,,,,,,,,,,,,,0.161173637030815,,,,,,,,,,,,,,,,,,0.737193905122667,,,,,,,,,,,,,,,,,,0.940924591511062,,,,,,,,,,,,,,,,,,0.22011453397325,,,,,,,,,,,,,,,
"Mobile Disburse — Estimate",,,,5.94185823947917,,,,,,,,,,,,,,,,,,8.27570563786473,,,,,,,,,,,,,,,,,,14.474077487575,,,,,,,,,,,,,,,,,,12.9408348885469,,,,,,,,,,,,,,,,,,16.2105114896765,,,,,,,,,,,,,,,,,,24.3533641170535,,,,,,,,,,,,,,,,,,15.2244515816474,,,,,,,,,,,,,,,,,,14.3088146204448,,,,,,,,,,,,,,,,,,14.549325711891,,,,,,,,,,,,,,,,,,5.37767482533165,,,,,,,,,,,,,,,,,,15.0784225389688,,,,,,,,,,,,,,,,,,21.3511502678222,,,,,,,,,,,,,,,,,,9.59129595594654,,,,,,,,,,,,,,,,,,19.4560528620413,,,,,,,,,,,,,,,,,,13.65861641377,,,,,,,,,,,,,,,,,,13.5474393622798,,,,,,,,,,,,,,,,,,21.990045776386,,,,,,,,,,,,,,
"Mobile Disburse — Robust SE",,,,,4.53011230425658,,,,,,,,,,,,,,,,,,4.88843024725099,,,,,,,,,,,,,,,,,,4.75221766021832,,,,,,,,,,,,,,,,,,7.13132889419929,,,,,,,,,,,,,,,,,,4.04802161701327,,,,,,,,,,,,,,,,,,4.9246324906094,,,,,,,,,,,,,,,,,,5.62686647765001,,,,,,,,,,,,,,,,,,4.73248648976747,,,,,,,,,,,,,,,,,,4.91438947119554,,,,,,,,,,,,,,,,,,6.31138273047174,,,,,,,,,,,,,,,,,,5.09981686370244,,,,,,,,,,,,,,,,,,6.37530977185598,,,,,,,,,,,,,,,,,,4.33584901263072,,,,,,,,,,,,,,,,,,3.94176886843863,,,,,,,,,,,,,,,,,,4.7363466018811,,,,,,,,,,,,,,,,,,5.10140325896991,,,,,,,,,,,,,,,,,,4.71184158821234,,,,,,,,,,,,,
"Mobile Disburse — Robust p-value",,,,,,0.189779477441146,,,,,,,,,,,,,,,,,,0.0906125031562413,,,,,,,,,,,,,,,,,,0.00234845765285852,,,,,,,,,,,,,,,,,,0.0697141497848343,,,,,,,,,,,,,,,,,,0.0000641910306563317,,,,,,,,,,,,,,,,,,0.00000081796109791164,,,,,,,,,,,,,,,,,,0.00686910270097075,,,,,,,,,,,,,,,,,,0.00252722612402607,,,,,,,,,,,,,,,,,,0.00310359460869198,,,,,,,,,,,,,,,,,,0.394273452030763,,,,,,,,,,,,,,,,,,0.00314292238196793,,,,,,,,,,,,,,,,,,0.000824568257411701,,,,,,,,,,,,,,,,,,0.0270624367749885,,,,,,,,,,,,,,,,,,0.000000857674440948852,,,,,,,,,,,,,,,,,,0.00396731869781205,,,,,,,,,,,,,,,,,,0.00797301158367082,,,,,,,,,,,,,,,,,,0.00000323997788380827,,,,,,,,,,,,
"MA*interaction — Estimate",,,,,,,-6.43148310895891,,,,,,,,,,,,,,,,,,0.310674870625963,,,,,,,,,,,,,,,,,,-7.22653902698104,,,,,,,,,,,,,,,,,,4.78346597762081,,,,,,,,,,,,,,,,,,-1.39362418868857,,,,,,,,,,,,,,,,,,-3.5810431986458,,,,,,,,,,,,,,,,,,20.7841294050369,,,,,,,,,,,,,,,,,,-4.57708954634379,,,,,,,,,,,,,,,,,,-0.571919293520125,,,,,,,,,,,,,,,,,,-2.28505277853306,,,,,,,,,,,,,,,,,,-1.67545303815516,,,,,,,,,,,,,,,,,,7.39620430534315,,,,,,,,,,,,,,,,,,5.4213303100816,,,,,,,,,,,,,,,,,,-13.1512588341671,,,,,,,,,,,,,,,,,,3.05174165041672,,,,,,,,,,,,,,,,,,5.39201706117513,,,,,,,,,,,,,,,,,,-7.29158676436798,,,,,,,,,,,
"MA*interaction — Robust SE",,,,,,,,7.7269885176295,,,,,,,,,,,,,,,,,,7.35092122025545,,,,,,,,,,,,,,,,,,7.85592431034164,,,,,,,,,,,,,,,,,,8.26574918433028,,,,,,,,,,,,,,,,,,8.92816652191074,,,,,,,,,,,,,,,,,,7.99484191912191,,,,,,,,,,,,,,,,,,8.0219874669282,,,,,,,,,,,,,,,,,,7.79018496805412,,,,,,,,,,,,,,,,,,7.75997515234406,,,,,,,,,,,,,,,,,,8.47700513461773,,,,,,,,,,,,,,,,,,7.83904864272592,,,,,,,,,,,,,,,,,,8.12226305514005,,,,,,,,,,,,,,,,,,8.39734847320953,,,,,,,,,,,,,,,,,,10.0061926702146,,,,,,,,,,,,,,,,,,8.10971982059241,,,,,,,,,,,,,,,,,,7.94893717700668,,,,,,,,,,,,,,,,,,7.84356027717457,,,,,,,,,,
"MA*interaction — Robust p-value",,,,,,,,,0.405307044600448,,,,,,,,,,,,,,,,,,0.966292552284053,,,,,,,,,,,,,,,,,,0.357733959243673,,,,,,,,,,,,,,,,,,0.562844413798957,,,,,,,,,,,,,,,,,,0.875974007734405,,,,,,,,,,,,,,,,,,0.654255494319942,,,,,,,,,,,,,,,,,,0.00963573869275725,,,,,,,,,,,,,,,,,,0.556897411634791,,,,,,,,,,,,,,,,,,0.941254844979828,,,,,,,,,,,,,,,,,,0.787524779634676,,,,,,,,,,,,,,,,,,0.830776056255423,,,,,,,,,,,,,,,,,,0.36260101253927,,,,,,,,,,,,,,,,,,0.518605416182601,,,,,,,,,,,,,,,,,,0.18887787696072,,,,,,,,,,,,,,,,,,0.706725109371305,,,,,,,,,,,,,,,,,,0.497632471486851,,,,,,,,,,,,,,,,,,0.352665865059857,,,,,,,,,
"MD*interaction — Estimate",,,,,,,,,,24.6116172773468,,,,,,,,,,,,,,,,,,22.6705893766742,,,,,,,,,,,,,,,,,,6.81040559720523,,,,,,,,,,,,,,,,,,5.76293530180749,,,,,,,,,,,,,,,,,,7.09598480328868,,,,,,,,,,,,,,,,,,-15.180931393057,,,,,,,,,,,,,,,,,,3.7517195445256,,,,,,,,,,,,,,,,,,6.6169073939455,,,,,,,,,,,,,,,,,,6.47968273441774,,,,,,,,,,,,,,,,,,18.5332741609592,,,,,,,,,,,,,,,,,,4.93639712624713,,,,,,,,,,,,,,,,,,-5.87056609519124,,,,,,,,,,,,,,,,,,22.610632005061,,,,,,,,,,,,,,,,,,-8.42163062446965,,,,,,,,,,,,,,,,,,10.3888605034328,,,,,,,,,,,,,,,,,,9.27203347091306,,,,,,,,,,,,,,,,,,-9.51909486398707,,,,,,,,
