"Row","high_profits_base...2","high_profits_base...3","high_profits_base...4","high_profits_base...5","high_profits_base...6","high_profits_base...7","high_profits_base...8","high_profits_base...9","high_profits_base...10","high_profits_base...11","high_profits_base...12","high_profits_base...13","high_profits_base...14","high_profits_base...15","high_profits_base...16","high_profits_base...17","high_profits_base...18","high_profits_base","above_m_median_base...2","above_m_median_base...3","above_m_median_base...4","above_m_median_base...5","above_m_median_base...6","above_m_median_base...7","above_m_median_base...8","above_m_median_base...9","above_m_median_base...10","above_m_median_base...11","above_m_median_base...12","above_m_median_base...13","above_m_median_base...14","above_m_median_base...15","above_m_median_base...16","above_m_median_base...17","above_m_median_base...18","above_m_median_base","abovem_inventory_base...2","abovem_inventory_base...3","abovem_inventory_base...4","abovem_inventory_base...5","abovem_inventory_base...6","abovem_inventory_base...7","abovem_inventory_base...8","abovem_inventory_base...9","abovem_inventory_base...10","abovem_inventory_base...11","abovem_inventory_base...12","abovem_inventory_base...13","abovem_inventory_base...14","abovem_inventory_base...15","abovem_inventory_base...16","abovem_inventory_base...17","abovem_inventory_base...18","abovem_inventory_base","current_loan_base...2","current_loan_base...3","current_loan_base...4","current_loan_base...5","current_loan_base...6","current_loan_base...7","current_loan_base...8","current_loan_base...9","current_loan_base...10","current_loan_base...11","current_loan_base...12","current_loan_base...13","current_loan_base...14","current_loan_base...15","current_loan_base...16","current_loan_base...17","current_loan_base...18","current_loan_base","hyperbolic_base...2","hyperbolic_base...3","hyperbolic_base...4","hyperbolic_base...5","hyperbolic_base...6","hyperbolic_base...7","hyperbolic_base...8","hyperbolic_base...9","hyperbolic_base...10","hyperbolic_base...11","hyperbolic_base...12","hyperbolic_base...13","hyperbolic_base...14","hyperbolic_base...15","hyperbolic_base...16","hyperbolic_base...17","hyperbolic_base...18","hyperbolic_base","impatient_base...2","impatient_base...3","impatient_base...4","impatient_base...5","impatient_base...6","impatient_base...7","impatient_base...8","impatient_base...9","impatient_base...10","impatient_base...11","impatient_base...12","impatient_base...13","impatient_base...14","impatient_base...15","impatient_base...16","impatient_base...17","impatient_base...18","impatient_base","abovem_risk_base...2","abovem_risk_base...3","abovem_risk_base...4","abovem_risk_base...5","abovem_risk_base...6","abovem_risk_base...7","abovem_risk_base...8","abovem_risk_base...9","abovem_risk_base...10","abovem_risk_base...11","abovem_risk_base...12","abovem_risk_base...13","abovem_risk_base...14","abovem_risk_base...15","abovem_risk_base...16","abovem_risk_base...17","abovem_risk_base...18","abovem_risk_base","abovem_sav_base...2","abovem_sav_base...3","abovem_sav_base...4","abovem_sav_base...5","abovem_sav_base...6","abovem_sav_base...7","abovem_sav_base...8","abovem_sav_base...9","abovem_sav_base...10","abovem_sav_base...11","abovem_sav_base...12","abovem_sav_base...13","abovem_sav_base...14","abovem_sav_base...15","abovem_sav_base...16","abovem_sav_base...17","abovem_sav_base...18","abovem_sav_base","above_med_basset_base...2","above_med_basset_base...3","above_med_basset_base...4","above_med_basset_base...5","above_med_basset_base...6","above_med_basset_base...7","above_med_basset_base...8","above_med_basset_base...9","above_med_basset_base...10","above_med_basset_base...11","above_med_basset_base...12","above_med_basset_base...13","above_med_basset_base...14","above_med_basset_base...15","above_med_basset_base...16","above_med_basset_base...17","above_med_basset_base...18","above_med_basset_base","married_base...2","married_base...3","married_base...4","married_base...5","married_base...6","married_base...7","married_base...8","married_base...9","married_base...10","married_base...11","married_base...12","married_base...13","married_base...14","married_base...15","married_base...16","married_base...17","married_base...18","married_base","above_med_emp_base...2","above_med_emp_base...3","above_med_emp_base...4","above_med_emp_base...5","above_med_emp_base...6","above_med_emp_base...7","above_med_emp_base...8","above_med_emp_base...9","above_med_emp_base...10","above_med_emp_base...11","above_med_emp_base...12","above_med_emp_base...13","above_med_emp_base...14","above_med_emp_base...15","above_med_emp_base...16","above_med_emp_base...17","above_med_emp_base...18","above_med_emp_base","sent_fam_dummy_base...2","sent_fam_dummy_base...3","sent_fam_dummy_base...4","sent_fam_dummy_base...5","sent_fam_dummy_base...6","sent_fam_dummy_base...7","sent_fam_dummy_base...8","sent_fam_dummy_base...9","sent_fam_dummy_base...10","sent_fam_dummy_base...11","sent_fam_dummy_base...12","sent_fam_dummy_base...13","sent_fam_dummy_base...14","sent_fam_dummy_base...15","sent_fam_dummy_base...16","sent_fam_dummy_base...17","sent_fam_dummy_base...18","sent_fam_dummy_base","spouse_fam_takes_base...2","spouse_fam_takes_base...3","spouse_fam_takes_base...4","spouse_fam_takes_base...5","spouse_fam_takes_base...6","spouse_fam_takes_base...7","spouse_fam_takes_base...8","spouse_fam_takes_base...9","spouse_fam_takes_base...10","spouse_fam_takes_base...11","spouse_fam_takes_base...12","spouse_fam_takes_base...13","spouse_fam_takes_base...14","spouse_fam_takes_base...15","spouse_fam_takes_base...16","spouse_fam_takes_base...17","spouse_fam_takes_base...18","spouse_fam_takes_base","saving_goal_6_base...2","saving_goal_6_base...3","saving_goal_6_base...4","saving_goal_6_base...5","saving_goal_6_base...6","saving_goal_6_base...7","saving_goal_6_base...8","saving_goal_6_base...9","saving_goal_6_base...10","saving_goal_6_base...11","saving_goal_6_base...12","saving_goal_6_base...13","saving_goal_6_base...14","saving_goal_6_base...15","saving_goal_6_base...16","saving_goal_6_base...17","saving_goal_6_base...18","saving_goal_6_base","spouse_bus_base...2","spouse_bus_base...3","spouse_bus_base...4","spouse_bus_base...5","spouse_bus_base...6","spouse_bus_base...7","spouse_bus_base...8","spouse_bus_base...9","spouse_bus_base...10","spouse_bus_base...11","spouse_bus_base...12","spouse_bus_base...13","spouse_bus_base...14","spouse_bus_base...15","spouse_bus_base...16","spouse_bus_base...17","spouse_bus_base...18","spouse_bus_base","hh_bus_base...2","hh_bus_base...3","hh_bus_base...4","hh_bus_base...5","hh_bus_base...6","hh_bus_base...7","hh_bus_base...8","hh_bus_base...9","hh_bus_base...10","hh_bus_base...11","hh_bus_base...12","hh_bus_base...13","hh_bus_base...14","hh_bus_base...15","hh_bus_base...16","hh_bus_base...17","hh_bus_base...18","hh_bus_base","mm_close...2","mm_close...3","mm_close...4","mm_close...5","mm_close...6","mm_close...7","mm_close...8","mm_close...9","mm_close...10","mm_close...11","mm_close...12","mm_close...13","mm_close...14","mm_close...15","mm_close...16","mm_close...17","mm_close...18","mm_close"
"Mobile Account — Estimate",0.525543488191864,,,,,,,,,,,,,,,,,,0.28941019675623,,,,,,,,,,,,,,,,,,2.98469119548042,,,,,,,,,,,,,,,,,,-22.4511039334159,,,,,,,,,,,,,,,,,,-0.288510756497294,,,,,,,,,,,,,,,,,,-6.42877778844293,,,,,,,,,,,,,,,,,,-4.28080300295708,,,,,,,,,,,,,,,,,,-7.76385354213216,,,,,,,,,,,,,,,,,,5.01762892684105,,,,,,,,,,,,,,,,,,8.90482237491971,,,,,,,,,,,,,,,,,,-7.48222231196044,,,,,,,,,,,,,,,,,,-5.89906899084393,,,,,,,,,,,,,,,,,,9.99760223061287,,,,,,,,,,,,,,,,,,2.03538519679421,,,,,,,,,,,,,,,,,,6.13419035493312,,,,,,,,,,,,,,,,,,-0.71766548281167,,,,,,,,,,,,,,,,,,-0.978484229549967,,,,,,,,,,,,,,,,,
"Mobile Account — Robust SE",,12.8440126225402,,,,,,,,,,,,,,,,,,12.4706227412603,,,,,,,,,,,,,,,,,,11.5062143088904,,,,,,,,,,,,,,,,,,16.3887852732289,,,,,,,,,,,,,,,,,,10.0870977377728,,,,,,,,,,,,,,,,,,12.8052709702642,,,,,,,,,,,,,,,,,,19.1658273845517,,,,,,,,,,,,,,,,,,8.74156248303461,,,,,,,,,,,,,,,,,,10.7912416024462,,,,,,,,,,,,,,,,,,17.7632425748149,,,,,,,,,,,,,,,,,,15.6419234710045,,,,,,,,,,,,,,,,,,14.9693131801823,,,,,,,,,,,,,,,,,,10.7235217820554,,,,,,,,,,,,,,,,,,10.7098601524519,,,,,,,,,,,,,,,,,,12.3811224493694,,,,,,,,,,,,,,,,,,13.1664967120368,,,,,,,,,,,,,,,,,,12.412061357557,,,,,,,,,,,,,,,,
"Mobile Account — Robust p-value",,,0.967365455657934,,,,,,,,,,,,,,,,,,0.981486968877092,,,,,,,,,,,,,,,,,,0.795352228014682,,,,,,,,,,,,,,,,,,0.170855491820134,,,,,,,,,,,,,,,,,,0.977184636783084,,,,,,,,,,,,,,,,,,0.615688414355502,,,,,,,,,,,,,,,,,,0.823279107749593,,,,,,,,,,,,,,,,,,0.374554754108399,,,,,,,,,,,,,,,,,,0.641997151439739,,,,,,,,,,,,,,,,,,0.616205712064469,,,,,,,,,,,,,,,,,,0.632452690828831,,,,,,,,,,,,,,,,,,0.693561936943636,,,,,,,,,,,,,,,,,,0.351280501397486,,,,,,,,,,,,,,,,,,0.849289171526726,,,,,,,,,,,,,,,,,,0.620333951610552,,,,,,,,,,,,,,,,,,0.956536212937964,,,,,,,,,,,,,,,,,,0.937172336499244,,,,,,,,,,,,,,,
"Mobile Disburse — Estimate",,,,19.8373625591248,,,,,,,,,,,,,,,,,,12.072134927015,,,,,,,,,,,,,,,,,,30.5108091785228,,,,,,,,,,,,,,,,,,2.32894030126594,,,,,,,,,,,,,,,,,,9.18597206215225,,,,,,,,,,,,,,,,,,2.76646831799141,,,,,,,,,,,,,,,,,,12.6010035698879,,,,,,,,,,,,,,,,,,18.4777001541598,,,,,,,,,,,,,,,,,,22.6368989596403,,,,,,,,,,,,,,,,,,35.1300029098686,,,,,,,,,,,,,,,,,,12.3574004886319,,,,,,,,,,,,,,,,,,36.7958168199179,,,,,,,,,,,,,,,,,,9.12128102348412,,,,,,,,,,,,,,,,,,17.6906266062202,,,,,,,,,,,,,,,,,,34.1027690250013,,,,,,,,,,,,,,,,,,30.6390620904689,,,,,,,,,,,,,,,,,,10.676260925114,,,,,,,,,,,,,,
"Mobile Disburse — Robust SE",,,,,14.2499926500671,,,,,,,,,,,,,,,,,,13.5581554771727,,,,,,,,,,,,,,,,,,12.6096903163049,,,,,,,,,,,,,,,,,,17.6584868044668,,,,,,,,,,,,,,,,,,11.3763147799403,,,,,,,,,,,,,,,,,,14.0660749202317,,,,,,,,,,,,,,,,,,20.1356293359788,,,,,,,,,,,,,,,,,,10.8257952100171,,,,,,,,,,,,,,,,,,12.7624706728493,,,,,,,,,,,,,,,,,,18.8514823008088,,,,,,,,,,,,,,,,,,17.1956841852233,,,,,,,,,,,,,,,,,,17.8584541548702,,,,,,,,,,,,,,,,,,11.5076062528784,,,,,,,,,,,,,,,,,,12.0289423256992,,,,,,,,,,,,,,,,,,13.6702300700869,,,,,,,,,,,,,,,,,,14.6168101323387,,,,,,,,,,,,,,,,,,13.3032876829557,,,,,,,,,,,,,
"Mobile Disburse — Robust p-value",,,,,,0.164033548071107,,,,,,,,,,,,,,,,,,0.373350085202619,,,,,,,,,,,,,,,,,,0.0156165930288092,,,,,,,,,,,,,,,,,,0.895085006416181,,,,,,,,,,,,,,,,,,0.41948588490749,,,,,,,,,,,,,,,,,,0.844098710518534,,,,,,,,,,,,,,,,,,0.531506741616841,,,,,,,,,,,,,,,,,,0.0879959641318352,,,,,,,,,,,,,,,,,,0.0762493546322188,,,,,,,,,,,,,,,,,,0.062522750980055,,,,,,,,,,,,,,,,,,0.472442666901835,,,,,,,,,,,,,,,,,,0.0394759594183171,,,,,,,,,,,,,,,,,,0.428078298315195,,,,,,,,,,,,,,,,,,0.141522504257233,,,,,,,,,,,,,,,,,,0.0126799148707439,,,,,,,,,,,,,,,,,,0.0361823361181328,,,,,,,,,,,,,,,,,,0.42233404332227,,,,,,,,,,,,
"MA*interaction — Estimate",,,,,,,0.376618285348626,,,,,,,,,,,,,,,,,,2.07088403647806,,,,,,,,,,,,,,,,,,-2.8298696023121,,,,,,,,,,,,,,,,,,27.9902962071819,,,,,,,,,,,,,,,,,,3.16820930895837,,,,,,,,,,,,,,,,,,16.900929748968,,,,,,,,,,,,,,,,,,8.32690801112219,,,,,,,,,,,,,,,,,,17.2936618801248,,,,,,,,,,,,,,,,,,-7.67287985177478,,,,,,,,,,,,,,,,,,-11.1856070861857,,,,,,,,,,,,,,,,,,17.233546470079,,,,,,,,,,,,,,,,,,10.5096885187677,,,,,,,,,,,,,,,,,,-25.891111251708,,,,,,,,,,,,,,,,,,-3.62937683980019,,,,,,,,,,,,,,,,,,-13.5219125250973,,,,,,,,,,,,,,,,,,3.76234491584288,,,,,,,,,,,,,,,,,,3.57467081315405,,,,,,,,,,,
"MA*interaction — Robust SE",,,,,,,,20.6881887330619,,,,,,,,,,,,,,,,,,19.9689339345656,,,,,,,,,,,,,,,,,,20.4918494230675,,,,,,,,,,,,,,,,,,19.8987581297515,,,,,,,,,,,,,,,,,,27.6220123301808,,,,,,,,,,,,,,,,,,20.4483638993277,,,,,,,,,,,,,,,,,,22.9807845537294,,,,,,,,,,,,,,,,,,20.5737488604869,,,,,,,,,,,,,,,,,,20.9734534103637,,,,,,,,,,,,,,,,,,21.9868270769837,,,,,,,,,,,,,,,,,,20.9098418930789,,,,,,,,,,,,,,,,,,20.2713906811347,,,,,,,,,,,,,,,,,,24.2823027236919,,,,,,,,,,,,,,,,,,26.6928464205877,,,,,,,,,,,,,,,,,,21.7857541073372,,,,,,,,,,,,,,,,,,20.926129266667,,,,,,,,,,,,,,,,,,21.3096898080781,,,,,,,,,,
"MA*interaction — Robust p-value",,,,,,,,,0.985477353099062,,,,,,,,,,,,,,,,,,0.917412657127563,,,,,,,,,,,,,,,,,,0.890176103073979,,,,,,,,,,,,,,,,,,0.159676406111725,,,,,,,,,,,,,,,,,,0.90869437105651,,,,,,,,,,,,,,,,,,0.408600003406054,,,,,,,,,,,,,,,,,,0.717131035393907,,,,,,,,,,,,,,,,,,0.400680353786207,,,,,,,,,,,,,,,,,,0.714521267344767,,,,,,,,,,,,,,,,,,0.610984441102701,,,,,,,,,,,,,,,,,,0.409924405987773,,,,,,,,,,,,,,,,,,0.604196814307933,,,,,,,,,,,,,,,,,,0.286425352237109,,,,,,,,,,,,,,,,,,0.891858868747264,,,,,,,,,,,,,,,,,,0.534876403108816,,,,,,,,,,,,,,,,,,0.857332591477365,,,,,,,,,,,,,,,,,,0.866796430149212,,,,,,,,,
"MD*interaction — Estimate",,,,,,,,,,-24.0147011953668,,,,,,,,,,,,,,,,,,-8.38003888097095,,,,,,,,,,,,,,,,,,-44.2865519804712,,,,,,,,,,,,,,,,,,7.35415825514941,,,,,,,,,,,,,,,,,,-5.33595911370137,,,,,,,,,,,,,,,,,,13.0800798997202,,,,,,,,,,,,,,,,,,-6.9994197737196,,,,,,,,,,,,,,,,,,-21.0086281032702,,,,,,,,,,,,,,,,,,-29.3077713293855,,,,,,,,,,,,,,,,,,-39.5790314414495,,,,,,,,,,,,,,,,,,-6.93725588649535,,,,,,,,,,,,,,,,,,-44.3926813226426,,,,,,,,,,,,,,,,,,-3.27703910473946,,,,,,,,,,,,,,,,,,-37.7711670666345,,,,,,,,,,,,,,,,,,-66.8189654394426,,,,,,,,,,,,,,,,,,-50.0175741547018,,,,,,,,,,,,,,,,,,-4.58676163057373,,,,,,,,
