"Row","earn_business","much_saved","capital"
"Mobile Account — Estimate",0.0427270451906896,0.0816958701367219,0.0371548424072932
"Mobile Account — Robust SE",0.0301271269938459,0.0545167291757553,0.0362141164396819
"Mobile Account — Robust p-value",0.156270477709125,0.13419998305463,0.305016410677892
"Mobile Disburse — Estimate",0.149694574024244,0.0170272651469095,0.159386510874799
"Mobile Disburse — Robust SE",0.0291265823707601,0.0578191267080198,0.0345974079305731
"Mobile Disburse — Robust p-value",0.000000300521564226515,0.768422468289355,0.00000432322188779095
"Observations",2572,1920,2609
"R-squared",0.354263563288685,0.350472380763522,0.529278450981971
"Control mean",109.812184343434,155.329797979798,678.276653418758
"Control mean baseline",116.618220712218,134.323014030452,655.89806678638
"p-value MA=MD",0.000195622503764576,0.220301391241598,0.000273752341193522
