"Panel","Row","earn_business","much_saved","capital"
"Controlling for imbalanced variables at baseline","Mobile Account — Estimate",2.99583562208122,0.952068613310043,14.4280013513519
"Controlling for imbalanced variables at baseline","Mobile Account — Robust SE",3.61101910491403,9.55845894298015,24.1831212056243
"Controlling for imbalanced variables at baseline","Mobile Account — Robust p-value",0.406833727315169,0.920667114798436,0.550825990760899
"Controlling for imbalanced variables at baseline","Mobile Disburse — Estimate",17.5400756329969,7.4181237077267,67.7815898980557
"Controlling for imbalanced variables at baseline","Mobile Disburse — Robust SE",3.5362594368251,10.2334448906763,23.8299196705511
"Controlling for imbalanced variables at baseline","Mobile Disburse — Robust p-value",0.00000075847967224108,0.468596284756856,0.00449067157723394
"Controlling for imbalanced variables at baseline","Observations",2639,2639,2639
"Controlling for imbalanced variables at baseline","R-squared",0.440966799073082,0.349719739880249,0.513658439524585
"Controlling for imbalanced variables at baseline","Control mean",109.812184343434,155.329797979798,678.276653418758
"Controlling for imbalanced variables at baseline","Control mean baseline",116.618220712218,134.323014030452,655.89806678638
"Controlling for imbalanced variables at baseline","p-value MA=MD",0.0000536221733624931,0.499712662446628,0.0174605452244459
"Controlling for linear and quadratic time trend","Mobile Account — Estimate",3.56886810800685,0.44489725587683,15.3078864601466
"Controlling for linear and quadratic time trend","Mobile Account — Robust SE",3.60790036623637,9.5269163709666,24.2328825890626
"Controlling for linear and quadratic time trend","Mobile Account — Robust p-value",0.32268280682513,0.962757370136663,0.527649038426534
"Controlling for linear and quadratic time trend","Mobile Disburse — Estimate",17.0520291786272,8.96817364121869,66.9069947644614
"Controlling for linear and quadratic time trend","Mobile Disburse — Robust SE",3.54746821541228,10.2901405755738,24.0089766280624
"Controlling for linear and quadratic time trend","Mobile Disburse — Robust p-value",0.00000163680792592517,0.383559233668275,0.00536951842449169
"Controlling for linear and quadratic time trend","Observations",2639,2639,2639
"Controlling for linear and quadratic time trend","R-squared",0.440551246792844,0.346447267827546,0.512533321793337
"Controlling for linear and quadratic time trend","Control mean",109.812184343434,155.329797979798,678.276653418758
"Controlling for linear and quadratic time trend","Control mean baseline",116.618220712218,134.323014030452,655.89806678638
"Controlling for linear and quadratic time trend","p-value MA=MD",0.000186507491955729,0.375963334841696,0.0242654480797223
"Controlling for correlates of takeup","Mobile Account — Estimate",2.94327345819454,1.22914281620502,13.9295167898466
"Controlling for correlates of takeup","Mobile Account — Robust SE",3.61933165747645,9.50300872208866,24.1675197687353
"Controlling for correlates of takeup","Mobile Account — Robust p-value",0.416185897637006,0.897098437168046,0.564421558582371
"Controlling for correlates of takeup","Mobile Disburse — Estimate",17.661192717304,8.76138619135704,68.6071078328146
"Controlling for correlates of takeup","Mobile Disburse — Robust SE",3.54259423045962,10.2018607182918,23.8292053168352
"Controlling for correlates of takeup","Mobile Disburse — Robust p-value",0.000000666528772719438,0.390542604510243,0.00402628612483986
"Controlling for correlates of takeup","Observations",2639,2639,2639
"Controlling for correlates of takeup","R-squared",0.438673267294421,0.346928202509772,0.514547365896458
"Controlling for correlates of takeup","Control mean",109.812184343434,155.329797979798,678.276653418758
"Controlling for correlates of takeup","Control mean baseline",116.618220712218,134.323014030452,655.89806678638
"Controlling for correlates of takeup","p-value MA=MD",0.0000414721958066139,0.432337061529598,0.0145934273405678
