"Row","bus1","bus2","bus3","bus4","bus5","bus6","bus7","bus8","bus9","bus10","bus11","bus12","bus13","bus14","bus15","bus16","bus17","change_business"
"Mobile Account — Estimate",0.00525152346197681,-0.00275315965382924,-0.00000571266764346455,-0.0000710494684759947,0.00529714774673978,0.000516771407512143,-0.00424495855434598,-0.00765350425660183,-0.00604192810081611,-0.000868189247155622,-0.00973914332406295,0.0282091918737479,-0.00272886120417621,0.00968819731035065,0.0016037195006476,-0.00987521347973211,-0.00749627037792972,0.00175918306886977
"Mobile Account — Robust SE",0.00944111564106648,0.0137039127215773,0.00124998510963061,0.00288991985740622,0.0120039003060989,0.0090448613051194,0.0206950120577728,0.00594661803728848,0.00525269243847731,0.00396036651809174,0.00940731022736363,0.0155746878056236,0.0174928889171596,0.00929526598275981,0.00538903345798371,0.0178078849779606,0.00530821605500459,0.0179227434288266
"Mobile Account — Robust p-value",0.57810423853869,0.840793073820051,0.996353949113803,0.980388021527823,0.659050168946387,0.954443500327554,0.837497661266164,0.19821911597298,0.250165967101438,0.82649970813581,0.300656128707508,0.0702447059388521,0.876048832486451,0.297401386498076,0.766044961624238,0.579265268304591,0.158033777822201,0.921819158624025
"Mobile Disburse — Estimate",0.00206614515228238,-0.0167500144524145,0.00490816263163018,-0.00368032887420107,-0.0124825162761286,0.00639117941628534,0.0198399333847723,-0.00339031582502251,-0.00593080090235141,0.0000533860978911302,0.00561661392258229,0.0027011573261043,0.00894575365012352,0.012273414067141,-0.00418331113372614,-0.00945552451113332,-0.00499354628694401,-0.0133401214297412
"Mobile Disburse — Robust SE",0.00932679874564461,0.0137393013329456,0.00199341835307638,0.00237247988689123,0.0111796813795893,0.00948411011855767,0.0212392747301083,0.0063387840961421,0.00479453801357584,0.00402721052182014,0.010131909404723,0.0148073834219948,0.0181043240404783,0.0096049829880462,0.00445500108991284,0.0177051671086719,0.00601844597861404,0.0183379864027298
"Mobile Disburse — Robust p-value",0.824702302809396,0.222926561264968,0.0138864576917671,0.120985306992037,0.264316173572858,0.500457419125053,0.350348111790575,0.592806386464189,0.216223984561162,0.989424491961459,0.579397035566059,0.855270434090685,0.621269597321529,0.201450254964095,0.347827553399004,0.593358417706709,0.406795601806826,0.467022169294741
"Observations",2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2642
"R-squared",0.348994685992217,0.151369435928177,0.335749774247908,0.137365718229,0.16653123491589,0.174644428263009,0.174691554698071,0.126703947395374,0.190397641077005,0.154102631028949,0.175392861204347,0.176254736249335,0.177886213486199,0.168920176842196,0.142824738691741,0.164788296314549,0.147211686479921,0.16194370720822
"Control mean",0.0448791714614499,0.0863060989643268,0,0.00345224395857307,0.0598388952819333,0.0345224395857307,0.227848101265823,0.0172612197928654,0.0126582278481013,0.00690448791714614,0.0437284234752589,0.096662830840046,0.154200230149597,0.0333716915995397,0.00920598388952819,0.154200230149597,0.0149597238204833,0.841449603624009
"Control mean baseline",0.0488636363636364,0.00795454545454545,0.0829545454545455,0,0.00113636363636364,0.00340909090909091,0.0613636363636364,0,0.00340909090909091,0.0147727272727273,0.152272727272727,0.0443181818181818,0.0181818181818182,0.00340909090909091,0.00340909090909091,0.0340909090909091,0.15,
"p-value MA=MD",0.736169637177741,0.299597944744766,0.0139901718152412,0.0667991123837416,0.12434815056731,0.531181480689672,0.257057455516824,0.480948880360693,0.981223366125855,0.814736119991239,0.118177996033864,0.106408705812395,0.518810336908878,0.802786970974754,0.261028087702304,0.980849811710005,0.561946035888707,0.410449396164133
