"Row","other_work_earning","spouse_earning","otherhh_earning","spouse_bus_earn","otherhh_bus_earn","spouse_allearning","otherhh_allearning"
"Mobile Account — Estimate",-2.18342939213042,-2.93689356604646,2.0561343909666,3.28661795689938,-0.714879739735263,0.291132960496083,2.5057742828074
"Mobile Account — Robust SE",1.16227273580955,5.21862198001039,2.28530224723001,6.89112874530184,1.96670826438792,7.75840692392543,3.25050504433807
"Mobile Account — Robust p-value",0.0604324483156531,0.573647254053065,0.368366642549758,0.633455761179267,0.716273238964644,0.970070049591478,0.440855843006806
"Mobile Disburse — Estimate",-0.665039312894601,3.5054027110669,3.12842583598204,-0.653403418155643,-1.09621132829737,5.18601631558899,2.86419585918625
"Mobile Disburse — Robust SE",1.24708264211449,5.47832073405976,2.3501709075803,6.88210630805877,1.95625092721861,8.00802412068147,3.2549452554756
"Mobile Disburse — Robust p-value",0.59389607429819,0.522324586223297,0.183277358203416,0.924369205199774,0.575288344658559,0.517311816388718,0.37898085501324
"Observations",2642,2642,2642,2642,2642,2561,2642
"R-squared",0.179023853183138,0.167276815612004,0.163601870524342,0.162183095184283,0.151333743492278,0.328220538317517,0.268203172332596
"Control mean endline",7.06146973700768,51.9630047807877,15.7119045528928,78.0799029268839,10.6486725898993,132.653956111246,27.5874550659821
"Control mean baseline",18.4440669435007,,,,,117.626776440907,35.1343537764803
"p-value MA=MD",0.193365402406705,0.226615199794212,0.655747945983298,0.573934780059919,0.840769919650254,0.527451716998164,0.912063912592013
