"Row","switch_m","own_decision","equal_decision","control_money","remittance_share","womans_income_share","empower_1","empower_2"
"Mobile Account — Estimate",0.0468177044740257,0.0765367782820784,-0.0277347306940674,0.00586630252535121,-0.0208126750933926,0.0052595329229485,0.00771424518263098,0.0095546496068444
"Mobile Account — Robust SE",0.178653682098529,0.194065950295507,0.194285093218528,0.0183945429344411,0.0265245912701206,0.0149720493119563,0.0121317513991828,0.0193485634391185
"Mobile Account — Robust p-value",0.793321479513777,0.693334536771732,0.886498458864643,0.749820797361254,0.432872480066214,0.725404348558476,0.524925411652373,0.621484452494237
"Mobile Disburse — Estimate",0.179639211918109,0.386687287304725,-0.0293583294269059,0.0224467836571666,0.0198673479166207,0.014372003070088,0.0419342965961949,0.0466709475707901
"Mobile Disburse — Robust SE",0.177176666391278,0.192323730986408,0.188896530107716,0.0179043546083268,0.0256216232655024,0.0150995700988724,0.0114929136803054,0.019055806085578
"Mobile Disburse — Robust p-value",0.310835931542855,0.0444882234748663,0.876504270539502,0.210081637397743,0.438309626441444,0.341295176107802,0.000269661960185559,0.014395592843982
"Observations",1591,2642,2642,2642,1205,2630,2642,2642
"R-squared",0.299236973176405,0.412036248525693,0.297392291810178,0.226821994535624,0.328832469055529,0.281927751830156,0.21766836417379,0.255370716444455
"Control mean endline",5.39622641509434,7.58663646659117,4.5673839184598,0.813137032842582,0.752316910375798,0.546111426077808,-0.0559879183116937,0.0238536756483327
"Control mean baseline",5.14358108108108,7.01812004530011,5.14722536806342,0.758776896942242,0.792612272285924,0.556856599740794,0.00701631483171528,-0.00496806510929337
"p-value MA=MD",0.47535563346341,0.105539544050099,0.993212927795166,0.360940003071318,0.121619111980798,0.539723440225598,0.00273960395235554,0.0508412166002484
