"Row","group_talk","group_receivehelp","group_givehelp"
"Mobile Account — Estimate",0.139132083649909,-0.0920881091171214,-0.106888059962948
"Mobile Account — Robust SE",0.263713432667119,0.198998886408128,0.212267919867236
"Mobile Account — Robust p-value",0.597838104815831,0.643584121050151,0.614625937015198
"Mobile Disburse — Estimate",0.0520018242991001,0.0861210869963507,0.0766850835699693
"Mobile Disburse — Robust SE",0.263549674626689,0.202105420617444,0.221280608987452
"Mobile Disburse — Robust p-value",0.843600586399316,0.670062118660334,0.728961382042846
"Observations",2642,2642,2642
"R-squared",0.175922371064382,0.203856130653174,0.191909034166006
"Control mean endline",6.96149490373726,3.77349943374858,3.89694224235561
"p-value MA=MD",0.744029729179203,0.364800855578041,0.392912735088876
