"Row","happiness","life_satisfaction","worry_money","worry_money_dum"
"Mobile Account — Estimate",0.0247744347532796,0.0938937995968684,-0.030721898666001,-0.00316818223435863
"Mobile Account — Robust SE",0.0526386000045234,0.118765457809139,0.0588286332248543,0.0238102157435391
"Mobile Account — Robust p-value",0.637936172748724,0.429273060737018,0.60156488979863,0.894158195207565
"Mobile Disburse — Estimate",-0.0340367627236585,-0.188341596156852,-0.0986715960523932,-0.0573103547480545
"Mobile Disburse — Robust SE",0.0529693929034497,0.117994461509579,0.0584454539618266,0.0238408080672105
"Mobile Disburse — Robust p-value",0.520567234727232,0.11058951571925,0.0915015015172015,0.0163040148262333
"Observations",2636,2637,2629,2642
"R-squared",0.242221848489254,0.226927960508071,0.193467177803159,0.200344366099716
"Control mean endline",3.51080773606371,6.34431818181818,3.45102505694761,0.59682899207248
"Control mean baseline",3.7599093997735,6.44620611551529,,
"p-value MA=MD",0.265591201680639,0.0179554482574043,0.253939891098688,0.0245968365007533
