"Row","total_hoursbusiness","hours_week","adult_hoursbusiness","child_hoursbusiness","non_hhemployee","employee_hours"
"Mobile Account — Estimate",2.10356804942134,1.40769924747727,1.40312464293983,-0.730021511933435,-0.00714425705976827,-0.068508648506441
"Mobile Account — Robust SE",2.47038804079928,1.11896882391701,1.2898486091298,0.600046656960118,0.0450168480351561,1.57943156094377
"Mobile Account — Robust p-value",0.39457650143189,0.20851275014061,0.276794638523771,0.223885494353226,0.873918507546239,0.965406114914939
"Mobile Disburse — Estimate",-0.56010709327655,1.23715016527145,1.23823331364429,-0.714862609785646,-0.0730099578257233,-2.27256751144003
"Mobile Disburse — Robust SE",2.43997715442198,1.16079935849176,1.30159243758101,0.544001575567772,0.0430148883252862,1.51489849742254
"Mobile Disburse — Robust p-value",0.81845939441143,0.286641979233573,0.341546772205755,0.18895728854736,0.0897794943667966,0.133719538715741
"Observations",2642,2642,2604,2604,2606,2642
"R-squared",0.219347869438546,0.229497937316649,0.167907062255501,0.152613012613682,0.351451467128027,0.267363826915317
"Control mean",96.8912797281993,66.9773499433749,8.00920598388953,2.78020713463751,0.470655926352129,19.2955832389581
"Control mean baseline",99.7146092865232,74.4586636466591,5.21704545454545,2.30340909090909,0.400681044267877,17.7610418985546
"p-value MA=MD",0.2887905728782,0.881779127527161,0.907462537091287,0.979462060798153,0.129239079401714,0.152878848788945
