"Row","t_sales","sales","monthly_profit","weekly_profit"
"Mobile Account — Estimate",24.5397205180715,5.35253075700196,9.21773328854957,2.40003285966411
"Mobile Account — Robust SE",18.5568741921573,5.21539135158101,7.6151906204588,3.02925426144482
"Mobile Account — Robust p-value",0.186169974354058,0.30486490872581,0.226239559486141,0.428279600095818
"Mobile Disburse — Estimate",69.7118408009926,15.333449899554,25.7511508631676,7.96306696443682
"Mobile Disburse — Robust SE",19.1824335127164,5.32802928442343,7.49104077904674,3.16770042485547
"Mobile Disburse — Robust p-value",0.000285268742411281,0.00404199964639322,0.000597782481279821,0.0120133525727682
"Observations",2638,2638,2638,2638
"R-squared",0.327256306924242,0.265684844969342,0.27470273182674,0.167402251085281
"Control mean",372.744476010101,98.0719696969697,151.632891815359,38.0620004591617
"Control mean baseline",397.651684303351,98.9945515243134,172.925409009127,42.4456728996874
"p-value MA=MD",0.0179938216637921,0.0701669483371607,0.0519052265637562,0.103061748882952
