"Row","records_1","records_2","records_3","records_4"
"Mobile Account — Estimate",0.00369083743892826,-0.000984293928589882,-0.00633263286935717,-0.000843181055961536
"Mobile Account — Robust SE",0.0144254938141923,0.00366606211821343,0.0234423875145952,0.0233720876818653
"Mobile Account — Robust p-value",0.798086447065775,0.788348695898127,0.787080824444268,0.971224686057509
"Mobile Disburse — Estimate",0.00172577697763302,-0.00430541279498493,-0.0123343250375631,0.00454803570640401
"Mobile Disburse — Robust SE",0.0143347952644263,0.00291606143528703,0.0235230202997356,0.0234013765766278
"Mobile Disburse — Robust p-value",0.904184539781508,0.139966030389719,0.60008679684088,0.845920414466329
"Observations",2642,2642,2642,2642
"R-squared",0.17035433908186,0.226138536349211,0.210388506180886,0.232732766135093
"Control mean endline",0.0939977349943375,0.00679501698754247,0.616081540203851,0.561721404303511
"Control mean baseline",0.223103057757644,0.00339750849377123,0.501698754246886,0.431483578708947
"p-value MA=MD",0.894138051564942,0.216546817153431,0.800970886584903,0.819824204624552
