"Row","remittance_samount","remittance_ramount","net_remittancerec","remittance_mm","receive_remittance","sent_remittance"
"Mobile Account — Estimate",3.15697157472974,-1.46995397842213,0.474606420842057,-0.0065864207368679,-0.0310830394389109,0.0229185899841506
"Mobile Account — Robust SE",1.91271185282969,2.88445581079673,1.75640270454957,0.023090026748878,0.0225915365415364,0.022667816596809
"Mobile Account — Robust p-value",0.0989782684309786,0.610373962964175,0.787020021511637,0.775479621273223,0.169000995596292,0.312096972772452
"Mobile Disburse — Estimate",2.88118468719998,-1.06322421001663,0.387245492277071,-0.00820319942212688,-0.016700387244537,0.0279104836170194
"Mobile Disburse — Robust SE",1.85664536796332,2.85177704153721,1.54415532881206,0.0238149587108133,0.023274065897183,0.0230024069776405
"Mobile Disburse — Robust p-value",0.120847608529111,0.709311675806795,0.802006375131223,0.730536299017676,0.473108479417496,0.22511717505016
"Observations",2642,2642,2642,2642,2639,2639
"R-squared",0.226631111143874,0.211969070674782,0.144908570783402,0.192587640382096,0.180194962899266,0.209936085452519
"Control mean endline",16.1186611299862,23.8511387945137,1.89757136202345,0.371460928652322,0.338636363636364,0.335227272727273
"p-value MA=MD",0.884896942626315,0.888908993538613,0.954326018610124,0.944779918541651,0.528753410257337,0.828716587814637
