"Row","earn_business...2","much_saved...3","capital...4","earn_business...5","much_saved...6","capital...7","earn_business...8","much_saved...9","capital...10","earn_business...11","much_saved...12","capital...13","earn_business...14","much_saved...15","capital...16","earn_business...17","much_saved...18","capital...19","earn_business...20","much_saved...21","capital...22","earn_business...23","much_saved...24","capital...25","earn_business...26","much_saved...27","capital...28","earn_business...29","much_saved...30","capital...31","earn_business...32","much_saved...33","capital...34","earn_business","much_saved","capital"
"Mobile Account — Estimate",-0.500534564735046,2.60006082260833,15.3699597656576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile Account — Robust SE",6.02149135256085,14.9637156335596,37.3207962516714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile Account — Robust p-value",0.933759950905014,0.862071852735242,0.680501420305417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile Account — FDR q-value",,,,0.99,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile Disburse — Estimate",1.15264896696727,12.8476771755041,-20.9649847629227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile Disburse — Robust SE",5.670897834744,16.540370026086,36.3843480667326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile Disburse — Robust p-value",0.83895303277212,0.437391642525471,0.564532858676585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile Disburse — FDR q-value",,,,0.99,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA*self control — Estimate",-1.43089732558007,2.00625320434776,19.4214893986598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA*self control — Robust SE",8.0455866410183,20.505186532694,51.9545499992836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA*self control — Robust p-value",0.858858131393909,0.922067247645588,0.708576508411449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA*self control — FDR q-value",,,,0.99,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD*self control — Estimate",9.92033799883759,6.94370522632795,38.0628352288152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD*self control — Robust SE",7.55045804807299,21.3199205984759,50.2201688164018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD*self control — Robust p-value",0.18902596636365,0.744689122000303,0.448580360764367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD*self control — FDR q-value",,,,0.99,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA*family pressure — Estimate",9.04031248411777,-4.04756759323352,-24.8090406525747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA*family pressure — Robust SE",7.87173827474623,21.5166150222894,53.1751066523515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA*family pressure — Robust p-value",0.250906758265787,0.850804936986261,0.640865379318477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MA*family pressure — FDR q-value",,,,0.99,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD*family pressure — Estimate",30.2897966728276,-15.0320137272479,183.5542186914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD*family pressure — Robust SE",7.62619444450111,22.7404680024878,51.330912708769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD*family pressure — Robust p-value",0.0000736185318684883,0.50866551820109,0.000356542076874647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD*family pressure — FDR q-value",,,,,,,0.000404901925276686,0.932553450035331,0.000980490711405279,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Family pressure — Estimate",-10.7773491245957,26.0583349853755,8.45561483342556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Family pressure — Robust SE",5.52633437929897,16.5245834014383,40.1722161111531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Family pressure — Robust p-value",0.051281292156713,0.114952093760501,0.833309285170815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Family pressure — FDR q-value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Observations",,,,,,,,,,,,,2639,2639,2639,,,,,,,,,,,,,,,,,,,,,
"R-squared",,,,,,,,,,,,,,,,0.443703004326018,0.348617223634228,0.518845045711163,,,,,,,,,,,,,,,,,,
"Control mean self control",,,,,,,,,,,,,,,,,,,107.568306010929,141.680327868852,656.279736453197,,,,,,,,,,,,,,,
"Control mean family pressure",,,,,,,,,,,,,,,,,,,,,,106.204200178731,174.818290140006,726.441017378431,,,,,,,,,,,,
"Control mean baseline self-control",,,,,,,,,,,,,,,,,,,,,,,,,118.100036310821,123.717319353667,658.172059944253,,,,,,,,,
"Control mean baseline family pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,119.30890676199,146.283139708073,701.967777047656,,,,,,
"p-val MD self control=MD family pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0500775285503329,0.474582436256217,0.0447021252578148,,,
"p-val MA self control=MA family pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314310813017829,0.838053507627843,0.549573294936131
