"Row","give_spouse","gave_spouse","receive_spouse"
"Mobile Account — Estimate",-1.16421054270661,-0.0347443094173655,1.15316679146293
"Mobile Account — Robust SE",1.06357802709232,0.0306347257217228,2.67428654414167
"Mobile Account — Robust p-value",0.273900896585045,0.256955683927167,0.666395334549349
"Mobile Disburse — Estimate",-2.99356420083749,-0.0850164046872515,-0.506435253429778
"Mobile Disburse — Robust SE",0.983257733294138,0.0294584105844814,2.73679580620612
"Mobile Disburse — Robust p-value",0.0023803956989235,0.00397077395559756,0.853223150833513
"Observations",1613,1613,1613
"R-squared",0.241861090609012,0.288054411678979,0.268812876862371
"Control mean",6.07787606837607,0.297435897435897,43.8395061728395
"Control mean baseline",3.28075563000186,0.217755443886097,44.463986599665
"p-value MA=MD",0.072661374325944,0.0973530205005389,0.538002705052635
