"Row","hh_income","consumption_total","consump_food","consump_nonfood_exsch","consump_school"
"Mobile Account — Estimate",2.7902373819198,7.55294000146504,2.66955331784747,2.18646558093077,3.45049652587957
"Mobile Account — Robust SE",9.90490879235476,6.66300032279831,2.73107829873859,2.35762173077955,3.54334217953674
"Mobile Account — Robust p-value",0.778198002575402,0.257100151269095,0.328442283962951,0.353818485955898,0.330263742710814
"Mobile Disburse — Estimate",24.2051093176929,14.0716385740882,5.69321486770473,1.35371209069828,6.12871142323502
"Mobile Disburse — Robust SE",10.1329988532553,6.73912878699486,2.86268323864552,2.34630056952532,3.34405813859607
"Mobile Disburse — Robust p-value",0.0169895932214629,0.0369074408070627,0.0468497550072747,0.564027918223891,0.0669790484634019
"Observations",2642,2642,2642,2642,2642
"R-squared",0.325322131011276,0.336530503420019,0.244839966494008,0.197294447553869,0.394053283631148
"Control mean",280.479237285368,270.442436676198,112.766713188837,70.1340909063614,83.4996771985245
"Control mean baseline",289.231595038132,246.285116275602,110.651823430477,62.3072959493808,70.1906354184329
"p-value MA=MD",0.0303848038339882,0.333680852745161,0.292733272337448,0.731760866132286,0.433105917844834
