"Row","loan_use_business","loan_use_family","loan_use_school","loan_use_home","loan_use_exp","loan_use_sav","loan_use_loan"
"Mobile Account — Estimate",3.29914758885431,1.97535820089995,1.31925168999647,2.62159022522931,-0.0574949983209862,-2.64382555362414,-0.00063768150872597
"Mobile Account — Robust SE",6.60092248585587,1.42129122289975,1.85193338485387,2.94412872710623,0.08791086593885,3.21785988569229,0.0880305031054148
"Mobile Account — Robust p-value",0.617264903220378,0.164719222379903,0.476314158200212,0.373322774476108,0.513170291440265,0.411387454700863,0.994220931534996
"Mobile Disburse — Estimate",4.81025024041905,-7.98969548969858,-1.29766872190641,-8.13862924184186,0.0423274930268766,12.4187900278002,0.0100421318185916
"Mobile Disburse — Robust SE",6.54465354588547,1.36045395645463,1.73209387535225,2.63458964100532,0.0958096843047413,3.39955069563232,0.0705431900625188
"Mobile Disburse — Robust p-value",0.462423897040433,0.00000000493157298720596,0.45382186486526,0.00203227985458068,0.658686360470294,0.000265147688406894,0.886813056358151
"Observations",2642,2642,2642,2642,2642,2642,2642
"R-squared",0.200776340837759,0.205486048896532,0.165381217600573,0.161473977169656,0.208215023563794,0.164916171043358,0.109086753763631
"Control mean",212.344280860702,37.5298854913804,31.1060777651944,30.8040770101925,0.245375613439034,42.736252673965,0.11954196552158
"p-value MA=MD",0.821398604450373,0.000000000000367813379737906,0.140740494935176,0.00033560128066779,0.25041504353542,0.0000146672872674233,0.89160377773924
