"level","metric","value"
"1","communities_total",150
"1","control_villages",50
"1","door_to_door_villages",50
"1","small_group_villages",50
"2","control_census_population",9354
"2","control_baseline_households",1036
"2","control_complete_baseline_households",348
"2","door_to_door_census_population",9084
"2","door_to_door_baseline_households",1031
"2","door_to_door_complete_baseline_households",340
"2","small_group_census_population",11150
"2","small_group_baseline_households",1059
"2","small_group_complete_baseline_households",313
"3","door_to_door_intervention_vaccinated",2345
"3","door_to_door_attrited",523
"3","door_to_door_new_endline",263
"3","small_group_intervention_vaccinated",2426
"3","small_group_attrited",596
"3","small_group_new_endline",336
"4","door_to_door_endline_households",771
"4","door_to_door_complete_endline_households",264
"4","small_group_endline_households",799
"4","small_group_complete_endline_households",244
