"section","metric","value"
"vaccination_count","mean_vaccinated_baseline_treatment_community",8.63
"vaccination_count","sd_vaccinated_baseline_treatment_community",11.6173459650958
"vaccination_count","mean_vaccinated_endline_treatment_community",55.26
"vaccination_count","sd_vaccinated_endline_treatment_community",32.4188559672025
"cost","team_vaccinations_total",4771
"cost","cost_per_person_vaccinated_usd",32.7024732760428
"literature_review","unique_studies_excluding_this_study",144
"literature_review","share_interventions_null_effect",0.35042735042735
"literature_review","count_effectsize_below_26_1",223
"literature_review","count_nonmissing_effectsize",234
"literature_review","share_effectsize_below_26_1",0.952991452991453
"census","mean_people_per_community",197.253333333333
"census","total_people_enumerated",29588
"census","mean_households_per_community",39.3466666666667
"census","sd_households_per_community",23.2898245680734
"census_demographics","mean_age",22.3056095191841
"adult_vaccination","baseline_control_mean",0.0623853211009174
"adult_vaccination","baseline_treatment_mean",0.0945537978505012
"adult_vaccination","endline_treatment_mean",0.302378939741577
"adult_vaccination","baseline_ttest_p_value",0.00000000327239076833114
"adult_vaccination","baseline_fe_clustered_p_value",0.0146912131913142
"implementation","treatment_communities_zero_team_vaccination",2
"implementation","treatment_communities_positive_team_vaccination",98
"implementation","communities_at_least_50pct_adults_vaccinated",5
"baseline_count","control_mean",4.94
"baseline_count","treatment_mean",8.39
"baseline_count","ttest_p_value",0.0559536110908336
"literature_cost","share_interventions_with_cost_stated_excluding_this_study",0.141025641025641
"literature_cost","unique_studies_cost_same_as_other_arms",2
"literature_cost","mean_cost_effect_topcoded_source_rule",101.618112073923
"literature_cost","sd_cost_effect_topcoded_source_rule",161.847584327082
"implementation","remote_structures_excluded",10
"implementation","people_age12plus_in_remote_structures",40
