"table","variable","hh_gender","n","share","hh_size","anyschooling","farmer","vax_provenance","vaccine_type","attended","vaccinated_team","share_within_attendance"
"census_hh_gender","hh_gender",0,21760,0.735433283763688,,,,,,,,
"census_hh_gender","hh_gender",1,7828,0.264566716236312,,,,,,,,
"census_hh_size","hh_size",,156,0.00527240773286467,1,,,,,,,
"census_hh_size","hh_size",,922,0.0311612816006489,2,,,,,,,
"census_hh_size","hh_size",,2838,0.0959172637555766,3,,,,,,,
"census_hh_size","hh_size",,4680,0.15817223198594,4,,,,,,,
"census_hh_size","hh_size",,5690,0.192307692307692,5,,,,,,,
"census_hh_size","hh_size",,4806,0.162430715154792,6,,,,,,,
"census_hh_size","hh_size",,3444,0.116398539948628,7,,,,,,,
"census_hh_size","hh_size",,2504,0.0846289036095715,8,,,,,,,
"census_hh_size","hh_size",,1314,0.0444098959037448,9,,,,,,,
"census_hh_size","hh_size",,1260,0.0425848316885224,10,,,,,,,
"census_hh_size","hh_size",,605,0.0204474787075842,11,,,,,,,
"census_hh_size","hh_size",,288,0.0097336758145194,12,,,,,,,
"census_hh_size","hh_size",,351,0.0118629173989455,13,,,,,,,
"census_hh_size","hh_size",,252,0.00851696633770447,14,,,,,,,
"census_hh_size","hh_size",,180,0.00608354738407462,15,,,,,,,
"census_hh_size","hh_size",,96,0.0032445586048398,16,,,,,,,
"census_hh_size","hh_size",,68,0.00229822901176153,17,,,,,,,
"census_hh_size","hh_size",,72,0.00243341895362985,18,,,,,,,
"census_hh_size","hh_size",,19,0.000642152223874544,19,,,,,,,
"census_hh_size","hh_size",,21,0.000709747194808706,21,,,,,,,
"census_hh_size","hh_size",,22,0.000743544680275787,22,,,,,,,
"census_anyschooling","anyschooling",,23637,0.798871163985399,,0,,,,,,
"census_anyschooling","anyschooling",,5951,0.201128836014601,,1,,,,,,
"census_farmer","farmer",,4127,0.139482222522644,,,0,,,,,
"census_farmer","farmer",,25461,0.860517777477356,,,1,,,,,
"vaccination_provenance_outside_census","vax_provenance",,1230,0.529032258064516,,,,"Different community",,,,
"vaccination_provenance_outside_census","vax_provenance",,1095,0.470967741935484,,,,"Other",,,,
"vaccine_type","vaccine_type",,739,0.0231567072979663,,,,,1,,,
"vaccine_type","vaccine_type",,1377,0.0431485601479021,,,,,2,,,
"vaccine_type","vaccine_type",,1835,0.0575000783379814,,,,,3,,,
"vaccine_type","vaccine_type",,814,0.0255068467395732,,,,,4,,,
"vaccine_type","vaccine_type",,27148,0.850687807476577,,,,,,,,
"household_meeting_attendance","attended",,2396,0.592189817103312,,,,,,0,,
"household_meeting_attendance","attended",,1650,0.407810182896688,,,,,,1,,
"vaccinated_by_meeting_attendance","attended_x_vaccinated_team",,16523,,,,,,,0,0,0.918761120996441
"vaccinated_by_meeting_attendance","attended_x_vaccinated_team",,1461,,,,,,,0,1,0.0812388790035587
"vaccinated_by_meeting_attendance","attended_x_vaccinated_team",,1250,,,,,,,1,0,0.559284116331096
"vaccinated_by_meeting_attendance","attended_x_vaccinated_team",,985,,,,,,,1,1,0.440715883668904
