"Variable","Control Mean (SD)","Control-Door-to-Door Diff (SE)","Control-Small-Group Diff (SE)","Door-to-Door-Small-Group Diff (SE)","N"
"Community Characteristics from 2015 Census","","","","",""
"Proportion of infants in locality fully immunized","0.502","0.015","-0.016","0.031","150"
"","(0.300)","(0.034)","(0.034)","(0.035)",""
"Proportion of locality that is literate","0.284","-0.028","-0.016","-0.013","150"
"","(0.206)","(0.023)","(0.028)","(0.026)",""
"Average age","21.483","-0.118","0.053","-0.171","150"
"","(2.366)","(0.321)","(0.308)","(0.341)",""
"Proportion of households beyond 5 miles of a clinic","0.960","0.022","-0.000","0.022","150"
"","(0.196)","(0.018)","(0.011)","(0.018)",""
"Proportion of locality that is Christian","0.119","-0.005","0.027","-0.032","150"
"","(0.249)","(0.038)","(0.044)","(0.044)",""
"Proportion of locality that is Muslim","0.867","0.010","-0.014","0.024","150"
"","(0.261)","(0.040)","(0.045)","(0.044)",""
"Proportion of locality born in the same Chiefdom","0.931","-0.020","0.008","-0.028","150"
"","(0.115)","(0.022)","(0.020)","(0.023)",""
"Proportion of locality that is employed in agriculture","0.937","-0.076","-0.052","-0.024","150"
"","(0.078)","(0.032)","(0.029)","(0.032)",""
"Proportion of locality with Access to Internet","0.027","-0.010","-0.016","0.007","150"
"","(0.073)","(0.011)","(0.010)","(0.008)",""
"Proportion of households living in formal structures","0.795","0.046","0.003","0.043","150"
"","(0.354)","(0.056)","(0.059)","(0.056)",""
"Proportion of households who own land","0.989","-0.022","-0.023","0.001","150"
"","(0.023)","(0.017)","(0.016)","(0.019)",""
"Proportion of hhs within five miles of a primary school","0.616","-0.117","-0.019","-0.098","150"
"","(0.478)","(0.081)","(0.078)","(0.080)",""
"Proportion of hhs within five miles of a water source","0.942","-0.041","-0.047","0.006","150"
"","(0.211)","(0.051)","(0.049)","(0.054)",""
"Proportion of households that own a radio","0.508","-0.105","-0.080","-0.024","150"
"","(0.293)","(0.054)","(0.055)","(0.051)",""
"Proportion of households that own a cellphone","0.315","-0.026","-0.020","-0.005","150"
"","(0.249)","(0.048)","(0.047)","(0.046)",""
"Proportion of households with a formal roof","0.546","0.055","0.060","-0.005","150"
"","(0.365)","(0.051)","(0.059)","(0.058)",""
"Average number of assets owned","1.704","-0.112","-0.063","-0.049","150"
"","(0.699)","(0.159)","(0.150)","(0.146)",""
"Characteristics from Village Census","","","","",""
"Village population","187.080","-5.400","35.920","-41.320","150"
"","(118.683)","(23.612)","(26.227)","(25.538)",""
"Proportion of adults vaccinated at baseline","0.061","0.064","0.029","0.034","150"
"","(0.093)","(0.025)","(0.022)","(0.026)",""
"HH head has had any schooling","0.177","-0.009","0.028","-0.037","150"
"","(0.108)","(0.022)","(0.022)","(0.021)",""
"Owns land","0.678","-0.086","-0.013","-0.073","149"
"","(0.175)","(0.041)","(0.040)","(0.043)",""
"Reduced portion sizes in last week","0.372","-0.005","0.058","-0.063","149"
"","(0.215)","(0.045)","(0.042)","(0.044)",""
"Age","22.514","0.004","-0.171","0.174","150"
"","(2.864)","(0.544)","(0.479)","(0.524)",""
"HH head is female","0.249","0.027","0.004","0.023","150"
"","(0.123)","(0.023)","(0.024)","(0.025)",""
"Is breastfeeding","0.119","0.021","0.020","0.001","150"
"","(0.065)","(0.012)","(0.010)","(0.011)",""
"Is pregnant","0.052","-0.018","-0.013","-0.005","150"
"","(0.088)","(0.012)","(0.012)","(0.009)",""
"Joint F-test p-value","","0.000","0.000","0.000",""
