"Row","Census only","Census + other villages","Anyone","Census only + covariates","Census + other villages + covariates","Anyone + covariates"
"Pooled treatment","26.950***","39.250***","50.200***","26.138***","39.859***","50.532***"
"","(2.532)","(3.622)","(4.018)","(2.929)","(4.414)","(4.708)"
"Proportion Vaccinated at Baseline","","","","36.897***","43.539***","42.348**"
"","","","","(13.418)","(16.511)","(17.867)"
"Additional Covariates","No","No","No","Yes","Yes","Yes"
"Bootstrapped P-Value","0.000","0.000","0.000","0.000","0.000","0.000"
"Mean in Control","5.060","5.060","5.060","5.060","5.060","5.060"
"No. of Observations","150","150","150","150","150","150"
"R-squared","0.585","0.579","0.650","0.640","0.623","0.683"
