"Variable","Full Sample N","Full Sample Mean (SD)","Restricted Sample N","Restricted Sample Mean (SD)","Difference (p-value)"
"Community Characteristics from 2015 Census","","","","",""
"Proportion of infants in locality fully immunized","150","0.502","45","0.566","-0.064"
"","","(0.293)","","(0.283)","(0.078)"
"Proportion of locality that is literate","150","0.269","45","0.265","0.004"
"","","(0.192)","","(0.191)","(0.877)"
"Average age","150","21.462","45","21.009","0.453"
"","","(2.648)","","(3.135)","(0.171)"
"Proportion of households beyond 5 miles of a clinic","150","0.968","45","0.955","0.013"
"","","(0.174)","","(0.208)","(0.560)"
"Proportion of locality that is Christian","150","0.126","45","0.099","0.028"
"","","(0.253)","","(0.209)","(0.384)"
"Proportion of locality that is Muslim","150","0.866","45","0.886","-0.021"
"","","(0.257)","","(0.226)","(0.523)"
"Proportion of locality born in the same Chiefdom","150","0.927","45","0.948","-0.021"
"","","(0.125)","","(0.105)","(0.177)"
"Proportion of locality that is employed in agriculture","150","0.894","45","0.894","0.000"
"","","(0.199)","","(0.210)","(0.987)"
"Proportion of locality with Access to Internet","150","0.018","45","0.010","0.008"
"","","(0.048)","","(0.017)","(0.177)"
"Proportion of households living in formal structures","150","0.812","45","0.756","0.055"
"","","(0.330)","","(0.352)","(0.181)"
"Proportion of households who own land","150","0.973","45","0.972","0.001"
"","","(0.087)","","(0.104)","(0.913)"
"Proportion of hhs within five miles of a primary school","150","0.570","45","0.561","0.009"
"","","(0.477)","","(0.479)","(0.878)"
"Proportion of hhs within five miles of a water source","150","0.913","45","0.909","0.005"
"","","(0.258)","","(0.265)","(0.886)"
"Proportion of households that own a radio","150","0.446","45","0.421","0.026"
"","","(0.284)","","(0.288)","(0.473)"
"Proportion of households that own a cellphone","150","0.300","45","0.289","0.011"
"","","(0.253)","","(0.255)","(0.722)"
"Proportion of households with a formal roof","150","0.584","45","0.511","0.074"
"","","(0.350)","","(0.341)","(0.092)"
"Average number of assets owned","150","1.646","45","1.650","-0.005"
"","","(0.766)","","(0.714)","(0.962)"
"Characteristics from Village Census","","","","",""
"Village population","150","197.253","45","203.222","-5.969"
"","","(120.936)","","(126.285)","(0.694)"
"Proportion of adults vaccinated at baseline","150","0.092","45","0.091","0.001"
"","","(0.131)","","(0.143)","(0.955)"
"HH head has had any schooling","150","0.184","45","0.165","0.018"
"","","(0.117)","","(0.109)","(0.208)"
"Owns land","149","0.647","45","0.623","0.025"
"","","(0.214)","","(0.228)","(0.354)"
"Reduced portion sizes in last week","149","0.391","45","0.364","0.027"
"","","(0.221)","","(0.219)","(0.329)"
"Age","150","22.458","45","22.210","0.248"
"","","(2.639)","","(2.481)","(0.453)"
"HH head is female","150","0.259","45","0.298","-0.039"
"","","(0.119)","","(0.110)","(0.009)"
"Is breastfeeding","150","0.133","45","0.134","-0.001"
"","","(0.060)","","(0.067)","(0.902)"
"Is pregnant","150","0.041","45","0.033","0.008"
"","","(0.055)","","(0.027)","(0.225)"
"Joint F-test p-value","","0.668","","",""
