"followup","specification","variable","estimate","se","p","joint_p"
"FirstFU","Treatment only","treatment",0.038715031898503,0.0279371782953624,0.166223282734292,
"FirstFU","Treatment + baseline covariates","treatment",0.0392710494580306,0.0291679582651004,0.178627163433802,
"FirstFU","Treatment + baseline covariates","edad",0.00294721097964653,0.00470285951983142,0.531074910836109,
"FirstFU","Treatment + baseline covariates","lb_genero",-0.0749060278563791,0.0854995575975787,0.38128409070018,
"FirstFU","Treatment + baseline covariates","casado_o_convive",-0.0218203037022904,0.0348094003289697,0.530966141420492,
"FirstFU","Treatment + baseline covariates","lb_jefe_hogar",-0.0790135030059292,0.0405466786526776,0.0517392096285532,
"FirstFU","Treatment + baseline covariates","lb_residentes_totales",0.00810753293961135,0.0343245106837399,0.81334630284511,
"FirstFU","Treatment + baseline covariates","lb_residentes_menores",-0.013430296708352,0.0449703629792549,0.765299550739949,
"FirstFU","Treatment + baseline covariates","lb_residentes_ninos",0.00831257055266187,0.030954009269973,0.788360164759834,
"FirstFU","Treatment + baseline covariates","lb_residentes_adulto",-0.00248205479654985,0.0354329091512011,0.944174797656851,
"FirstFU","Treatment + baseline covariates","ad_mayor",0.00501678425334938,0.0476542406642047,0.916188728812027,
"FirstFU","Treatment + baseline covariates","ed_8menos",-0.111695556461936,0.111821632230993,0.318209676135756,
"FirstFU","Treatment + baseline covariates","ed_9_11",-0.0670698680003106,0.0782899765027863,0.391918887367692,
"FirstFU","Treatment + baseline covariates","ed_12",-0.00712690289313446,0.0529268425619787,0.892923685354544,
"FirstFU","Treatment + baseline covariates","ed_mas_12",,,,
"FirstFU","Treatment + baseline covariates","lb_years_education",-0.00565120249658339,0.0143075712594519,0.692980889520102,
"FirstFU","Treatment + baseline covariates","lb_employ",0.025005420184104,0.0425967904451314,0.557380001266093,
"FirstFU","Treatment + baseline covariates","lb_cont_formal",-0.00568236954606124,0.0406125229386003,0.888767007932364,
"FirstFU","Treatment + baseline covariates","fonasa_1",0.0543080092873915,0.0593544581706655,0.360525742698783,
"FirstFU","Treatment + baseline covariates","fonasa_2",0.022073997132928,0.0558162592532974,0.692614859119807,
"FirstFU","Treatment + baseline covariates","fonasa_3",0.0361865362263493,0.0530746861245939,0.495593650408976,
"FirstFU","Treatment + baseline covariates","fonasa_4",,,,
