"group","variable","estimate","se","p","stars","joint_p","n"
"All","edad",-0.00711326800366977,0.00921974778965329,0.441104474429579,"",,328
"All","lb_genero",0.00531737714646619,0.187278891774412,0.977370880496894,"",,328
"All","casado_o_convive",0.0160228626917571,0.0690405548628067,0.816661350502682,"",,328
"All","lb_jefe_hogar",-0.0999691147687219,0.0838468098343437,0.234250063568904,"",,328
"All","lb_residentes_menores",-0.0652533404499051,0.0556495356294327,0.242051389021006,"",,328
"All","lb_residentes_ninos",-0.0096946505072057,0.0311398581635675,0.755805114718939,"",,328
"All","lb_residentes_adulto",-0.00242981795687708,0.027417867771463,0.9294515831242,"",,328
"All","ad_mayor",-0.0244150634217994,0.0661979373850153,0.712566220959118,"",,328
"All","ed_8menos",0.0382293693817038,0.230076578975301,0.868162210792807,"",,328
"All","ed_9_11",0.00432884335843104,0.161609896836737,0.978651400852643,"",,328
"All","ed_12",0.118740450193984,0.11104509414157,0.285938072865343,"",,328
"All","ed_mas_12",,,,"",,328
"All","lb_years_education",-0.0131055154745442,0.0300262260717809,0.662862970423021,"",,328
"All","lb_employ",0.0224457770431705,0.0895874324278925,0.802365280136297,"",,328
"All","lb_cont_formal",-0.0925230219995649,0.084755443803156,0.276010640797317,"",,328
"All","fonasa_2",0.156548630600958,0.0818129201971761,0.05679564089931,"*",,328
"All","fonasa_3",0.150415286246239,0.0910289005674687,0.0996761255921717,"*",,328
"All","fonasa_4",0.215287716512117,0.116081741569206,0.0647956207269933,"*",,328
"All","sd_ohip0",0.0298881028618101,0.0403991958953866,0.460084933976965,"",,328
"All","sd_rosen0",0.0745226973304746,0.0653107532093073,0.254912126602762,"",,328
"All","lb_dientes_falt_tot",0.00588469371269675,0.00910606343833594,0.518701208404684,"",,328
"All","lb_dientes_falt_front",0.00721556917586112,0.0207509484520317,0.728333305311924,"",,328
"All","lb_prosthesis_up",-0.1628412473598,0.117684975035335,0.167649515722159,"",,328
"All","lb_prosthesis_down",0.0261057465531022,0.123302901613031,0.832492931619971,"",,328
"All","lb_ingreso_th",0.0000580798657461389,0.000212256109608351,0.784587936092704,"",,328
"Men","edad",0.0100018947645752,0.021917460247017,0.650159201083425,"",,94
"Men","lb_genero",,,,"",,94
"Men","casado_o_convive",0.183135964211187,0.222847214130786,0.415171327862471,"",,94
"Men","lb_jefe_hogar",-0.0368609744728606,0.319028392005185,0.908488248347244,"",,94
"Men","lb_residentes_menores",-0.156651691815735,0.13462382757505,0.250210928466876,"",,94
"Men","lb_residentes_ninos",-0.0179020460840867,0.076706967068708,0.816436825115326,"",,94
"Men","lb_residentes_adulto",0.000332479464821048,0.0591506996731482,0.995538026011445,"",,94
"Men","ad_mayor",-0.0791270388014685,0.137141423193297,0.566598494626226,"",,94
"Men","ed_8menos",-0.0263107751675408,0.515597982887616,0.959509367038012,"",,94
"Men","ed_9_11",-0.00629367351676211,0.371884662530781,0.986566189552194,"",,94
