"outcome","group","estimate","se","p","stars","n"
"new_sd_ohip1","All",0.869213939772316,0.0755160922663439,0.00000000000000000000000000000117051329234273,"***",642
"new_sd_ohip1","Men",0.713127257540775,0.178406682377933,0.0000640960433156311,"***",180
"new_sd_ohip1","Women",0.923564658164681,0.0962528693568519,0.000000000000000000000837618815285974,"***",462
"new_sd_ohip2","All",0.641550973066982,0.094047437096078,0.00000000000900522200677286,"***",547
"new_sd_ohip2","Men",0.602265783270275,0.230686615139114,0.00903431065512925,"***",150
"new_sd_ohip2","Women",0.647595151216552,0.10783463428638,0.00000000190805812102887,"***",397
"sd_index_photos","All",0.124532504236363,0.0920277784344728,0.175989959853818,"",527
"sd_index_photos","Men",-0.149407017611401,0.200119793506138,0.455312350836376,"",145
"sd_index_photos","Women",0.214369570747384,0.105165440518516,0.0415096262909654,"**",382
"new_sd_rosen1","All",0.230820553817791,0.0702504675628504,0.00101736529114161,"***",634
"new_sd_rosen1","Men",-0.163212567985025,0.156018845841842,0.295511156691842,"",178
"new_sd_rosen1","Women",0.35595244959019,0.0826731715583816,0.000016658068365255,"***",456
"smiles","All",0.0897339822305355,0.0404372745741412,0.026480550768515,"**",527
"smiles","Men",-0.082801621517725,0.0810776851120308,0.307129958826168,"",145
"smiles","Women",0.152672710052543,0.0428293538628972,0.000364307867685713,"***",382
"employed","All",0.0542154276629386,0.0303654953399613,0.0741918026282463,"*",642
"employed","Men",0.0326630467679156,0.0443853094405522,0.461792962071551,"",180
"employed","Women",0.0672047645537738,0.0388676889771826,0.083797444375465,"*",462
"ltotal_1a","All",0.638231780982114,0.373059474860892,0.0871172320522114,"*",539
"ltotal_1a","Men",0.255582431631156,0.475716287739054,0.591089339594282,"",168
"ltotal_1a","Women",0.843754954730658,0.434821820580504,0.0523236419862874,"*",371
"interact","All",0.496295860622586,0.156086007494179,0.00147462854006539,"***",341
"interact","Men",0.271014707153427,0.447333493234145,0.544617763377315,"",117
"interact","Women",0.643757492011349,0.213626515120557,0.00258276991880289,"***",224
"efforts","All",0.609605612265336,0.186146103057355,0.00105707946263378,"***",547
"efforts","Men",0.784410745339907,0.431377916691604,0.0690054466340878,"*",150
"efforts","Women",0.592476696042468,0.205658215225793,0.00396566244179904,"***",397
"new_sd_rosen2","All",0.159724225989364,0.0812757162438276,0.0493894022855857,"**",539
"new_sd_rosen2","Men",-0.105535849430561,0.180107561978454,0.557902311731002,"",148
"new_sd_rosen2","Women",0.212166952436722,0.100647419909338,0.0350291062451297,"**",391
"sf12_ph_sd","All",0.0957243666849497,0.0745317104534396,0.199021563563117,"",547
"sf12_ph_sd","Men",-0.0369519423640887,0.137326412221996,0.787867272541319,"",150
"sf12_ph_sd","Women",0.164519117324226,0.10597092560163,0.120544312831257,"",397
"sf12_mh_sd","All",0.210119386366063,0.0835837868665781,0.0119411963460153,"**",547
"sf12_mh_sd","Men",0.0115791458918982,0.240264079558467,0.961562100163193,"",150
"sf12_mh_sd","Women",0.246288614473643,0.101637362515908,0.0153840552002453,"**",397
"SEG2_employed","All",0.00720646734642072,0.0343390796322128,0.833775394612966,"",547
"SEG2_employed","Men",0.00499511383048989,0.0340770245006641,0.883461141533867,"",150
"SEG2_employed","Women",0.0086520693926575,0.0410186736480549,0.832941883467357,"",397
"ltotal_2a","All",0.110293263822649,0.387781006003029,0.776087367802361,"",460
"ltotal_2a","Men",0.204230731694322,0.411021057258699,0.619269234214145,"",145
"ltotal_2a","Women",0.0919760691939686,0.506887923776411,0.856012431957153,"",315
