"followup","outcome","group","control_mean","estimate","se","p","gender_diff_p","across_survey_p","n"
"FU1","sd_rosen1","All",0.00000000000000030435273457734,0.25816206132625,0.0779478904418039,0.000983793688969131,0.00281237691776,,634
"FU1","sd_rosen1","Men",-0.137431628430284,-0.068381152163647,0.124184669877273,0.582710095851278,0.00281237691776,,178
"FU1","sd_rosen1","Women",-0.0311639897498213,0.396189684601698,0.0970212116390735,0.0000530983718762589,0.00281237691776,,456
"FU1","ltotal_1a","All",10.4963729453857,0.771579631365382,0.366446363547207,0.0357528411345897,0.112736643016581,,539
"FU1","ltotal_1a","Men",9.53622729743471,0.0628585160384622,0.391572580072911,0.872699607607321,0.112736643016581,,168
"FU1","ltotal_1a","Women",10.134408660386,1.07306228033702,0.503399727578055,0.0337624088687173,0.112736643016581,,371
"FU1","employed","All",0.784090909090909,0.0587730629588053,0.0311934623600489,0.0600365341704056,0.261556473547066,,642
"FU1","employed","Men",0.761363636363636,0.0135713013860414,0.0341133094220804,0.691321031432084,0.261556473547066,,180
"FU1","employed","Women",0.768041237113402,0.0734435386707281,0.0413613821722065,0.0765019704506252,0.261556473547066,,462
"FU2","sd_rosen2","All",0.208640631668891,0.248891024876633,0.109312826919938,0.0232269878733294,0.101425373136675,0.696165884368229,539
"FU2","sd_rosen2","Men",0.225388849604684,0.0329169467779499,0.143302628834347,0.818724182920028,0.101425373136675,0.713134518014843,148
"FU2","sd_rosen2","Women",0.167469845007863,0.371634223118176,0.152250899947793,0.0151388201510981,0.101425373136675,0.919213577607755,391
"FU2","ltotal_2a","All",10.6240726587765,0.250706199333803,0.562685360528424,0.656156423592519,0.964396867977235,,460
"FU2","ltotal_2a","Men",9.51214711356232,0.339551962853609,0.46129173180265,0.463175085961167,0.964396867977235,0.694386237541425,145
"FU2","ltotal_2a","Women",10.5226242707328,0.294268161970843,0.896566151046155,0.742994742923361,0.964396867977235,,315
"FU2","SEG2_employed","All",0.812709030100334,0.0154692337463521,0.0436440170850494,0.723159275149306,0.843846121832097,0.380247672836735,547
"FU2","SEG2_employed","Men",0.830769230769231,0.00331867849174642,0.0337304818820812,0.921789649001624,0.843846121832097,0.77050218859453,150
"FU2","SEG2_employed","Women",0.829787234042553,0.0177512530073115,0.0646789955551256,0.783895025455227,0.843846121832097,0.277048617103405,397
