"outcome","group","control_mean","estimate","se","p","stars","n","panel"
"SEG2_e1_1","All",0.632107023411371,0.103043908166844,0.0400732547524572,0.0104211935053459,"**",547,"Complementary Investments"
"SEG2_e1_1","Men",0.507692307692308,0.160725520818139,0.0989024566399372,0.106833947198157,"",150,"Complementary Investments"
"SEG2_e1_1","Women",0.638297872340426,0.0925859234213375,0.0449246639788281,0.0400329859138423,"**",397,"Complementary Investments"
"SEG2_e1_2","All",0.244147157190635,0.0259277901619479,0.0383797757251298,0.499637633480206,"",547,"Complementary Investments"
"SEG2_e1_2","Men",0.338461538461538,-0.0945133698391567,0.0844959216143268,0.265621173025508,"",150,"Complementary Investments"
"SEG2_e1_2","Women",0.234042553191489,0.059072863490184,0.0449110435824186,0.189240664692812,"",397,"Complementary Investments"
"SEG2_e1_3","All",0.277591973244147,-0.00621054661961262,0.0385960759297482,0.872229139457527,"",547,"Complementary Investments"
"SEG2_e1_3","Men",0.215384615384615,0.0338176859846988,0.0774981471342034,0.663374162998324,"",150,"Complementary Investments"
"SEG2_e1_3","Women",0.269503546099291,-0.0115879009559112,0.0465025390980873,0.803357829155255,"",397,"Complementary Investments"
"SEG2_e1_4","All",0.471571906354515,0.0706690563252853,0.0443820644153875,0.111960807219458,"",547,"Complementary Investments"
"SEG2_e1_4","Men",0.384615384615385,-0.0387023034836911,0.100093496640238,0.699709140723256,"",150,"Complementary Investments"
"SEG2_e1_4","Women",0.418439716312057,0.120192355391929,0.0511354668151666,0.0192918020356697,"**",397,"Complementary Investments"
"SEG2_e1_5","All",0.642140468227425,0.099973793051803,0.0400374678515303,0.012849844468722,"**",547,"Complementary Investments"
"SEG2_e1_5","Men",0.630769230769231,0.171801714164385,0.0908003805928967,0.0609518016699458,"*",150,"Complementary Investments"
"SEG2_e1_5","Women",0.624113475177305,0.0828452146605434,0.0472234964344035,0.0802309130357797,"*",397,"Complementary Investments"
"SEG2_e1_6","All",0.54180602006689,0.161803472872569,0.0416557792375586,0.000116625637383275,"***",547,"Complementary Investments"
"SEG2_e1_6","Men",0.476923076923077,0.246333698278756,0.0955323768881658,0.0111619746689214,"**",150,"Complementary Investments"
"SEG2_e1_6","Women",0.48936170212766,0.138146367855912,0.0497766211722741,0.00580413287423462,"***",397,"Complementary Investments"
"SEG2_e1_7","All",0.48494983277592,0.109785477027558,0.0433239990815843,0.0115835403843429,"**",547,"Complementary Investments"
