"panel","variable","label","treatment_mean","control_mean","p_difference","n","joint_f_p"
"Baseline","edad","Age",48.1485714285714,47.6458797327394,0.857021360157555,799,
"Baseline","lb_genero","Gender",0.714285714285714,0.692650334075724,0.86280090973657,799,
"Baseline","casado_o_convive","Married or cohabitates",0.574285714285714,0.576837416481069,0.969876527470293,799,
"Baseline","lb_jefe_hogar","Head of household",0.791428571428571,0.728285077951002,0.0242898615234445,799,
"Baseline","lb_residentes_totales","Number of residents at home",4.35428571428571,4.19599109131403,0.187385845062126,799,
"Baseline","lb_residentes_menores","Residents under 5 years at home",0.335260115606936,0.341573033707865,0.942160441487117,791,
"Baseline","lb_residentes_ninos","Residents between 5 and 18 years at home",1.15472779369627,1.13033707865169,0.71104992432925,794,
"Baseline","lb_residentes_adulto","Adults in HH",2.71142857142857,2.62360801781737,0.327857370919761,799,
"Baseline","lb_residentes_adulto_mayor","Residents over 65 years at home",0.164222873900293,0.132118451025057,0.316677132743633,780,
"Baseline","ed_8menos","Education 8 or less years",0.257142857142857,0.247216035634744,0.871124048822518,799,
"Baseline","ed_9_11","Education between 9 and 11 years",0.202857142857143,0.184855233853007,0.600482409101325,799,
"Baseline","ed_12","Education 12 years",0.402857142857143,0.360801781737194,0.137517061200935,799,
"Baseline","ed_mas_12","Education more than 12 years",0.137142857142857,0.207126948775056,0.00701251111576139,799,
"Baseline","lb_years_education","Years of education",10.58,10.804008908686,0.296073396247328,799,
"Baseline","lb_employ","Employed",0.722857142857143,0.706013363028953,0.415016052943619,799,
"Baseline","lb_ingreso_th","Labor income (thousand pesos)",168.972662824208,166.680031180401,0.64971597879669,796,
"Baseline","lb_cont_formal","Has a formal contract",0.48,0.469933184855234,0.577076475175418,799,
"Baseline","fonasa_1","FONASA A",0.309941520467836,0.324263038548753,0.845267773540058,783,
"Baseline","fonasa_2","FONASA B",0.315789473684211,0.27437641723356,0.301608723773222,783,
"Baseline","fonasa_3","FONASA C",0.251461988304094,0.281179138321995,0.325596392980558,783,
"Baseline","fonasa_4","FONASA D",0.12280701754386,0.120181405895692,0.86845947457219,783,
"Baseline","lb_ohip14","OHIP score",35.8771428571429,36.1648106904232,0.57103209006127,799,
"Baseline","lb_rosenberg_score","Rosenberg score",17.46,17.347438752784,0.401918483002555,799,
"Baseline","lb_dientes_falt_tot","Total missing teeth",10.8114285714286,10.5233853006682,0.680061932316875,799,
"Baseline","lb_dientes_falt_front","Front missing teeth",1.40857142857143,1.48997772828508,0.435696131518119,799,
"Baseline","lb_prosthesis_up","Upper prosthetic need",0.939828080229226,0.944320712694877,0.715561572408364,798,
"Baseline","lb_prosthesis_down","Lower prosthetic need",0.931232091690544,0.915367483296214,0.520737151715922,798,
"First Follow-up","edad","Age",48.4137931034483,47.8522727272727,0.794198458542465,642,
"First Follow-up","lb_genero","Gender",0.731034482758621,0.710227272727273,0.422549908535966,642,
"First Follow-up","casado_o_convive","Married or cohabitates",0.582758620689655,0.571022727272727,0.662453231174424,642,
"First Follow-up","lb_jefe_hogar","Head of household",0.768965517241379,0.721590909090909,0.120392417557747,642,
"First Follow-up","lb_residentes_totales","Number of residents at home",4.30689655172414,4.29829545454545,0.904508076194109,642,
"First Follow-up","lb_residentes_menores","Residents under 5 years at home",0.313588850174216,0.355300859598854,0.475333946399512,636,
"First Follow-up","lb_residentes_ninos","Residents between 5 and 18 years at home",1.14878892733564,1.17765042979943,0.645886457377506,638,
"First Follow-up","lb_residentes_adulto","Adults in HH",2.66551724137931,2.68181818181818,0.924655175926349,642,
"First Follow-up","lb_residentes_adulto_mayor","Residents over 65 years at home",0.177304964539007,0.133720930232558,0.227427155562019,626,
"First Follow-up","ed_8menos","Education 8 or less years",0.251724137931034,0.232954545454545,0.717878833686494,642,
"First Follow-up","ed_9_11","Education between 9 and 11 years",0.203448275862069,0.1875,0.707819244032505,642,
"First Follow-up","ed_12","Education 12 years",0.403448275862069,0.366477272727273,0.254591718851503,642,
"First Follow-up","ed_mas_12","Education more than 12 years",0.141379310344828,0.213068181818182,0.0212904695923439,642,
"First Follow-up","lb_years_education","Years of education",10.5793103448276,10.8892045454545,0.177128851238978,642,
"First Follow-up","lb_employ","Employed",0.713793103448276,0.701704545454545,0.485659632728083,642,
"First Follow-up","lb_ingreso_th","Labor income (thousand pesos)",166.301729166667,166.489005681818,0.767720085891171,640,
"First Follow-up","lb_cont_formal","Has a formal contract",0.46551724137931,0.465909090909091,0.704550258694966,642,
"First Follow-up","fonasa_1","FONASA A",0.306338028169014,0.330459770114943,0.49093312717231,632,
"First Follow-up","fonasa_2","FONASA B",0.323943661971831,0.270114942528736,0.208254325457665,632,
"First Follow-up","fonasa_3","FONASA C",0.253521126760563,0.28448275862069,0.485093082969792,632,
"First Follow-up","fonasa_4","FONASA D",0.116197183098592,0.114942528735632,0.863592085148128,632,
"First Follow-up","lb_ohip14","OHIP score",35.6137931034483,36.2585227272727,0.241352650066431,642,
"First Follow-up","lb_rosenberg_score","Rosenberg score",17.4413793103448,17.3806818181818,0.245027610907017,642,
"First Follow-up","lb_dientes_falt_tot","Total missing teeth",10.9827586206897,10.46875,0.430453278479094,642,
"First Follow-up","lb_dientes_falt_front","Front missing teeth",1.46896551724138,1.44034090909091,0.910916620444196,642,
"First Follow-up","lb_prosthesis_up","Upper prosthetic need",0.934256055363322,0.943181818181818,0.688782815035348,641,
"First Follow-up","lb_prosthesis_down","Lower prosthetic need",0.934256055363322,0.917613636363636,0.598939546723213,641,
"Second Follow-up","edad","Age",48.4475806451613,48.4816053511706,0.834466238590663,547,
"Second Follow-up","lb_genero","Gender",0.75,0.705685618729097,0.9579988861793,547,
"Second Follow-up","casado_o_convive","Married or cohabitates",0.57258064516129,0.615384615384615,0.286198377230045,547,
"Second Follow-up","lb_jefe_hogar","Head of household",0.798387096774194,0.705685618729097,0.00487810562677246,547,
"Second Follow-up","lb_residentes_totales","Number of residents at home",4.31854838709677,4.32441471571906,0.902322246823538,547,
"Second Follow-up","lb_residentes_menores","Residents under 5 years at home",0.33469387755102,0.341216216216216,0.971188111237629,541,
"Second Follow-up","lb_residentes_ninos","Residents between 5 and 18 years at home",1.12903225806452,1.22297297297297,0.167711543544887,544,
"Second Follow-up","lb_residentes_adulto","Adults in HH",2.69354838709677,2.70234113712375,0.837995705506551,547,
"Second Follow-up","lb_residentes_adulto_mayor","Residents over 65 years at home",0.170833333333333,0.11986301369863,0.0937677129684516,532,
"Second Follow-up","ed_8menos","Education 8 or less years",0.233870967741935,0.254180602006689,0.620063486354237,547,
"Second Follow-up","ed_9_11","Education between 9 and 11 years",0.205645161290323,0.183946488294314,0.542816135409354,547,
"Second Follow-up","ed_12","Education 12 years",0.415322580645161,0.364548494983278,0.182323637694447,547,
"Second Follow-up","ed_mas_12","Education more than 12 years",0.145161290322581,0.197324414715719,0.0652271422433668,547,
"Second Follow-up","lb_years_education","Years of education",10.7137096774194,10.7859531772575,0.666508375267106,547,
"Second Follow-up","lb_employ","Employed",0.705645161290323,0.688963210702341,0.64540124254016,547,
"Second Follow-up","lb_ingreso_th","Labor income (thousand pesos)",165.892910569106,161.653672240803,0.615234028481322,545,
"Second Follow-up","lb_cont_formal","Has a formal contract",0.463709677419355,0.464882943143813,0.900980692319787,547,
"Second Follow-up","fonasa_1","FONASA A",0.297959183673469,0.343537414965986,0.510337613600617,539,
"Second Follow-up","fonasa_2","FONASA B",0.33469387755102,0.255102040816327,0.0730608866027241,539,
"Second Follow-up","fonasa_3","FONASA C",0.257142857142857,0.289115646258503,0.278915455365266,539,
"Second Follow-up","fonasa_4","FONASA D",0.110204081632653,0.112244897959184,0.894467782902635,539,
"Second Follow-up","lb_ohip14","OHIP score",35.5241935483871,36.6120401337793,0.267190544297398,547,
"Second Follow-up","lb_rosenberg_score","Rosenberg score",17.4072580645161,17.2675585284281,0.39103652960731,547,
"Second Follow-up","lb_dientes_falt_tot","Total missing teeth",11.2701612903226,10.7190635451505,0.241840158975806,547,
"Second Follow-up","lb_dientes_falt_front","Front missing teeth",1.59274193548387,1.51170568561873,0.627455747736945,547,
"Second Follow-up","lb_prosthesis_up","Upper prosthetic need",0.94331983805668,0.946488294314381,0.656050476181088,546,
"Second Follow-up","lb_prosthesis_down","Lower prosthetic need",0.935222672064777,0.926421404682274,0.94938614272538,546,
