"panel","variable","label","treatment_mean","control_mean","p_difference","n","joint_f_p"
"Second Follow-up","edad","Age",48.4475806451613,48.4816053511706,0.834466238590663,547,
"Second Follow-up","lb_genero","Gender",0.75,0.705685618729097,0.9579988861793,547,
"Second Follow-up","casado_o_convive","Married or cohabitates",0.57258064516129,0.615384615384615,0.286198377230045,547,
"Second Follow-up","lb_jefe_hogar","Head of household",0.798387096774194,0.705685618729097,0.00487810562677246,547,
"Second Follow-up","lb_residentes_totales","Number of residents at home",4.31854838709677,4.32441471571906,0.902322246823538,547,
"Second Follow-up","lb_residentes_menores","Residents under 5 years at home",0.33469387755102,0.341216216216216,0.971188111237629,541,
"Second Follow-up","lb_residentes_ninos","Residents between 5 and 18 years at home",1.12903225806452,1.22297297297297,0.167711543544887,544,
"Second Follow-up","lb_residentes_adulto","Adults in HH",2.69354838709677,2.70234113712375,0.837995705506551,547,
"Second Follow-up","lb_residentes_adulto_mayor","Residents over 65 years at home",0.170833333333333,0.11986301369863,0.0937677129684516,532,
"Second Follow-up","ed_8menos","Education 8 or less years",0.233870967741935,0.254180602006689,0.620063486354237,547,
"Second Follow-up","ed_9_11","Education between 9 and 11 years",0.205645161290323,0.183946488294314,0.542816135409354,547,
"Second Follow-up","ed_12","Education 12 years",0.415322580645161,0.364548494983278,0.182323637694447,547,
"Second Follow-up","ed_mas_12","Education more than 12 years",0.145161290322581,0.197324414715719,0.0652271422433668,547,
"Second Follow-up","lb_years_education","Years of education",10.7137096774194,10.7859531772575,0.666508375267106,547,
"Second Follow-up","lb_employ","Employed",0.705645161290323,0.688963210702341,0.64540124254016,547,
"Second Follow-up","lb_ingreso_th","Labor income (thousand pesos)",165.892910569106,161.653672240803,0.615234028481322,545,
"Second Follow-up","lb_cont_formal","Has a formal contract",0.463709677419355,0.464882943143813,0.900980692319787,547,
"Second Follow-up","fonasa_1","FONASA A",0.297959183673469,0.343537414965986,0.510337613600617,539,
"Second Follow-up","fonasa_2","FONASA B",0.33469387755102,0.255102040816327,0.0730608866027241,539,
"Second Follow-up","fonasa_3","FONASA C",0.257142857142857,0.289115646258503,0.278915455365266,539,
"Second Follow-up","fonasa_4","FONASA D",0.110204081632653,0.112244897959184,0.894467782902635,539,
"Second Follow-up","lb_ohip14","OHIP score",35.5241935483871,36.6120401337793,0.267190544297398,547,
"Second Follow-up","lb_rosenberg_score","Rosenberg score",17.4072580645161,17.2675585284281,0.39103652960731,547,
"Second Follow-up","lb_dientes_falt_tot","Total missing teeth",11.2701612903226,10.7190635451505,0.241840158975806,547,
"Second Follow-up","lb_dientes_falt_front","Front missing teeth",1.59274193548387,1.51170568561873,0.627455747736945,547,
"Second Follow-up","lb_prosthesis_up","Upper prosthetic need",0.94331983805668,0.946488294314381,0.656050476181088,546,
"Second Follow-up","lb_prosthesis_down","Lower prosthetic need",0.935222672064777,0.926421404682274,0.94938614272538,546,
