"outcome","group","control_mean","estimate","se","p","stars","n","panel","gender_diff_p","rw_p","across_survey_p"
"seg_indice_cariados","All",2.01136363636364,-1.15227142016186,0.153129271464878,0.000000000000199026500399595,"***",642,"Objective Dental Health",0.0787805924910782,0.00497512437810945,
"seg_indice_cariados","Men",1.95454545454545,-1.6297201371183,0.389613064955238,0.0000491084858826824,"***",180,"Objective Dental Health",0.0787805924910782,0.00497512437810945,
"seg_indice_cariados","Women",2.11340206185567,-0.910888807338354,0.161225352564146,0.0000000294678374487006,"***",462,"Objective Dental Health",0.0787805924910782,0.00497512437810945,
"needtreat","All",23.5284090909091,-3.46646318128558,0.724832535427238,0.00000219190219477305,"***",642,"Objective Dental Health",0.260292202906464,0.00497512437810945,
"needtreat","Men",23.1022727272727,-5.05465458521009,1.57294096676041,0.00160954151793582,"***",180,"Objective Dental Health",0.260292202906464,0.00995024875621891,
"needtreat","Women",24.1958762886598,-3.09797822799341,0.845064858413873,0.000277618084185926,"***",462,"Objective Dental Health",0.260292202906464,0.00995024875621891,
"sd_ohip1","All",0.000000000000000127986216312154,0.869937425175777,0.0790731022392681,0.0000000000000000000000000978226608708702,"***",642,"Subjective Oral Health: First Follow-up",0.278929131688722,0.00497512437810945,
"sd_ohip1","Men",-0.00184820568301856,0.730670795925301,0.158829628854991,0.00000890905435174591,"***",180,"Subjective Oral Health: First Follow-up",0.278929131688722,0.00497512437810945,
"sd_ohip1","Women",-0.0573134298404144,0.92595383717355,0.0939590628770354,0.00000000000000000000883840664600918,"***",462,"Subjective Oral Health: First Follow-up",0.278929131688722,0.00497512437810945,
"sd_ohip2","All",0.448588571331211,0.646759540641875,0.0905114244658051,0.00000000000322659797370745,"***",547,"Subjective Oral Health: Second Follow-up",0.883057917194577,0.00497512437810945,
"sd_ohip2","Men",0.337567659519967,0.68923535853651,0.179668526631841,0.000201483794179048,"***",150,"Subjective Oral Health: Second Follow-up",0.883057917194577,0.00497512437810945,
"sd_ohip2","Women",0.381595488255603,0.659179272470574,0.109702864749356,0.00000000458036287225477,"***",397,"Subjective Oral Health: Second Follow-up",0.883057917194577,0.00497512437810945,
"smiles","All",0.425029867599087,0.0920724972665704,0.0389680253116699,0.0185461477313662,"**",527,"Smiling Behavior",0.0163547626647502,0.0746268656716418,
"smiles","Men",0.52083333209157,-0.0528724101342037,0.0734087512711984,0.472834524248637,"",145,"Smiling Behavior",0.0163547626647502,0.920398009950249,
"smiles","Women",0.418021679166856,0.150198565478453,0.0461642908505429,0.00125234627843487,"***",382,"Smiling Behavior",0.0163547626647502,0.00995024875621891,
