"followup","group","outcome","rw_p"
"FU1","All","new_sd_ohip1",0.00497512437810945
"FU1","All","new_sd_rosen1",0.00995024875621891
"FU1","All","smiles",0.0746268656716418
"FU1","All","sd_index_photos",0.109452736318408
"FU1","All","employed",0.0945273631840796
"FU1","All","ltotal_1a",0.0895522388059701
"FU1","All","completed",0.00497512437810945
"FU1","All","kkk1",0.00497512437810945
"FU1","All","dental_service",0.00497512437810945
"FU1","All","cavities",0.00497512437810945
"FU1","All","needtreat",0.00497512437810945
"FU1","All","prosthesis1",0.00497512437810945
"FU2","All","new_sd_ohip2",0.00497512437810945
"FU2","All","new_sd_rosen2",0.104477611940299
"FU2","All","ltotal_2a",0.82089552238806
"FU2","All","interact",0.0199004975124378
"FU2","All","efforts",0.0199004975124378
"FU2","All","sf12_ph_sd",0.323383084577114
"FU2","All","sf12_mh_sd",0.0199004975124378
"FU2","All","SEG2_employed",0.82089552238806
"FU2","All","dental_serviceFU2",0.0497512437810945
"FU2","All","prosthesis2",0.00497512437810945
"FU1","Men","new_sd_ohip1",0.00497512437810945
"FU1","Men","new_sd_rosen1",0.955223880597015
"FU1","Men","smiles",0.920398009950249
"FU1","Men","sd_index_photos",0.990049751243781
"FU1","Men","employed",0.965174129353234
"FU1","Men","ltotal_1a",0.990049751243781
"FU1","Men","completed",0.00497512437810945
"FU1","Men","kkk1",0.00497512437810945
"FU1","Men","dental_service",0.139303482587065
"FU1","Men","cavities",0.00497512437810945
"FU1","Men","needtreat",0.00995024875621891
"FU1","Men","prosthesis1",0.00497512437810945
"FU2","Men","new_sd_ohip2",0.00497512437810945
"FU2","Men","new_sd_rosen2",0.995024875621891
"FU2","Men","ltotal_2a",0.895522388059702
"FU2","Men","interact",0.995024875621891
"FU2","Men","efforts",0.557213930348259
"FU2","Men","sf12_ph_sd",0.975124378109453
"FU2","Men","sf12_mh_sd",0.223880597014925
"FU2","Men","SEG2_employed",0.995024875621891
"FU2","Men","dental_serviceFU2",0.786069651741294
"FU2","Men","prosthesis2",0.154228855721393
"FU1","Women","new_sd_ohip1",0.00497512437810945
"FU1","Women","new_sd_rosen1",0.00497512437810945
"FU1","Women","smiles",0.00995024875621891
"FU1","Women","sd_index_photos",0.0895522388059701
"FU1","Women","employed",0.0895522388059701
"FU1","Women","ltotal_1a",0.0696517412935323
"FU1","Women","completed",0.00497512437810945
"FU1","Women","kkk1",0.00497512437810945
"FU1","Women","dental_service",0.00995024875621891
"FU1","Women","cavities",0.00497512437810945
"FU1","Women","needtreat",0.00995024875621891
"FU1","Women","prosthesis1",0.00497512437810945
"FU2","Women","new_sd_ohip2",0.00497512437810945
"FU2","Women","new_sd_rosen2",0.109452736318408
"FU2","Women","ltotal_2a",0.900497512437811
"FU2","Women","interact",0.0149253731343284
"FU2","Women","efforts",0.054726368159204
"FU2","Women","sf12_ph_sd",0.472636815920398
"FU2","Women","sf12_mh_sd",0.109452736318408
"FU2","Women","SEG2_employed",0.900497512437811
"FU2","Women","dental_serviceFU2",0.164179104477612
"FU2","Women","prosthesis2",0.00497512437810945
