"stage","N","etapa1","etapa2","id_1_unique","cve_viv_unique","id_loc_unique","duplicate_keys"
"04a_b_hh_sample",6706,6706,0,6706,NA,208,0
"04b_f_hh_sample",5851,0,5851,5851,5851,206,0
"05_module_location",12557,6706,5851,6710,5851,208,0
"05_module_transfers",12557,6706,5851,6710,5851,206,0
"05_module_vivienda",12557,6706,5851,6710,5851,208,0
"05_module_credit",12557,6706,5851,6710,5851,208,0
"05_module_food",12557,6706,5851,6710,5851,208,0
"05_module_food_extra",12557,6706,5851,6710,5851,208,0
"05_module_nfood",12557,6706,5851,6710,5851,208,0
"05_module_food24",4834,2618,2216,2663,2216,NA,0
"05_module_income",12557,6706,5851,6710,5851,208,0
"05_module_inventory",5764,0,5764,5764,5764,206,0
"06_individual",56523,30759,25764,6701,6701,206,0
"07a_merge_start_income",12557,6706,5851,6710,5851,208,0
"07_merge_location",12557,6706,5851,6710,5851,208,0
"07_merge_transfers",12557,6706,5851,6710,5851,208,0
"07_merge_vivienda",12557,6706,5851,6710,5851,208,0
"07_merge_credit",12557,6706,5851,6710,5851,208,0
"07_merge_food",12557,6706,5851,6710,5851,208,0
"07_merge_food_extra",12557,6706,5851,6710,5851,208,0
"07_merge_nfood",12557,6706,5851,6710,5851,208,0
"07_merge_food24",12557,6706,5851,6710,5851,208,0
"07_merge_inventory",12557,6706,5851,6710,5851,208,0
"07_filter_field_notes",12164,6483,5681,6487,6487,201,0
"07_filter_pal_control",12152,6483,5669,6487,6487,201,0
"07_filter_food_nfood_missingness",12037,6447,5590,6465,6465,201,0
"07b_hh_before_individual",12037,6447,5590,6465,6465,201,0
"07c_individual_aggregate",12534,6695,5839,NA,6701,NA,0
"07d_hh_after_individual",12026,6436,5590,6455,6455,201,0
"07e_hh_intermediate_attrit",12026,6436,5590,6455,6455,201,0
"07f_hh_intermediate",11142,5571,5571,5571,5571,200,0
"08a_hh_processed",11142,5571,5571,5571,5571,200,0
"08b_hh_attrit_processed",12026,6436,5590,6455,6455,201,0
