food_id,cal,nut_carb,nut_prot,nut_fat,nut_ca,nut_fe,nut_feheme,nut_mg,nut_phos,nut_zn,nut_vita,nut_vitc,nut_folate,nut_vitb12
101,21,4.6,0.9,0.3,5,0.5,0,11,24,0.1,290,19,15,0
102,38,8.72,1.46,0.18,38,0.63,0,13.67,35,0.26,128.33,10.07,32.67,0
103,98.25,23.58,2.55,0.11,12.75,1.13,0,23.67,46.5,0.32,0,15.3,10.27,0
104,45,10.5,1.1,0.2,31,0.6,0,13,30,0.3,6473.33,2,14,0
105,21.64,3.91,2.06,0.29,96.29,1.78,0,28.56,42.55,0.28,2734.76,28.59,112.32,0
106,16,3.37,1.18,0.17,17,0.41,0,22.5,34,0.25,225,13.5,26.1,0
107,21.5,4.8,0.72,0.31,15,0.28,0,12,23.5,0.53,51.5,7.85,55.55,0
108,16,3.39,1.28,0.12,163,0.68,0,58,17,0.29,415,13.4,3,0
109,31.3,6.65,1.82,0.31,18.7,1.59,0,15,38.7,0.29,345.71,141.8,27,0
110,51,11.9,0.8,0.6,20,0.3,0,10,25,0.2,263.33,184,14,0
111,44,11.19,0.63,0.19,14,0.1,0,12,10,0.24,920,30.8,20.4,0
112,39,9.81,0.61,0.14,24,0.1,0,10,5,0.07,284,61.8,38,0
113,48,11.82,0.99,0.21,40,0.1,0,10,15.5,0.07,217.5,50.85,34.45,0
114,92,23.43,1.03,0.48,6,0.31,0,29,20,0.16,81,9.1,19.1,0
115,59,15.3,0.2,0.4,7,0.2,0,5,7,0,16.67,6,3,0
116,29,9.3,1.1,0.3,26,0.6,0,8,16,0.1,10,53,11,0
117,32,7.18,0.62,0.43,8,0.17,0,11,9,0.07,366,9.6,2.2,0
201,222,46.6,5.7,2.5,175,1.4,0,65,314,0.9,60,0,39.75,0
202,362,76.9,8.1,3.6,6,3.5,0,127,241,1.8,0,0,25,0
203,363,76.56,8.14,3.82,74,4.8,0,101.5,247.5,1.76,234.5,0,106,0
204,274,51.9,8.8,3,10,0.5,0,27,105,0.9,0,0,31,0
205,252,34.3,6.2,9.9,57,0.5,0,14,92,0.6,130,0,13,0.25
206,260,49,9.25,3.6,41,4.4,0,56.5,167,1.42,0,0,40.5,0.01
207,355.67,75.07,11.43,1.3,21.33,2.1,0,60.67,187.33,1.43,0,0,22.33,0
208,374.5,73.11,12.93,2.84,30,2.81,0,53,166.25,1.34,94.25,0,124.5,0.2
209,325,55.6,8.7,7.1,125,3.3,0,26,124,0.71,0,0,123,0
210,361,79.5,6.7,0.6,8,0.6,0,36,103,1.1,0,0,6,0
211,451.67,69.33,7.7,16.7,63.33,1.66,0,46,160,1.12,30,0,23.67,0.03
212,371.54,82.68,7.53,3.15,122.38,13.27,0,87.55,239.72,5.63,1947.81,37.99,293.72,2.22
213,336.75,61.93,21.86,1.06,142.75,6.72,0,162.92,393.33,2.89,7.92,2.81,441.63,0
214,106,22.14,8.96,0.55,25,3.21,0,37,173,1.51,45,16.5,99.9,0
215,384,66.9,16.1,6.2,50,4.3,0,149,470,3.1,40,0,25,0
216,383.25,34.17,41.63,11.95,245.75,11.66,0,269.75,668.75,3.36,32,3,366.4,0
301,215,0,18.6,15.06,11,0.9,0.36,20,147,1.31,140,1.6,6,0.31
