outcome,outcome_label,specification,estimate,std.error,p.value
bn_swb,Subjective well-being,Base_Linear,-0.2353014173033139,0.08496617654011782,0.005687749377346928
bn_swb,Subjective well-being,Quadratic,-0.20197040010140074,0.1360816939955401,0.13797541970199464
bn_swb,Subjective well-being,Cubic,0.021939725852006764,0.30022396430859244,0.941754153195981
bn_swb,Subjective well-being,Drop_lower,-0.2922792013007949,0.11999704749011439,0.014993584200671812
bn_swb,Subjective well-being,Drop_mid,-0.20030633339987616,0.09430196682495699,0.03384839770188673
bn_swb,Subjective well-being,Drop_upper,-0.23526283915152235,0.08757054422149257,0.007310045219375199
bn_swb,Subjective well-being,Drop_huge,-0.2426497948264881,0.11229268030106729,0.030886496823432818
bn_mental_health,Mental health,Base_Linear,0.006696231249026949,0.09117605721493309,0.9414637513408639
bn_mental_health,Mental health,Quadratic,0.05149032456165861,0.1439765873058343,0.7206719612344163
bn_mental_health,Mental health,Cubic,0.28414358825214886,0.2972506628759996,0.3392779351552173
bn_mental_health,Mental health,Drop_lower,-0.05105268460937818,0.123531519390608,0.6794710070387531
bn_mental_health,Mental health,Drop_mid,0.03908974801423345,0.10002050613883627,0.6959955639704771
bn_mental_health,Mental health,Drop_upper,0.0018225841125699325,0.09369004997271993,0.9844824038836864
bn_mental_health,Mental health,Drop_huge,0.043711921034978646,0.11896450929806504,0.713352777785973
bn_consumption,Beneficiary-specific consumption,Base_Linear,-0.4243219227149184,0.11881332507245106,3.666805499687658e-4
bn_consumption,Beneficiary-specific consumption,Quadratic,-0.2349481156069828,0.16770195346567085,0.1614304307885196
bn_consumption,Beneficiary-specific consumption,Cubic,-0.1900224316439384,0.35717390980094876,0.5947953654039121
bn_consumption,Beneficiary-specific consumption,Drop_lower,-0.5641200374369022,0.16448045275321546,6.228373179530549e-4
bn_consumption,Beneficiary-specific consumption,Drop_mid,-0.3896412237617206,0.1256248490392476,0.0019655625206248303
bn_consumption,Beneficiary-specific consumption,Drop_upper,-0.4091963875234484,0.12374244983107373,9.689484730546531e-4
bn_consumption,Beneficiary-specific consumption,Drop_huge,-0.2908767569528546,0.14460080143221707,0.04446851427266517
hh_net_wealth,HH net non-land wealth,Base_Linear,-0.7645826384700604,0.49131257389599936,0.11987599976521494
hh_net_wealth,HH net non-land wealth,Quadratic,0.35633563654498923,0.8885048822077183,0.6884412928559607
hh_net_wealth,HH net non-land wealth,Cubic,1.225783602280385,1.629326203953001,0.4519764603149041
hh_net_wealth,HH net non-land wealth,Drop_lower,-1.5258464278773027,0.53937388826375,0.004741056359905771
hh_net_wealth,HH net non-land wealth,Drop_mid,-0.6043384106784482,0.5816726786238482,0.2990113239016468
hh_net_wealth,HH net non-land wealth,Drop_upper,-0.6370089884156672,0.5253990261275848,0.22556534266827905
hh_net_wealth,HH net non-land wealth,Drop_huge,-0.12773688736130784,0.7258766290856342,0.8603400137480935
hh_livestock_wealth,HH livestock wealth,Base_Linear,-1.9709949814147136,0.4573075195857652,1.7416808257627833e-5
hh_livestock_wealth,HH livestock wealth,Quadratic,-1.3265617694425016,0.7139536444813194,0.06336276785328525
hh_livestock_wealth,HH livestock wealth,Cubic,-2.5161872865622152,1.5734575119926968,0.11000437660370192
hh_livestock_wealth,HH livestock wealth,Drop_lower,-2.2486268216496534,0.6246101262903395,3.2992611154769325e-4
hh_livestock_wealth,HH livestock wealth,Drop_mid,-2.1525767032926364,0.5028211328122775,1.995582520407491e-5
hh_livestock_wealth,HH livestock wealth,Drop_upper,-1.8949143266802064,0.47963446687356576,8.203104126710589e-5
hh_livestock_wealth,HH livestock wealth,Drop_huge,-1.4517173344060683,0.5993860610896855,0.01557025832423733
sav_stock,Savings,Base_Linear,-0.1434948285915193,0.2770271714650368,0.604549854472194
sav_stock,Savings,Quadratic,0.2339232327266283,0.4492236213603925,0.6026352505637784
sav_stock,Savings,Cubic,0.10802512839866907,1.0079532842388006,0.9146666351739847
sav_stock,Savings,Drop_lower,-0.3708413094856364,0.37238894456643695,0.3195081676615113
sav_stock,Savings,Drop_mid,-0.0866392866406624,0.31683728981440096,0.784549948309947
sav_stock,Savings,Drop_upper,-0.08996146848506703,0.28709306586598127,0.7540620438804873
sav_stock,Savings,Drop_huge,0.1364696735970028,0.36299328026228134,0.7070102210847916
debt_stock,Debt,Base_Linear,0.5723780032683925,0.39302394386745576,0.14551230363472917
debt_stock,Debt,Quadratic,0.1055713277612711,0.6405336942472546,0.86911021043821
debt_stock,Debt,Cubic,0.55614541987199,1.362165997574154,0.6831277536736087
debt_stock,Debt,Drop_lower,0.8560247240272264,0.555252024937781,0.12338903735017219
debt_stock,Debt,Drop_mid,0.6530839785712892,0.44053080973867464,0.13844868095458482
debt_stock,Debt,Drop_upper,0.5018634648182423,0.3999838879827805,0.20980662125862756
debt_stock,Debt,Drop_huge,0.2708554357422035,0.5208468006480905,0.6031313680517285
bn_loc,Locus of control,Base_Linear,-0.012415609420452426,0.0782860610605675,0.8740115666340484
bn_loc,Locus of control,Quadratic,-0.13988733131139863,0.12848521694018397,0.27644683709768864
bn_loc,Locus of control,Cubic,-0.19951948293024924,0.2703229580760874,0.4605853813664005
bn_loc,Locus of control,Drop_lower,0.0877953882240385,0.10257445650062195,0.39219789406674155
bn_loc,Locus of control,Drop_mid,-0.03423933635896657,0.08930087742328088,0.7014737231453307
bn_loc,Locus of control,Drop_upper,-0.03661455353619507,0.08134361535938503,0.652696418695954
bn_loc,Locus of control,Drop_huge,-0.09561225543032016,0.10535714682862111,0.36430637459421855
bn_alt_aspiration,Aspirations,Base_Linear,-0.06405158384445832,0.0897114667187517,0.4753577107432747
bn_alt_aspiration,Aspirations,Quadratic,-0.040942017317148346,0.13914994693410884,0.7686243185179159
bn_alt_aspiration,Aspirations,Cubic,-0.45225740665477315,0.2912365192674608,0.12066656341700202
