term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,q.value
treat_HD,-0.2353014173033139,0.08496617654011782,-2.769353958068402,0.005687749377346928,bn_swb,Subjective well-being,1.0488006089238211e-8,1578,0.1646645103192469,0.009000000000000008
treat_any,0.4200964605262271,0.08618818335680664,4.874176994624523,1.2116736912958529e-6,bn_swb,Subjective well-being,1.0488006089238211e-8,1578,0.1646645103192469,0.0010000000000000009
treat_tau,0.02645582264539418,0.02295790108673971,1.1523624283177543,0.24936056238293444,bn_swb,Subjective well-being,1.0488006089238211e-8,1578,0.1646645103192469,0.263
treat_HD,0.006696231249026949,0.09117605721493309,0.0734428692528527,0.9414637513408639,bn_mental_health,Mental health,2.3959335944464594e-9,1578,0.08433753361756857,0.598
treat_any,-0.051342362918620314,0.08749272880039674,-0.5868186262169423,0.5574161251585619,bn_mental_health,Mental health,2.3959335944464594e-9,1578,0.08433753361756857,0.598
treat_tau,0.030882570345608273,0.024835634901965997,1.2434781904111338,0.21389102871672092,bn_mental_health,Mental health,2.3959335944464594e-9,1578,0.08433753361756857,0.263
treat_HD,-0.4243219227149184,0.11881332507245106,-3.5713327815392053,3.666805499687658e-4,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1578,0.25270594216641296,0.0010000000000000009
treat_any,0.5838716782753962,0.1198872326177228,4.870173958699612,1.2360800243358954e-6,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1578,0.25270594216641296,0.0010000000000000009
treat_tau,-0.015119194603449411,0.0345586252275135,-0.43749409890913193,0.661817673291544,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1578,0.25270594216641296,0.598
treat_HD,-0.7645826384700604,0.49131257389599936,-1.5562040930625696,0.11987599976521494,hh_net_wealth,HH net non-land wealth,11.283266153214273,1578,0.22848624603679357,0.355
treat_any,0.45831976929623636,0.47330611828462815,0.9683368787990617,0.33303631231896047,hh_net_wealth,HH net non-land wealth,11.283266153214273,1578,0.22848624603679357,0.5369999999999999
treat_tau,0.1599638106485285,0.1181099834961424,1.354363161465966,0.1758298232299355,hh_net_wealth,HH net non-land wealth,11.283266153214273,1578,0.22848624603679357,0.359
treat_HD,-1.9709949814147136,0.4573075195857652,-4.3099990640872585,1.7416808257627833e-5,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1578,0.2668223541020246,0.0010000000000000009
treat_any,1.896249007090028,0.4614779716366863,4.10907805710586,4.1928424297349516e-5,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1578,0.2668223541020246,0.0010000000000000009
treat_tau,0.07918749919210713,0.12092221082238228,0.6548631442772944,0.5126588843476104,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1578,0.2668223541020246,0.5429999999999999
