term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_HD,0.011010400074598095,0.033452694176689536,0.3291334329140625,0.7420969378864263,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,1
treat_GD_main,0.014592459789193027,0.033587405521063866,0.4344622504421061,0.6640100615159523,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,1
treat_GD_huge,0.02102237818369487,0.04662927858409181,0.4508407340204257,0.652164049350189,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,1
treat_combined,0.017652770340848896,0.04392324980694168,0.4019003698141442,0.6878098150670457,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,1
treat_HD_employ,0.34961382140188124,0.32010601787192433,1.0921813458120087,0.2749141093939517,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,0.601
treat_GD_main_employ,0.17250057163574362,0.32247905333116794,0.5349202370009292,0.5927776632709791,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,1
treat_GD_huge_employ,0.33637112942002945,0.4618560602321764,0.728302946270608,0.4665323245601115,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,1
treat_combined_employ,0.2743990038554961,0.42751634212435896,0.6418444789548583,0.5210640295088195,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,1
employ,0.04419971732254929,0.24844000421468926,0.17790901856672864,0.8588164398405282,bn_employed,Employed,0.475103734439834,1770,0.017026191726827067,0.8480792532630043,1
treat_HD,2.5257879461149058,1.609477511163896,1.5693216765038107,0.11676626387195595,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,0.365
treat_GD_main,4.2937124120065855,1.706760602215238,2.515708650899073,0.01197437577214887,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,0.04599999999999993
treat_GD_huge,0.8345039258223731,2.108439802482383,0.3957921515425128,0.6923099431178869,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,1
treat_combined,2.7999792206143956,2.134574924476867,1.3117268400876598,0.18979624416002044,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,0.601
treat_HD_employ,19.814847770060013,16.21317315155913,1.2221449548976495,0.2218287603985008,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,0.601
