term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_HD,0.08624011281962807,0.051699048622925584,1.668117985083878,0.09548355423554084,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.30199999999999994
treat_GD_main,0.04666815182851644,0.05189096298225093,0.899350275007983,0.36859838629622976,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.7070000000000001
treat_GD_huge,0.044843986457686356,0.0727964527564292,0.6160188410241714,0.5379677277963911,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.882
treat_combined,0.049122958379003316,0.06421232969372807,0.7650081941163613,0.44437693474598017,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.75
treat_HD_female,-0.11585530288846171,0.06643021517153488,-1.7440151682378608,0.08134414525888795,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.29999999999999993
treat_GD_main_female,-0.05293879871105207,0.06680584740873834,-0.7924276207014712,0.42822619978823606,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.749
treat_GD_huge_female,-0.038147507321799105,0.0918549287998377,-0.41530169170265047,0.6779754891673239,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.956
treat_combined_female,-0.07518134374929411,0.08614576666808703,-0.872722440778338,0.3829423732698337,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.7070000000000001
female,-0.15980047915740248,0.04792089038291493,-3.334672579756064,8.730805050159356e-4,bn_employed,Employed,0.475103734439834,1770,0.059158501376773365,0.5260174311610519,0.006000000000000005
treat_HD,1.4332162444233,2.7849380106057966,0.5146312912406759,0.6068801672588364,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,0.956
treat_GD_main,4.441171163050568,2.9815952282942364,1.4895285318763245,0.1365408750989115,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,0.40900000000000003
treat_GD_huge,-0.07855039615410647,3.6192968976342614,-0.021703219817487372,0.9826873403292735,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,1
treat_combined,3.545671976941951,3.670724998870066,0.9659323370814732,0.33422071463860603,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,0.7070000000000001
treat_HD_female,2.160190227717072,3.3539993857018726,0.6440639902696408,0.5196241670084287,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,0.882
treat_GD_main_female,-0.31537046067222213,3.5313520442396285,-0.08930586832503916,0.9288497548220079,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,1
treat_GD_huge_female,1.9532471783522807,4.289842466168094,0.45531909242742447,0.6489400750547092,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,0.956
treat_combined_female,-2.651469755457346,4.300265999438953,-0.6165827313480788,0.5375957223882764,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,0.882
female,-13.874362182179386,2.2617765981645332,-6.134276123220412,1.0705037867526762e-9,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.09829231746981026,0.8354482327924533,0.0010000000000000009
treat_HD,0.13785183558613529,0.370550585590232,0.3720189387005226,0.709926899196926,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,0.956
treat_GD_main,0.7865657843121453,0.330043778217845,2.3832165192127137,0.017275571929391074,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,0.05999999999999994
treat_GD_huge,0.6169505123252221,0.510368102391227,1.2088343872483893,0.22690104975355643,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,0.516
treat_combined,0.5924603437047745,0.42715514798388143,1.3869909949607604,0.16563332690558402,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,0.43899999999999995
treat_HD_female,0.015191003583237772,0.49910487185055913,0.030436496295684786,0.975722648664839,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,1
treat_GD_main_female,-0.0747905449875072,0.4758373262257534,-0.157176709067216,0.8751249665604611,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,1
treat_GD_huge_female,0.27683203517068156,0.679033428177451,0.4076854300291345,0.6835579448344715,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,0.956
treat_combined_female,0.6053131320851457,0.5998441612235214,1.0091173194892304,0.31306750476353656,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,0.7030000000000001
female,-1.7975741380614052,0.3524963273271938,-5.099554232781729,3.800280780757283e-7,bn_monthly_income,Monthly income,8.052206556687258,1770,0.07441522268801448,0.8093499655857785,0.0010000000000000009
treat_HD,1.0318694370926058,0.6093871557303803,1.6932904269304132,0.09059045591613978,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.30199999999999994
treat_GD_main,2.965135851101104,0.5898504674420517,5.0269280347606164,5.530647625929666e-7,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.0010000000000000009
treat_GD_huge,3.182089301045906,0.7686349014274616,4.139922992224689,3.6510880619714974e-5,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.0010000000000000009
treat_combined,3.4990911896405708,0.7053896559621641,4.960508224164059,7.761784046069213e-7,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.0010000000000000009
treat_HD_female,0.3200902423822105,0.7531687446650184,0.4249914041833677,0.6708987959100848,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.956
