term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_HD,0.057988860581226015,0.04987029123060655,1.1627937024285293,0.24508269122078544,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,0.643
treat_GD_main,0.017932030019492146,0.0490238825399453,0.3657815148541304,0.7145753748778868,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,1
treat_GD_huge,0.004887595848627451,0.07253331801089902,0.0673841481771595,0.9462841172425379,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,1
treat_combined,0.07758868579779224,0.06457496733442797,1.2015288431501234,0.22971992414499146,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,0.643
treat_HD_older,-0.07746248165932773,0.06587525684384274,-1.1758964650863146,0.23980723264577444,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,0.643
treat_GD_main_older,0.0034396430423907394,0.06572137248962692,0.052336750011324436,0.9582667567014905,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,1
treat_GD_huge_older,0.008832841910486534,0.09629020163820237,0.0917314717407568,0.9269226154684056,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,1
treat_combined_older,-0.10596962167634573,0.08601574237626686,-1.2319793882937464,0.21813371309096805,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,0.643
older,0.12107007736153738,0.0472616296453813,2.561699168436717,0.010505023370453842,bn_employed,Employed,0.475103734439834,1770,0.024157560880391338,0.5069261458408059,0.05599999999999994
treat_HD,4.3211381489631355,2.5199680729222322,1.7147590857975479,0.08657867036584416,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,0.31799999999999995
treat_GD_main,2.3946266474914406,2.458990643718868,0.9738250341082688,0.33028729493684184,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,0.819
treat_GD_huge,0.03191278133573927,3.2303183609282318,0.009879144335039823,0.9921189152333139,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,1
treat_combined,2.0187567815832614,2.9799051510505232,0.6774567240408902,0.4982119479175148,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,1
treat_HD_older,-3.0071745130092964,3.249632177425551,-0.92538919755271,0.3548998909795643,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,0.825
