term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,q.value
treat_HD,0.05909298971575826,0.06080193060451975,0.9718933120746258,0.33124720857032663,bn_loc,Locus of control,3.949426021813357e-9,1770,0.28039143635146957,0.7070000000000001
treat_GD_lower,0.13505341638541538,0.08544015244637868,1.5806785512253556,0.11414473897433748,bn_loc,Locus of control,3.949426021813357e-9,1770,0.28039143635146957,0.4
treat_GD_middle,0.022510412312031717,0.08190544763596416,0.274834128397432,0.7834783574812861,bn_loc,Locus of control,3.949426021813357e-9,1770,0.28039143635146957,1
treat_GD_upper,0.007185726919228015,0.07916959143009751,0.09076372366494559,0.9276914394854706,bn_loc,Locus of control,3.949426021813357e-9,1770,0.28039143635146957,1
treat_GD_huge,0.08324712540398244,0.08187239187812059,1.0167911733653554,0.3094030329447914,bn_loc,Locus of control,3.949426021813357e-9,1770,0.28039143635146957,0.7070000000000001
treat_combined,0.23304180718942008,0.07672849258844089,3.0372264504063478,0.0024253893236870177,bn_loc,Locus of control,3.949426021813357e-9,1770,0.28039143635146957,0.02400000000000002
treat_HD,-0.009728461141003803,0.07297970821905701,-0.13330364533388794,0.8939696291792795,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1770,0.09184534890470453,1
treat_GD_lower,0.08439770883567742,0.09292836141273746,0.9082018401339124,0.3639052715736717,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1770,0.09184534890470453,0.7070000000000001
treat_GD_middle,-0.050113916150232335,0.09230813259260916,-0.54289816880387,0.5872738241537876,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1770,0.09184534890470453,0.943
treat_GD_upper,0.12771276030002524,0.08678302023481949,1.471633044741438,0.1413122036081119,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1770,0.09184534890470453,0.45599999999999996
treat_GD_huge,0.040944440111673024,0.08669509684086785,0.472280920186618,0.636789238033157,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1770,0.09184534890470453,1
treat_combined,0.13625027764431655,0.07839518195692678,1.737993002161504,0.0824000889007604,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1770,0.09184534890470453,0.354
treat_HD,0.11438878650034495,0.06605326610964568,1.7317657889992042,0.08350365642079216,bn_big_five,Big Five index,1.3776618168067141e-9,1770,0.10939660423977893,0.354
treat_GD_lower,0.08439041619125094,0.09636019102396876,0.8757809142393622,0.3812776322734346,bn_big_five,Big Five index,1.3776618168067141e-9,1770,0.10939660423977893,0.7070000000000001
treat_GD_middle,0.09764268609163568,0.09225671333646605,1.0583802799859847,0.290038253061559,bn_big_five,Big Five index,1.3776618168067141e-9,1770,0.10939660423977893,0.7070000000000001
treat_GD_upper,0.02089325454948337,0.08647144108933823,0.24162028857478438,0.8091046616075567,bn_big_five,Big Five index,1.3776618168067141e-9,1770,0.10939660423977893,1
treat_GD_huge,-0.06534494283305128,0.09321961755093959,-0.7009784479897027,0.4834160910181893,bn_big_five,Big Five index,1.3776618168067141e-9,1770,0.10939660423977893,0.778
treat_combined,0.034453979790239904,0.08736566569158896,0.39436521793202484,0.6933627882353062,bn_big_five,Big Five index,1.3776618168067141e-9,1770,0.10939660423977893,1
treat_HD,0.6586296876481307,0.074089241456035,8.889680535317202,1.5807905056476708e-18,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1770,0.23058920843395048,0.0010000000000000009
treat_GD_lower,0.0787492287243664,0.09561451606265128,0.8236116435789528,0.41028022907996475,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1770,0.23058920843395048,0.7070000000000001
treat_GD_middle,0.07543700613669145,0.09233835161093125,0.8169628850918433,0.4140685145017249,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1770,0.23058920843395048,0.7070000000000001
treat_GD_upper,0.0665121032464158,0.09365917685874792,0.71015041426988,0.4777120145655841,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1770,0.23058920843395048,0.778
treat_GD_huge,-0.024340290472869796,0.09468694610573239,-0.2570606770408474,0.7971642381113344,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1770,0.23058920843395048,1
treat_combined,0.6213329115918806,0.09349624139785621,6.645538925440988,4.101733789935877e-11,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1770,0.23058920843395048,0.0010000000000000009
treat_HD,0.12099043338861655,0.06602900794068786,1.832383026219311,0.0670759416096761,bn_business_attitude,Business attitudes,7.265088963805393e-10,1770,0.09445788952213152,0.354
treat_GD_lower,0.19373842030450375,0.09304425464860382,2.082217983648611,0.03747753611455091,bn_business_attitude,Business attitudes,7.265088963805393e-10,1770,0.09445788952213152,0.254
treat_GD_middle,0.1911724854551571,0.08874416948722774,2.1541976961390246,0.031370215217659675,bn_business_attitude,Business attitudes,7.265088963805393e-10,1770,0.09445788952213152,0.254
treat_GD_upper,0.10046403693202485,0.09208106847341073,1.091039000715275,0.275416280545585,bn_business_attitude,Business attitudes,7.265088963805393e-10,1770,0.09445788952213152,0.7070000000000001
treat_GD_huge,0.05963406928115319,0.09346276344762777,0.6380516376938649,0.5235293079680103,bn_business_attitude,Business attitudes,7.265088963805393e-10,1770,0.09445788952213152,0.826
treat_combined,0.1413159214082949,0.08637830642955281,1.6360117169413055,0.10202936787951185,bn_business_attitude,Business attitudes,7.265088963805393e-10,1770,0.09445788952213152,0.396
