term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,q.value
treat_HD,0.1829338659696936,0.0663121211707882,2.758679148545765,0.005868131086887144,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.0050000000000000044
treat_GD_lower,0.39251134710754393,0.09375881643432693,4.186394005757072,2.9848843953653418e-5,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.0010000000000000009
treat_GD_middle,0.5264648724598563,0.09780649930748544,5.382718696482006,8.400417141099674e-8,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.0010000000000000009
treat_GD_upper,0.47270371839269093,0.09378842590773313,5.0401071754602835,5.168459703295226e-7,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.0010000000000000009
treat_GD_huge,0.5445740707000762,0.09089850183953953,5.991012609442089,2.5589154504936274e-9,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.0010000000000000009
treat_combined,0.40209394738299564,0.08651982173702635,4.647419970479651,3.630391524855604e-6,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.0010000000000000009
treat_HD,-0.04681580746027137,0.07222069394403509,-0.6482325896307456,0.5169254380492654,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.277
treat_GD_lower,-0.07090361257123591,0.09395432605585596,-0.7546604349977842,0.45056130091187696,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.267
treat_GD_middle,0.059895537576341716,0.0944337735952571,0.63425970705199,0.5259999678185334,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.277
treat_GD_upper,0.007698217464007327,0.09299127166188306,0.08278430143420451,0.9340331729315685,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.389
treat_GD_huge,0.10165881572007439,0.09709001518909792,1.0470573675581163,0.29522769141462696,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.17399999999999993
treat_combined,0.11990669551083366,0.09060803637768176,1.3233560763973098,0.18590178591967024,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.122
treat_HD,0.14679745210323122,0.11502182766566282,1.2762573424753039,0.20204560042969513,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.123
treat_GD_lower,0.4896580397055415,0.11603571146804519,4.219890872478404,2.5782353519997433e-5,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.0010000000000000009
treat_GD_middle,0.6022733828691117,0.13451134234613205,4.4774914320556585,8.07476454579596e-6,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.0010000000000000009
treat_GD_upper,0.6213373253008172,0.1185514356928203,5.241078032245598,1.803844321251624e-7,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.0010000000000000009
treat_GD_huge,0.453602223481434,0.14825304946967505,3.0596485205804664,0.002251945794791398,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.0030000000000000027
treat_combined,0.6896547658987306,0.11659436782980663,5.91499211098621,4.032588035517325e-9,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.0010000000000000009
