Table	Variables	used_any_mechanized_desludging	used_manual_desludging	no_of_hh_diarrhea	share_of_hh_diarrhea
Baseline data	Mean	0.291528422915284	0.37602300376023	0.952060931975059	0.0957577810106724
	SD	0.454516552118758	0.48443948397091	1.48917487988549	0.154606038197339
Table 2	(treated households) # high subsidy hhds in cluster	0.0132612144432918	0.0143236675337461		
	(spillover households) # high subsidy hhds in cluster	0.0234424772612756	0.0300351141761073		
	(all households) # high subsidy hhds in cluster	0.012356633273425	0.0129659331672286		
Table 4	# high subsidy hhds in cluster			0.0303000824010832	0.00336659057727656
	# high subsidy hhds in nearest 4			0.0441073391901722	0.00463239834218743
Table 5	Network: testknow	0.0199383897062282	0.0212971999208422		
	Network: nghbrtea	0.0245323175857348	0.0238800469537847		
	Network: nghbrldhlth	0.0310113065201284	0.0337172279066538		
	Network: nghbrsani	0.033556235415341	0.0335381943981308		
	Network: hhwealthy	0.0251121499746704	0.0252891759869488		
	Network: hhnear5	0.0204240107740365	0.0217541950399071		
Table 6	# signed up first 5 x Public-how-many	0.0540630626431433	0.0560273937205671		
	# signed up first 5 x Public-who	0.051675040510786	0.0557382280848417		
Table 7	Public-who network: testknow	0.101675559961801	0.109316642812998		
	Public-who network: tea	0.111606452004064	0.124140910271712		
	Public-who network: leadhealth	0.182220188924316	0.191106645797986		
	Public-who network: sanitation	0.156917042191754	0.160952749125067		
	Public-who network: wealthy	0.15299204818989	0.147325585823409		
	Public-who network: near5inc	0.120717000437133	0.124897376554366		
Table 8	High subsidy x Public-price cluster	0.0715721792620016	0.0746965744508017		
