Variable_baseline, Variable_midline, Label
bn_age, Lbn_age, Beneficiary age
 , mLbn_age, Missing: Beneficiary age
bn_alt_aspiration, Lbn_alt_aspiration, Aspirations (Future only)
 , mLbn_alt_aspiration, Missing: Aspirations (Future only)
bn_aspiration, Lbn_aspiration, Aspirations
 , mLbn_aspiration, Missing: Aspirations
bn_big_five, Lbn_big_five, Big Five Index
 , mLbn_big_five, Missing: Big Five Index
bn_borrow_agr, Lbn_borrow_agr, Value of beneficiary debt from agri input supplier
 , mLbn_borrow_agr, Missing: Value of beneficiary debt from agri input supplier
bn_borrow_bank, Lbn_borrow_bank, Value of beneficiary debt from banks
 , mLbn_borrow_bank, Missing: Value of beneficiary debt from banks
bn_borrow_coop, Lbn_borrow_coop, Value of beneficiary debt from co-op/associations
 , mLbn_borrow_coop, Missing: Value of beneficiary debt from co-op/associations
bn_borrow_micro, Lbn_borrow_micro, Value of beneficiary debt from microfinance institutions
 , mLbn_borrow_micro, Missing: Value of beneficiary debt from microfinance institutions
bn_borrow_neighb, Lbn_borrow_neighb, Value of beneficiary debt from friends/neighbours
 , mLbn_borrow_neighb, Missing: Value of beneficiary debt from friends/neighbours
bn_borrow_ngo, Lbn_borrow_ngo, Value of beneficiary debt from NGOs
 , mLbn_borrow_ngo, Missing: Value of beneficiary debt from NGOs
bn_borrow_other, Lbn_borrow_other, Value of beneficiary debt from other sources
 , mLbn_borrow_other, Missing: Value of beneficiary debt from other sources
bn_borrow_private, Lbn_borrow_private, Value of beneficiary debt from private money lender
 , mLbn_borrow_private, Missing: Value of beneficiary debt from private money lender
bn_borrow_relative, Lbn_borrow_relative, Value of beneficiary debt from relatives
 , mLbn_borrow_relative, Missing: Value of beneficiary debt from relatives
bn_borrow_sacco, Lbn_borrow_sacco, Value of beneficiary debt from SACCO
 , mLbn_borrow_sacco, Missing: Value of beneficiary debt from SACCO
bn_borrowing, Lbn_borrowing, Beneficiary stock of debt
 , mLbn_borrowing, Missing: Beneficiary stock of debt
bn_buscont_adv, Lbn_buscont_adv, Ind. for business contact who would take advantage of ben.
 , mLbn_buscont_adv, Missing: Ind. for business contact who would take advantage of ben.
bn_buscont_diffrel, Lbn_buscont_diffrel, Ind. for contact beneficiary has difficulty in business relation
 , mLbn_buscont_diffrel, Missing: Ind. for contact beneficiary has difficulty in business relation
bn_busi_before, Lbn_busi_before, Ind. for starting business before
 , mLbn_busi_before, Missing: Ind. for starting business before
bn_busiemp_nonhh, Lbn_busiemp_nonhh, No. of non-HH members employed
 , mLbn_busiemp_nonhh, Missing: No. of non-HH members employed
bn_busiknowledge, Lbn_busiknowledge, Business Knowledge
 , mLbn_busiknowledge, Missing: Business Knowledge
bn_business_attitude, Lbn_business_attitude, Business Attitudes
 , mLbn_business_attitude, Missing: Business Attitudes
bn_business_knowledge, Lbn_business_knowledge, Business Knowledge
 , mLbn_business_knowledge, Missing: Business Knowledge
bn_cash_hold_amt, Lbn_cash_hold_amt, Amount of cash holding beneficiary is comfortable with
 , mLbn_cash_hold_amt, Missing: Amount of cash holding beneficiary is comfortable with
bn_cash_hold_comfort, Lbn_cash_hold_comfort, Ind. for beneficiaries comforatble holding cash
 , mLbn_cash_hold_comfort, Missing: Ind. for beneficiaries comforatble holding cash
bn_consumption, Lbn_consumption, Beneficiary-specific expenditure
 , mLbn_consumption, Missing: Beneficiary-specific expenditure
bn_coop_debt, Lbn_coop_debt, Ind. for beneficiary borr from co-operatives
 , mLbn_coop_debt, Missing: Ind. for beneficiary borr from co-operatives
bn_currjob, Lbn_currjob, Ind. if beneficiary has a current job
 , mLbn_currjob, Missing: Ind. if beneficiary has a current job
bn_dayswork, Lbn_dayswork, Days worked in a week
 , mLbn_dayswork, Missing: Days worked in a week
bn_durann_cons, Lbn_durann_cons, Types of frequent [annual] items bought & consumed
 , mLbn_durann_cons, Missing: Types of frequent [annual] items bought & consumed
bn_durexp_own_alco, Lbn_durexp_own_alco, Beneficiary expenditure on alco
 , mLbn_durexp_own_alco, Missing: Beneficiary expenditure on alco
bn_durexp_own_cigar, Lbn_durexp_own_cigar, Beneficiary expenditure on cigar
 , mLbn_durexp_own_cigar, Missing: Beneficiary expenditure on cigar
bn_durexp_own_cloth, Lbn_durexp_own_cloth, Beneficiary expenditure on cloth
 , mLbn_durexp_own_cloth, Missing: Beneficiary expenditure on cloth
bn_durexp_own_condom, Lbn_durexp_own_condom, Beneficiary expenditure on condom
 , mLbn_durexp_own_condom, Missing: Beneficiary expenditure on condom
bn_durexp_own_phone, Lbn_durexp_own_phone, Beneficiary expenditure on phone
 , mLbn_durexp_own_phone, Missing: Beneficiary expenditure on phone
bn_durexp_own_purse, Lbn_durexp_own_purse, Beneficiary expenditure on purse
 , mLbn_durexp_own_purse, Missing: Beneficiary expenditure on purse
bn_durexp_own_shoe, Lbn_durexp_own_shoe, Beneficiary expenditure on shoe
 , mLbn_durexp_own_shoe, Missing: Beneficiary expenditure on shoe
bn_educ, Lbn_educ, Beneficiary education level
 , mLbn_educ, Missing: Beneficiary education level
bn_edyrs, Lbn_edyrs, Beneficiary years of education
 , mLbn_edyrs, Missing: Beneficiary years of education
bn_employed, Lbn_employed, Employed
 , mLbn_employed, Missing: Employed
bn_female, Lbn_female, Beneficiary female
 , mLbn_female, Missing: Beneficiary female
bn_findworkhrs, Lbn_findworkhrs, Hours spent looking for work
 , mLbn_findworkhrs, Missing: Hours spent looking for work
bn_first_job, Lbn_first_job, Ind. for current job as first job
 , mLbn_first_job, Missing: Ind. for current job as first job
bn_freqexp_own_beer, Lbn_freqexp_own_beer, Beneficiary expenditure on beer
 , mLbn_freqexp_own_beer, Missing: Beneficiary expenditure on beer
bn_freqexp_own_cake, Lbn_freqexp_own_cake, Beneficiary expenditure on cake
 , mLbn_freqexp_own_cake, Missing: Beneficiary expenditure on cake
bn_freqexp_own_cream, Lbn_freqexp_own_cream, Beneficiary expenditure on cream
 , mLbn_freqexp_own_cream, Missing: Beneficiary expenditure on cream
bn_freqexp_own_hair, Lbn_freqexp_own_hair, Beneficiary expenditure on hair
 , mLbn_freqexp_own_hair, Missing: Beneficiary expenditure on hair
bn_freqexp_own_soap, Lbn_freqexp_own_soap, Beneficiary expenditure on soap
 , mLbn_freqexp_own_soap, Missing: Beneficiary expenditure on soap
bn_freqexp_own_soda, Lbn_freqexp_own_soda, Beneficiary expenditure on soda
 , mLbn_freqexp_own_soda, Missing: Beneficiary expenditure on soda
bn_freqmth_cons, Lbn_freqmth_cons, Types of frequent [monthly] items bought & consumed
 , mLbn_freqmth_cons, Missing: Types of frequent [monthly] items bought & consumed
bn_frnd_debt, Lbn_frnd_debt, Ind. for beneficiary borr from friends/neighbors
 , mLbn_frnd_debt, Missing: Ind. for beneficiary borr from friends/neighbors
bn_grp_sav, Lbn_grp_sav, Ind. for beneficiary with Group Savings
 , mLbn_grp_sav, Missing: Ind. for beneficiary with Group Savings
bn_income_levels, Lbn_income_levels, Beneficiary monthly income (levels, winsorized)
 , mLbn_income_levels, Missing: Beneficiary monthly income (levels, winsorized)
bn_intern, Lbn_intern, Ind. for beneficiary having had an intenrship
 , mLbn_intern, Missing: Ind. for beneficiary having had an intenrship
bn_labgame_diff, Lbn_labgame_diff, Beneficiary's difficulty understanding lab games
 , mLbn_labgame_diff, Missing: Beneficiary's difficulty understanding lab games
bn_leisurehrs, Lbn_leisurehrs, Hours spent in leisure
 , mLbn_leisurehrs, Missing: Hours spent in leisure
bn_loc, Lbn_loc, Locus of Control
 , mLbn_loc, Missing: Locus of Control
bn_lottery_90day, Lbn_lottery_90day, Lottery choice for payout in 90-days
 , mLbn_lottery_90day, Missing: Lottery choice for payout in 90-days
bn_lottery_tmrrw, Lbn_lottery_tmrrw, Lottery choice for payout tomorrow
 , mLbn_lottery_tmrrw, Missing: Lottery choice for payout tomorrow
bn_mental_health, Lbn_mental_health, Mental health
 , mLbn_mental_health, Missing: Mental health
bn_mig_wage, Lbn_mig_wage, Beneficiary compensatory wages to migrate
 , mLbn_mig_wage, Missing: Beneficiary compensatory wages to migrate
bn_mob_sav, Lbn_mob_sav, Ind. for beneficiary with Mobile Savings
 , mLbn_mob_sav, Missing: Ind. for beneficiary with Mobile Savings
bn_month_consumption_levels, Lbn_month_consumption_levels, Beneficiary consumption expenditure (RWF, winsorized)
 , mLbn_month_consumption_levels, Missing: Beneficiary consumption expenditure (RWF, winsorized)
bn_monthly_income, Lbn_monthly_income, Monthly income
 , mLbn_monthly_income, Missing: Monthly income
bn_mult_lookforjob, Lbn_mult_lookforjob, Ind. for beneficiaries looking at multiple source for jobs
 , mLbn_mult_lookforjob, Missing: Ind. for beneficiaries looking at multiple source for jobs
bn_ownidea, Lbn_ownidea, Ind. for beneficiary's own idea
 , mLbn_ownidea, Missing: Ind. for beneficiary's own idea
bn_parent_decsav, Lbn_parent_decsav, Ind. for any parent involvement in saving decision
 , mLbn_parent_decsav, Missing: Ind. for any parent involvement in saving decision
bn_perassets, Lbn_perassets, No. of personal assets owned
 , mLbn_perassets, Missing: No. of personal assets owned
