outcome,outcome_label,term,estimate,std.error,p_hd_vs_lower_per_dollar,p_lower_vs_large_per_dollar,p_combined_vs_large_per_dollar
bn_swb,Subjective well-being,treat_HD,0.05505499441661073,0.019957012560026386,0.07101439742874643,0.1271208239996495,0.18624206071923324
bn_swb,Subjective well-being,treat_GD_lower,0.09952338923905713,0.023773058413086277,0.07101439742874643,0.1271208239996495,0.18624206071923324
bn_swb,Subjective well-being,treat_GD_middle,0.10722357987064444,0.019919967198122907,0.07101439742874643,0.1271208239996495,0.18624206071923324
bn_swb,Subjective well-being,treat_GD_upper,0.08006349348076569,0.01588527598591273,0.07101439742874643,0.1271208239996495,0.18624206071923324
bn_swb,Subjective well-being,treat_GD_huge,0.06431640002662524,0.010735480664029965,0.07101439742874643,0.1271208239996495,0.18624206071923324
bn_swb,Subjective well-being,treat_combined,0.047857039301577246,0.01029754995364407,0.07101439742874643,0.1271208239996495,0.18624206071923324
bn_mental_health,Mental health,treat_HD,-0.014089485315755393,0.021735231367773753,0.882423898979947,0.20796673204742797,0.8682932152923548
bn_mental_health,Mental health,treat_GD_lower,-0.01797799702959668,0.023822630942152763,0.882423898979947,0.20796673204742797,0.8682932152923548
bn_mental_health,Mental health,treat_GD_middle,0.01219875112883579,0.01923305389449225,0.882423898979947,0.20796673204742797,0.8682932152923548
bn_mental_health,Mental health,treat_GD_upper,0.0013038742022990553,0.015750259163995622,0.882423898979947,0.20796673204742797,0.8682932152923548
bn_mental_health,Mental health,treat_GD_huge,0.012006317248413877,0.011466723429313413,0.882423898979947,0.20796673204742797,0.8682932152923548
bn_mental_health,Mental health,treat_combined,0.014271240532050087,0.01078412740651175,0.882423898979947,0.20796673204742797,0.8682932152923548
bn_consumption,Beneficiary-specific consumption,treat_HD,0.04417953375158539,0.03461647763443937,0.015596979968213203,0.014409322349154584,0.11215462135248294
bn_consumption,Beneficiary-specific consumption,treat_GD_lower,0.12415546210004505,0.029421486444062173,0.015596979968213203,0.014409322349154584,0.11215462135248294
bn_consumption,Beneficiary-specific consumption,treat_GD_middle,0.12266328021145148,0.027395536557204673,0.015596979968213203,0.014409322349154584,0.11215462135248294
bn_consumption,Beneficiary-specific consumption,treat_GD_upper,0.10523809091819397,0.02007947415984256,0.015596979968213203,0.014409322349154584,0.11215462135248294
bn_consumption,Beneficiary-specific consumption,treat_GD_huge,0.05357225697671192,0.017509284682983246,0.015596979968213203,0.014409322349154584,0.11215462135248294
bn_consumption,Beneficiary-specific consumption,treat_combined,0.0820823975365598,0.013877008793317588,0.015596979968213203,0.014409322349154584,0.11215462135248294
hh_net_wealth,HH net non-land wealth,treat_HD,-0.09729904302695881,0.11919510506548604,0.6090909050070958,0.3689754224067904,0.692398417234189
hh_net_wealth,HH net non-land wealth,treat_GD_lower,-0.014486094687760924,0.15112833767636408,0.6090909050070958,0.3689754224067904,0.692398417234189
hh_net_wealth,HH net non-land wealth,treat_GD_middle,0.22452740081024075,0.08633205878711704,0.6090909050070958,0.3689754224067904,0.692398417234189
hh_net_wealth,HH net non-land wealth,treat_GD_upper,0.19329746767767056,0.06915997087256442,0.6090909050070958,0.3689754224067904,0.692398417234189
hh_net_wealth,HH net non-land wealth,treat_GD_huge,0.1163114635124148,0.048241218026929406,0.6090909050070958,0.3689754224067904,0.692398417234189
hh_net_wealth,HH net non-land wealth,treat_combined,0.09318742393051535,0.05453558541701069,0.6090909050070958,0.3689754224067904,0.692398417234189
hh_livestock_wealth,HH livestock wealth,treat_HD,-0.018220948958097657,0.1112612711927066,5.012665492517179e-4,0.11474407104185068,0.8236666217340781
hh_livestock_wealth,HH livestock wealth,treat_GD_lower,0.44164469822734104,0.12442335841055573,5.012665492517179e-4,0.11474407104185068,0.8236666217340781
hh_livestock_wealth,HH livestock wealth,treat_GD_middle,0.3753994956141519,0.10557381595914722,5.012665492517179e-4,0.11474407104185068,0.8236666217340781
hh_livestock_wealth,HH livestock wealth,treat_GD_upper,0.4435181749800701,0.07646682813892754,5.012665492517179e-4,0.11474407104185068,0.8236666217340781
hh_livestock_wealth,HH livestock wealth,treat_GD_huge,0.2513420808918293,0.05622452245324937,5.012665492517179e-4,0.11474407104185068,0.8236666217340781
hh_livestock_wealth,HH livestock wealth,treat_combined,0.2655027570362938,0.053688785423620974,5.012665492517179e-4,0.11474407104185068,0.8236666217340781
sav_stock,Savings,treat_HD,0.30795187611501806,0.07019213899438359,0.6031394509797736,0.20353417221082765,0.4438766501398298
sav_stock,Savings,treat_GD_lower,0.26545552947010836,0.0806358906422758,0.6031394509797736,0.20353417221082765,0.4438766501398298
sav_stock,Savings,treat_GD_middle,0.2691390399674602,0.06679740953979317,0.6031394509797736,0.20353417221082765,0.4438766501398298
sav_stock,Savings,treat_GD_upper,0.2629427977469229,0.05099575406600782,0.6031394509797736,0.20353417221082765,0.4438766501398298
sav_stock,Savings,treat_GD_huge,0.16649344873456498,0.035953531638054245,0.6031394509797736,0.20353417221082765,0.4438766501398298
sav_stock,Savings,treat_combined,0.19533173421090338,0.03195970657776523,0.6031394509797736,0.20353417221082765,0.4438766501398298
debt_stock,Debt,treat_HD,0.13220356418420978,0.08485688331456019,0.21934832904109589,0.7613684832463444,0.6048488293901839
debt_stock,Debt,treat_GD_lower,-0.004635977278603435,0.10392022212557409,0.21934832904109589,0.7613684832463444,0.6048488293901839
debt_stock,Debt,treat_GD_middle,-0.04408520188816219,0.08756690572851646,0.21934832904109589,0.7613684832463444,0.6048488293901839
debt_stock,Debt,treat_GD_upper,-0.09895330904896014,0.07477604252549412,0.21934832904109589,0.7613684832463444,0.6048488293901839
debt_stock,Debt,treat_GD_huge,-0.03675691010157146,0.050138736628002396,0.21934832904109589,0.7613684832463444,0.6048488293901839
debt_stock,Debt,treat_combined,-0.006453646503052402,0.045040628713495276,0.21934832904109589,0.7613684832463444,0.6048488293901839
bn_loc,Locus of control,treat_HD,0.017784373612925702,0.018298689158548452,0.4803198729044684,0.2580590811937338,0.11982445950935026
bn_loc,Locus of control,treat_GD_lower,0.034243529075116054,0.02166381586475642,0.4803198729044684,0.2580590811937338,0.11982445950935026
bn_loc,Locus of control,treat_GD_middle,0.004584630653860605,0.01668144593465796,0.4803198729044684,0.2580590811937338,0.11982445950935026
bn_loc,Locus of control,treat_GD_upper,0.0012170718739179488,0.013409232508031197,0.4803198729044684,0.2580590811937338,0.11982445950935026
bn_loc,Locus of control,treat_GD_huge,0.00983182216455173,0.009669460575676084,0.4803198729044684,0.2580590811937338,0.11982445950935026
bn_loc,Locus of control,treat_combined,0.027736530226732545,0.009132190397927589,0.4803198729044684,0.2580590811937338,0.11982445950935026
bn_alt_aspiration,Aspirations,treat_HD,-0.002927836084155741,0.02196366105984828,0.35393093605544956,0.46971653361387256,0.3241269116441793
bn_alt_aspiration,Aspirations,treat_GD_lower,0.02139949861127543,0.0235624920206285,0.35393093605544956,0.46971653361387256,0.3241269116441793
bn_alt_aspiration,Aspirations,treat_GD_middle,-0.010206556547369539,0.018800130731435216,0.35393093605544956,0.46971653361387256,0.3241269116441793
bn_alt_aspiration,Aspirations,treat_GD_upper,0.021631159971534857,0.014698745756511191,0.35393093605544956,0.46971653361387256,0.3241269116441793
bn_alt_aspiration,Aspirations,treat_GD_huge,0.004835703957963333,0.010239041534967248,0.35393093605544956,0.46971653361387256,0.3241269116441793
bn_alt_aspiration,Aspirations,treat_combined,0.016216446267130803,0.009330559010860667,0.35393093605544956,0.46971653361387256,0.3241269116441793
bn_big_five,Big Five index,treat_HD,0.03442596027103421,0.019879108647208658,0.612210616499364,0.2299530675235781,0.35189048313895255
bn_big_five,Big Five index,treat_GD_lower,0.02139764952157347,0.0244326511044807,0.612210616499364,0.2299530675235781,0.35189048313895255
bn_big_five,Big Five index,treat_GD_middle,0.019886603833628204,0.018789658320061995,0.612210616499364,0.2299530675235781,0.35189048313895255
bn_big_five,Big Five index,treat_GD_upper,0.003538764101755805,0.014645972499368633,0.612210616499364,0.2299530675235781,0.35189048313895255
bn_big_five,Big Five index,treat_GD_huge,-0.007717502005860553,0.011009613816220953,0.612210616499364,0.2299530675235781,0.35189048313895255
bn_big_five,Big Five index,treat_combined,0.004100697052638572,0.010398221917596682,0.612210616499364,0.2299530675235781,0.35189048313895255
bn_business_knowledge,Business knowledge,treat_HD,0.19821837571666032,0.0222975814405447,2.4594411338406176e-11,0.3399927120267364,1.875285271099728e-8
bn_business_knowledge,Business knowledge,treat_GD_lower,0.01996729572371648,0.024243581157922738,2.4594411338406176e-11,0.3399927120267364,1.875285271099728e-8
bn_business_knowledge,Business knowledge,treat_GD_middle,0.015364037138710714,0.0188062853516087,2.4594411338406176e-11,0.3399927120267364,1.875285271099728e-8
bn_business_knowledge,Business knowledge,treat_GD_upper,0.011265389159129925,0.015863384619316315,2.4594411338406176e-11,0.3399927120267364,1.875285271099728e-8
bn_business_knowledge,Business knowledge,treat_GD_huge,-0.0028746867378478913,0.011182911252470944,2.4594411338406176e-11,0.3399927120267364,1.875285271099728e-8
bn_business_knowledge,Business knowledge,treat_combined,0.0739507614152004,0.011127880258453701,2.4594411338406176e-11,0.3399927120267364,1.875285271099728e-8
bn_business_attitude,Business attitudes,treat_HD,0.03641276370214106,0.019871808012362012,0.6053314977563885,0.07188268880761346,0.44458678536867136
bn_business_attitude,Business attitudes,treat_GD_lower,0.049123431352017063,0.02359187738160799,0.6053314977563885,0.07188268880761346,0.44458678536867136
bn_business_attitude,Business attitudes,treat_GD_middle,0.038935547907488675,0.018074268660333723,0.6053314977563885,0.07188268880761346,0.44458678536867136
bn_business_attitude,Business attitudes,treat_GD_upper,0.01701594773425617,0.015596094844547877,0.6053314977563885,0.07188268880761346,0.44458678536867136
bn_business_attitude,Business attitudes,treat_GD_huge,0.007043024744405253,0.011038330329910499,0.6053314977563885,0.07188268880761346,0.44458678536867136
bn_business_attitude,Business attitudes,treat_combined,0.01681935689107409,0.010280706865913914,0.6053314977563885,0.07188268880761346,0.44458678536867136
