term,estimate,std.error,statistic,p.value,outcome,outcome_label,complementarity_mid_est,complementarity_mid_p,combined_minus_large_est,combined_minus_large_p,alt_complementarity_est,alt_complementarity_p
treat_HD,0.023112312350587635,0.03318998833735471,0.6963639792718807,0.4862997754475774,bn_employed,Employed,-0.07001270445131903,0.26730422314185526,-0.011860885289607643,0.8232462127868532,-0.0023359312085630985,0.9731976476149551
treat_GD_lower,0.03263726643163218,0.04581510923982037,0.7123690628083318,0.4763377847408381,bn_employed,Employed,-0.07001270445131903,0.26730422314185526,-0.011860885289607643,0.8232462127868532,-0.0023359312085630985,0.9731976476149551
treat_GD_middle,0.05017624650133056,0.0461375332569691,1.087536393024467,0.27695991944524967,bn_employed,Employed,-0.07001270445131903,0.26730422314185526,-0.011860885289607643,0.8232462127868532,-0.0023359312085630985,0.9731976476149551
treat_GD_upper,0.0018915783655092146,0.04705445473220081,0.040199772290948455,0.9679387611567645,bn_employed,Employed,-0.07001270445131903,0.26730422314185526,-0.011860885289607643,0.8232462127868532,-0.0023359312085630985,0.9731976476149551
treat_GD_huge,0.015136739690206808,0.04567755239401438,0.3313824602429954,0.7403980278103339,bn_employed,Employed,-0.07001270445131903,0.26730422314185526,-0.011860885289607643,0.8232462127868532,-0.0023359312085630985,0.9731976476149551
treat_combined,0.003275854400599165,0.04306418617975144,0.07606911197452176,0.9393734091257945,bn_employed,Employed,-0.07001270445131903,0.26730422314185526,-0.011860885289607643,0.8232462127868532,-0.0023359312085630985,0.9731976476149551
treat_HD,2.9947767356865436,1.578065855122553,1.8977514315801278,0.05790462104962559,bn_productive_hrs,Productive hours,-7.2267647184822685,0.02251740490130822,0.8455646616989867,0.7332064209309023,0.3086465170130017,0.9270645366779239
treat_GD_lower,2.4578585910005586,2.2407427726411573,1.096894574875048,0.27284880837882525,bn_productive_hrs,Productive hours,-7.2267647184822685,0.02251740490130822,0.8455646616989867,0.7332064209309023,0.3086465170130017,0.9270645366779239
treat_GD_middle,6.353759219239046,2.4030316406532375,2.644059741765134,0.00827007412557705,bn_productive_hrs,Productive hours,-7.2267647184822685,0.02251740490130822,0.8455646616989867,0.7332064209309023,0.3086465170130017,0.9270645366779239
treat_GD_upper,3.8838434426933457,2.5347889753881936,1.532215691485146,0.12566243876003594,bn_productive_hrs,Productive hours,-7.2267647184822685,0.02251740490130822,0.8455646616989867,0.7332064209309023,0.3086465170130017,0.9270645366779239
treat_GD_huge,1.2762065747443345,2.0883133706141694,0.6111183276909271,0.5412060933074154,bn_productive_hrs,Productive hours,-7.2267647184822685,0.02251740490130822,0.8455646616989867,0.7332064209309023,0.3086465170130017,0.9270645366779239
treat_combined,2.121771236443321,2.0407431531458604,1.0397051844434975,0.29863042699779263,bn_productive_hrs,Productive hours,-7.2267647184822685,0.02251740490130822,0.8455646616989867,0.7332064209309023,0.3086465170130017,0.9270645366779239
treat_HD,0.29940279971456407,0.2579367555679054,1.1607605091231061,0.24590854838838666,bn_monthly_income,Monthly income,-0.2762633626252944,0.546647247883318,0.3560177249612648,0.35717336376241693,0.7642291498294369,0.15142387659160733
treat_GD_lower,0.7076142245827362,0.36542712994876836,1.936403092682093,0.052990280320083114,bn_monthly_income,Monthly income,-0.2762633626252944,0.546647247883318,0.3560177249612648,0.35717336376241693,0.7642291498294369,0.15142387659160733
treat_GD_middle,1.0352801754447698,0.34307233768243284,3.0176731310907488,0.0025865414616157217,bn_monthly_income,Monthly income,-0.2762633626252944,0.546647247883318,0.3560177249612648,0.35717336376241693,0.7642291498294369,0.15142387659160733
treat_GD_upper,1.1118676792717546,0.3470732401246143,3.203553459991747,0.0013835487272631595,bn_monthly_income,Monthly income,-0.2762633626252944,0.546647247883318,0.3560177249612648,0.35717336376241693,0.7642291498294369,0.15142387659160733
treat_GD_huge,0.7024018875727747,0.3434107886877165,2.045369309033298,0.040978028878342954,bn_monthly_income,Monthly income,-0.2762633626252944,0.546647247883318,0.3560177249612648,0.35717336376241693,0.7642291498294369,0.15142387659160733
treat_combined,1.0584196125340395,0.3210946477593328,3.296285440819142,0.00100068869187,bn_monthly_income,Monthly income,-0.2762633626252944,0.546647247883318,0.3560177249612648,0.35717336376241693,0.7642291498294369,0.15142387659160733
treat_HD,1.5260910454043817,0.3568263384787327,4.276845290935099,2.0051254762781775e-5,bn_tot_prod_assetval,Productive assets,-0.8961789866591627,0.1856465886746623,0.3765387948143113,0.4852064429921078,2.824129167007685,8.71119595059776e-5
treat_GD_lower,3.9736814175977555,0.46684351502893984,8.511805968540497,3.8121151023920396e-17,bn_tot_prod_assetval,Productive assets,-0.8961789866591627,0.1856465886746623,0.3765387948143113,0.4852064429921078,2.824129167007685,8.71119595059776e-5
treat_GD_middle,3.7830631086407656,0.5044308443427296,7.499666507447764,1.0434155830613904e-13,bn_tot_prod_assetval,Productive assets,-0.8961789866591627,0.1856465886746623,0.3765387948143113,0.4852064429921078,2.824129167007685,8.71119595059776e-5
treat_GD_upper,3.8646125075933035,0.4592909206350332,8.414301990228639,8.495285275762076e-17,bn_tot_prod_assetval,Productive assets,-0.8961789866591627,0.1856465886746623,0.3765387948143113,0.4852064429921078,2.824129167007685,8.71119595059776e-5
treat_GD_huge,4.036436372571673,0.4706879596198224,8.575609998250068,2.2465006123670493e-17,bn_tot_prod_assetval,Productive assets,-0.8961789866591627,0.1856465886746623,0.3765387948143113,0.4852064429921078,2.824129167007685,8.71119595059776e-5
treat_combined,4.4129751673859845,0.4418642790459466,9.987173384810108,7.694683755828644e-23,bn_tot_prod_assetval,Productive assets,-0.8961789866591627,0.1856465886746623,0.3765387948143113,0.4852064429921078,2.824129167007685,8.71119595059776e-5
treat_HD,0.053159540111556325,0.058762967684102156,0.9046435571009837,0.3657899348323187,hh_month_consumption_pc,HH consumption per capita,-0.04584311060862861,0.6835039729925145,-0.08378443433735311,0.3125405092604209,0.06453466473406289,0.5815010776617517
treat_GD_lower,0.20147863918297232,0.07933235818901863,2.539677929438652,0.011189042295526138,hh_month_consumption_pc,HH consumption per capita,-0.04584311060862861,0.6835039729925145,-0.08378443433735311,0.3125405092604209,0.06453466473406289,0.5815010776617517
treat_GD_middle,0.27083737654347334,0.08801884572614277,3.077038494530394,0.002126014207153498,hh_month_consumption_pc,HH consumption per capita,-0.04584311060862861,0.6835039729925145,-0.08378443433735311,0.3125405092604209,0.06453466473406289,0.5815010776617517
treat_GD_upper,0.2346180763805683,0.07524670677392059,3.117984645965709,0.0018532339790664552,hh_month_consumption_pc,HH consumption per capita,-0.04584311060862861,0.6835039729925145,-0.08378443433735311,0.3125405092604209,0.06453466473406289,0.5815010776617517
treat_GD_huge,0.36193824038375416,0.07493351958820202,4.830124654130618,1.4944865573707788e-6,hh_month_consumption_pc,HH consumption per capita,-0.04584311060862861,0.6835039729925145,-0.08378443433735311,0.3125405092604209,0.06453466473406289,0.5815010776617517
treat_combined,0.27815380604640105,0.06658188677305533,4.177619763081956,3.1041425037559805e-5,hh_month_consumption_pc,HH consumption per capita,-0.04584311060862861,0.6835039729925145,-0.08378443433735311,0.3125405092604209,0.06453466473406289,0.5815010776617517
