term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,q.value
treat_HD,-0.012484163393272038,0.041526670034562625,-0.3006300139857464,0.7637393859319787,bn_employed,Employed,0.475103734439834,1578,0.17641560743570595,0.632
treat_any,0.03414225123207935,0.04245142934845483,0.8042662345201357,0.42137398979096363,bn_employed,Employed,0.475103734439834,1578,0.17641560743570595,0.401
treat_tau,-0.004366334635292173,0.011528800298515938,-0.37873278417826667,0.7049412962774585,bn_employed,Employed,0.475103734439834,1578,0.17641560743570595,0.632
treat_HD,-1.616218058533892,2.1353186193100457,-0.7568978436839169,0.44923302449320757,bn_productive_hrs,Productive hours,18.635062239476753,1578,0.1965286475907474,0.401
treat_any,4.591621001219983,2.1091796134797747,2.176970122352272,0.02964231993227744,bn_productive_hrs,Productive hours,18.635062239476753,1578,0.1965286475907474,0.06999999999999995
treat_tau,-0.5291986153251073,0.5530521305623604,-0.9568693186065514,0.3387914159448716,bn_productive_hrs,Productive hours,18.635062239476753,1578,0.1965286475907474,0.358
treat_HD,-0.6522779580104072,0.326577067299466,-1.997317090891378,0.045975800790537286,bn_monthly_income,Monthly income,8.052206556687258,1578,0.2309628044127603,0.09299999999999997
treat_any,0.914049369901935,0.3282292641504947,2.7847893827128067,0.005425324490067168,bn_monthly_income,Monthly income,8.052206556687258,1578,0.2309628044127603,0.025000000000000022
treat_tau,-0.010645353683605873,0.08979280262441879,-0.11855464327283301,0.9056444875873942,bn_monthly_income,Monthly income,8.052206556687258,1578,0.2309628044127603,0.733
treat_HD,-2.293166743785897,0.4352542693326229,-5.268568065517241,1.5805568363476637e-7,bn_tot_prod_assetval,Productive assets,5.606797100139101,1578,0.2730313721861073,0.0010000000000000009
treat_any,3.83362900169251,0.4402533102446692,8.707780072254277,8.220134759531858e-18,bn_tot_prod_assetval,Productive assets,5.606797100139101,1578,0.2730313721861073,0.0010000000000000009
treat_tau,0.03424276212528825,0.11915196773948089,0.28738729854766754,0.7738565132766404,bn_tot_prod_assetval,Productive assets,5.606797100139101,1578,0.2730313721861073,0.632
treat_HD,-0.1346201284306197,0.07660168167021805,-1.7574043479904258,0.07906227633274472,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1548,0.31484697435398934,0.128
treat_any,0.18828221666071265,0.07548212999898193,2.4943945893319666,0.012729057889367195,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1548,0.31484697435398934,0.040000000000000036
treat_tau,0.031376459570791666,0.019725586483747927,1.5906477405192991,0.11190928822972172,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1548,0.31484697435398934,0.14500000000000002
