term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,joint_p,q.value
treat_HD,0.044535272463096125,0.029527575072591947,1.5082604092482557,0.13168085297495313,employed_enterp_0,enterp,0.21991701244813278,1770,0.1227978106419717,2.10000259928777e-4,0.121
treat_GD_lower,0.09598251392976169,0.044841563451940444,2.1404809855176494,0.0324632963705836,employed_enterp_0,enterp,0.21991701244813278,1770,0.1227978106419717,2.10000259928777e-4,0.05599999999999994
treat_GD_middle,0.08289170245227609,0.043146561709724134,1.921165885938819,0.05488428421207313,employed_enterp_0,enterp,0.21991701244813278,1770,0.1227978106419717,2.10000259928777e-4,0.07299999999999995
treat_GD_upper,0.14515370355452506,0.0463573390997882,3.131191443971128,0.0017717682518338558,employed_enterp_0,enterp,0.21991701244813278,1770,0.1227978106419717,2.10000259928777e-4,0.014000000000000012
treat_GD_huge,0.16942301833755927,0.04171283163049502,4.061652295350266,5.103045622977065e-5,employed_enterp_0,enterp,0.21991701244813278,1770,0.1227978106419717,2.10000259928777e-4,0.0020000000000000018
treat_combined,0.11708441792676477,0.04049158969727699,2.8915737515397812,0.003883772880570382,employed_enterp_0,enterp,0.21991701244813278,1770,0.1227978106419717,2.10000259928777e-4,0.018000000000000016
treat_HD,0.03948320523842441,0.019867300921738194,1.9873462124501822,0.04705044457649129,employed_semploy_0,semploy,0.07261410788381743,1770,0.09121483409036246,0.026514126794192305,0.07299999999999995
treat_GD_lower,0.042802863335099195,0.030069054178726393,1.423485523711014,0.15478601420746751,employed_semploy_0,semploy,0.07261410788381743,1770,0.09121483409036246,0.026514126794192305,0.124
treat_GD_middle,0.10566133923262046,0.03340138334415586,3.1633821313304287,0.001588111284599049,employed_semploy_0,semploy,0.07261410788381743,1770,0.09121483409036246,0.026514126794192305,0.014000000000000012
treat_GD_upper,0.06587239143378266,0.029656332985552182,2.2211913882230157,0.026474367355474832,employed_semploy_0,semploy,0.07261410788381743,1770,0.09121483409036246,0.026514126794192305,0.04999999999999993
treat_GD_huge,0.047839528140394605,0.028964262432501157,1.6516743090517394,0.09879275350836289,employed_semploy_0,semploy,0.07261410788381743,1770,0.09121483409036246,0.026514126794192305,0.10299999999999998
treat_combined,0.04030416695949241,0.027404002930753228,1.470740134619618,0.14155359051034802,employed_semploy_0,semploy,0.07261410788381743,1770,0.09121483409036246,0.026514126794192305,0.121
treat_HD,0.006277253169101543,0.025897752442034867,0.24238602107080454,0.8085114277614898,employed_agroprocess_0,agroprocess,0.17427385892116182,1770,0.08812116587722296,0.05736248570189717,0.267
treat_GD_lower,0.12563954530005195,0.04361537738316967,2.880624973075065,0.0040205445655721395,employed_agroprocess_0,agroprocess,0.17427385892116182,1770,0.08812116587722296,0.05736248570189717,0.018000000000000016
treat_GD_middle,0.006692771777938828,0.0354229864559408,0.18893866518745714,0.850164309552607,employed_agroprocess_0,agroprocess,0.17427385892116182,1770,0.08812116587722296,0.05736248570189717,0.267
treat_GD_upper,0.0671954216392539,0.03706817424817091,1.8127523948004964,0.0700531231351163,employed_agroprocess_0,agroprocess,0.17427385892116182,1770,0.08812116587722296,0.05736248570189717,0.08099999999999996
treat_GD_huge,0.056606844414138394,0.03838112996203262,1.474861330818947,0.14044211874256862,employed_agroprocess_0,agroprocess,0.17427385892116182,1770,0.08812116587722296,0.05736248570189717,0.121
treat_combined,0.016459734085055657,0.035434320389921226,0.4645138922923265,0.6423413801806406,employed_agroprocess_0,agroprocess,0.17427385892116182,1770,0.08812116587722296,0.05736248570189717,0.267
treat_HD,-0.019402906676989205,0.02698535572484237,-0.7190161536068669,0.47223358819922323,employed_farm_0,farm,0.21784232365145229,1770,0.15366998501368,0.0016772347350021382,0.254
treat_GD_lower,-0.08486939596971846,0.03202685646546336,-2.6499446194864187,0.008128016038932564,employed_farm_0,farm,0.21784232365145229,1770,0.15366998501368,0.0016772347350021382,0.02300000000000002
treat_GD_middle,-0.07568819048770173,0.034234555042696686,-2.2108711619971357,0.027182559021788545,employed_farm_0,farm,0.21784232365145229,1770,0.15366998501368,0.0016772347350021382,0.04999999999999993
treat_GD_upper,-0.08457008684049878,0.03111214833268019,-2.7182335959637474,0.006632394897177701,employed_farm_0,farm,0.21784232365145229,1770,0.15366998501368,0.0016772347350021382,0.02300000000000002
treat_GD_huge,-0.1102544847900335,0.03405091517562486,-3.2379301472918556,0.0012281082286216738,employed_farm_0,farm,0.21784232365145229,1770,0.15366998501368,0.0016772347350021382,0.014000000000000012
treat_combined,-0.08817479458292005,0.03339109811213723,-2.6406677099028872,0.00835296259274447,employed_farm_0,farm,0.21784232365145229,1770,0.15366998501368,0.0016772347350021382,0.02300000000000002
treat_HD,0.06708347487046325,0.0300484289335466,2.2325118900166547,0.02571593845508158,employed_noagric_0,noagric,0.2987551867219917,1770,0.20595821413919546,0.00419537453136966,0.04999999999999993
treat_GD_lower,-0.04743178181043085,0.04124284462813055,-1.1500608708759872,0.25028678030085866,employed_noagric_0,noagric,0.2987551867219917,1770,0.20595821413919546,0.00419537453136966,0.17099999999999993
treat_GD_middle,0.01289839018564714,0.04363878391389139,0.2955717146265673,0.7675946628476779,employed_noagric_0,noagric,0.2987551867219917,1770,0.20595821413919546,0.00419537453136966,0.267
treat_GD_upper,-0.05589977184370689,0.039899331088098275,-1.4010202757604988,0.16139754686384433,employed_noagric_0,noagric,0.2987551867219917,1770,0.20595821413919546,0.00419537453136966,0.124
treat_GD_huge,-0.06320562509586762,0.03698780333293109,-1.7088234336856172,0.08767321291592013,employed_noagric_0,noagric,0.2987551867219917,1770,0.20595821413919546,0.00419537453136966,0.09699999999999998
treat_combined,0.012265799036610221,0.03953895348639634,0.3102206294061464,0.7564326725925749,employed_noagric_0,noagric,0.2987551867219917,1770,0.20595821413919546,0.00419537453136966,0.267
treat_HD,0.05377786645440677,0.029821496182957583,1.8033255650378734,0.07152090753774754,bn_employed_0,Employed (0 hr),0.6950207468879668,1770,0.12615496310027752,0.43289633045634823,0.942
treat_GD_lower,0.0554139221880079,0.04211446968120534,1.3157929473521968,0.18842778183009906,bn_employed_0,Employed (0 hr),0.6950207468879668,1770,0.12615496310027752,0.43289633045634823,0.942
treat_GD_middle,0.0694325769105347,0.04096351035101287,1.694986008659238,0.09026825805021722,bn_employed_0,Employed (0 hr),0.6950207468879668,1770,0.12615496310027752,0.43289633045634823,0.942
treat_GD_upper,0.015030200763067703,0.04345867931185419,0.3458503802016811,0.7294996011697066,bn_employed_0,Employed (0 hr),0.6950207468879668,1770,0.12615496310027752,0.43289633045634823,1
treat_GD_huge,0.06442377016770309,0.04043682636903956,1.5931955089588616,0.11130939127280033,bn_employed_0,Employed (0 hr),0.6950207468879668,1770,0.12615496310027752,0.43289633045634823,0.942
treat_combined,0.05287772181848407,0.03942686264494694,1.3411597644648254,0.18005463128102786,bn_employed_0,Employed (0 hr),0.6950207468879668,1770,0.12615496310027752,0.43289633045634823,0.942
treat_HD,0.023112312350587635,0.03318998833735471,0.6963639792718807,0.4862997754475774,bn_employed_10,Employed (10 hr),0.475103734439834,1770,0.1677138959016159,0.9449371951380853,1
treat_GD_lower,0.03263726643163218,0.04581510923982037,0.7123690628083318,0.4763377847408381,bn_employed_10,Employed (10 hr),0.475103734439834,1770,0.1677138959016159,0.9449371951380853,1
treat_GD_middle,0.05017624650133056,0.0461375332569691,1.087536393024467,0.27695991944524967,bn_employed_10,Employed (10 hr),0.475103734439834,1770,0.1677138959016159,0.9449371951380853,1
treat_GD_upper,0.0018915783655092146,0.04705445473220081,0.040199772290948455,0.9679387611567645,bn_employed_10,Employed (10 hr),0.475103734439834,1770,0.1677138959016159,0.9449371951380853,1
treat_GD_huge,0.015136739690206808,0.04567755239401438,0.3313824602429954,0.7403980278103339,bn_employed_10,Employed (10 hr),0.475103734439834,1770,0.1677138959016159,0.9449371951380853,1
treat_combined,0.003275854400599165,0.04306418617975144,0.07606911197452176,0.9393734091257945,bn_employed_10,Employed (10 hr),0.475103734439834,1770,0.1677138959016159,0.9449371951380853,1
treat_HD,0.04223922314787719,0.030529533628480952,1.3835528462993711,0.16668404784895424,bn_employed_20,Employed (20 hr),0.2883817427385892,1770,0.1793490168604115,0.662775675785362,0.942
