"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes"
"newloan_treated","newloan","(Intercept)",0.0673575129533679,0.0139843909345359,4.8166211362857,0.00000715835297027006,3173,0.0312750601443464,,
"newloan_treated","newloan","type",0.279439144428248,0.0340433797149669,8.2083255765994,0.00000000000403615201117053,3173,0.0312750601443464,,
"newloan_peer","newloan","(Intercept)",0.0322798368408446,0.0118653035288463,2.72052347943459,0.00805401782743925,3173,0.0312750601443464,,
"newloan_peer","newloan","type",0.314516820540771,0.0342162744106701,9.19202414517379,0.0000000000000511702586932933,3173,0.0312750601443464,,
"newloan_peer","newloan","inter_untpeer",0.178297487077209,0.0372840524160658,4.78213808648063,0.00000817179967252121,3173,0.0312750601443464,,
"newloan_saturation","newloan","(Intercept)",0.0312750601443464,0.0115754191554231,2.70185120075707,0.00847812372842975,3173,0.0312750601443464,,
"newloan_saturation","newloan","T50",0.302058273188987,0.0565519905984334,5.34124917606976,0.000000907079286868838,3173,0.0312750601443464,,
"newloan_saturation","newloan","T80",0.317983588949558,0.0385574790346921,8.24700153927211,0.00000000000339932997325479,3173,0.0312750601443464,,
"newloan_saturation","newloan","C50",0.111582082712796,0.0616586536271466,1.80967433034688,0.0742485596684973,3173,0.0312750601443464,,
"newloan_saturation","newloan","C80",0.139456647172727,0.0295275106721792,4.72293952311133,0.0000102466705302254,3173,0.0312750601443464,,
"otherloan_peer","otherloan_end","(Intercept)",0.294432323384023,0.0127831791283301,23.0327933629203,0.00000000000000000000000000000000000281201679920743,2658,0.295192307692308,,
"otherloan_peer","otherloan_end","type",0.0287333814799508,0.0189194164001914,1.5187245141272,0.1329273400828,2658,0.295192307692308,,
"otherloan_peer","otherloan_end","inter_untpeer",0.0125534805819162,0.0322290199513806,0.389508604383685,0.697975170324111,2658,0.295192307692308,,
"otherloan_saturation","otherloan_end","(Intercept)",0.295192307692308,0.0129173781803717,22.8523391953376,0.00000000000000000000000000000000000477421030467588,2658,0.295192307692308,,
"otherloan_saturation","otherloan_end","T50",0.0289835164835166,0.0247565810067734,1.17073987218133,0.245313840220463,2658,0.295192307692308,,
"otherloan_saturation","otherloan_end","T80",0.0277950831903306,0.0205433430784623,1.35299707959758,0.180015871315381,2658,0.295192307692308,,
"otherloan_saturation","otherloan_end","C50",0.00480769230769251,0.0279873220944517,0.1717810761411,0.864060309977119,2658,0.295192307692308,,
"otherloan_saturation","otherloan_end","C80",0.00693535188216043,0.0288490879717119,0.240401079193939,0.810658236667174,2658,0.295192307692308,,
"allloan_peer","allloan_end","(Intercept)",0.321192160362573,0.0164246806667109,19.5554584518381,0.000000000000000000000000000000135200611053047,2668,0.321497120921305,,
"allloan_peer","allloan_end","type",0.274202576479532,0.0342029053927809,8.01693813232038,0.00000000000943539696174291,2668,0.321497120921305,,
"allloan_peer","allloan_end","inter_untpeer",0.173302691143648,0.0405568117229192,4.27308468741669,0.0000546035060910075,2668,0.321497120921305,,
"allloan_saturation","allloan_end","(Intercept)",0.321497120921305,0.0164193458478649,19.5803854733416,0.00000000000000000000000000000012457241941592,2668,0.321497120921305,,
"allloan_saturation","allloan_end","T50",0.279595775253558,0.0484554068382783,5.77016670578619,0.000000157390810895285,2668,0.321497120921305,,
"allloan_saturation","allloan_end","T80",0.272888164654687,0.0381634590144702,7.15050919653845,0.000000000430735754758868,2668,0.321497120921305,,
"allloan_saturation","allloan_end","C50",0.0961499379022244,0.0590800805336598,1.62745102975012,0.107726804756595,2668,0.321497120921305,,
"allloan_saturation","allloan_end","C80",0.136836212412028,0.0328369280076202,4.16714414881543,0.0000799473589548285,2668,0.321497120921305,,
