"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","first_stage_F","stage"
"Table9_firststage_loanuse","loanuse","interpost",0.321897851995771,0.0342432943977108,9.40031786244521,0.0000000000000203428958174541,8612,,"Firm FE + midline/endline",,50.0943115445395,"First stage"
"Table9_firststage_loanuse","loanuse","inter4post",0.0924807084300978,0.0231579909080548,3.99346855248706,0.000147679021277876,8612,,"Firm FE + midline/endline",,50.0943115445395,"First stage"
"Table9_firststage_comploanuse","comploanuse","interpost",0.0110983610729506,0.00599376254482229,1.85165177798675,0.0679094604529125,8612,,"Firm FE + midline/endline",,58.8409097317621,"First stage"
"Table9_firststage_comploanuse","comploanuse","inter4post",0.399421432928763,0.038260605612072,10.4394958349205,0.000000000000000211205383403796,8612,,"Firm FE + midline/endline",,58.8409097317621,"First stage"
"Table9_IV_lnpart5revenue","lnpart5revenue","loanuse",0.318055668819579,0.103802359192716,3.0640504829865,0.0021943219860687,8612,,"Firm FE + midline/endline","Stata xtivreg specification uses default (non-clustered) IV standard errors.",,"IV"
"Table9_IV_lnpart5revenue","lnpart5revenue","comploanuse",-0.28782390150381,0.12081305488168,-2.38239072578452,0.017234823020959,8612,,"Firm FE + midline/endline","Stata xtivreg specification uses default (non-clustered) IV standard errors.",,"IV"
"Table9_IV_total_profit","total_profit","loanuse",40.4149363554145,12.0785173948896,3.34601797837489,0.000825372000177077,8612,,"Firm FE + midline/endline","Stata xtivreg specification uses default (non-clustered) IV standard errors.",,"IV"
"Table9_IV_total_profit","total_profit","comploanuse",-33.0857844926711,14.0578942161511,-2.35353773360016,0.0186311403548823,8612,,"Firm FE + midline/endline","Stata xtivreg specification uses default (non-clustered) IV standard errors.",,"IV"
"Table9_IV_lnlabor","lnlabor","loanuse",0.238744394461864,0.0701355693805309,3.4040415807637,0.000668768103552673,8612,,"Firm FE + midline/endline","Stata xtivreg specification uses default (non-clustered) IV standard errors.",,"IV"
"Table9_IV_lnlabor","lnlabor","comploanuse",-0.220224804625003,0.0816290926201081,-2.69787152541193,0.00699998658996214,8612,,"Firm FE + midline/endline","Stata xtivreg specification uses default (non-clustered) IV standard errors.",,"IV"
