"marketcategory","statistic","value","n"
"Entertainment suppliers and toys","Average number of employees",7.78571428571429,112
"building","Average number of employees",8.37702503681885,679
"cloth and shoes","Average number of employees",8.31489361702128,705
"daily necessities","Average number of employees",8.23076923076923,130
"electronics","Average number of employees",8.58703071672355,293
"food","Average number of employees",9.49562682215744,343
"furniture","Average number of employees",7.50431034482759,232
"hardware","Average number of employees",6.22222222222222,27
"industrial park","Average number of employees",19.8521739130435,115
"textile","Average number of employees",8.53488372093023,258
"vehicle","Average number of employees",9.8494623655914,279
"Entertainment suppliers and toys","Average number of firms",37.3333333333333,3
"building","Average number of firms",45.2666666666667,15
"cloth and shoes","Average number of firms",58.75,12
"daily necessities","Average number of firms",32.5,4
"electronics","Average number of firms",36.625,8
"food","Average number of firms",31.1818181818182,11
"furniture","Average number of firms",25.7777777777778,9
"hardware","Average number of firms",27,1
"industrial park","Average number of firms",28.75,4
"textile","Average number of firms",51.6,5
"vehicle","Average number of firms",46.5,6
