"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","sample","joint_p.value"
"A3_baseline_all_lnpart5revenue","lnpart5revenue","type",-0.00768831941211,0.0414105637025591,-0.185660824791788,0.85272262226743,3173,,,,"baseline_all",0.702817977202945
"A3_baseline_all_lnpart5revenue","lnpart5revenue","treatratio_comp",-0.0239329497383491,0.0523774239521886,-0.456932547125566,0.647750818199335,3173,,,,"baseline_all",0.702817977202945
"A3_baseline_all_total_profit","total_profit","type",1.41272695959929,4.04745313594203,0.349040967776514,0.727081720864454,3173,,,,"baseline_all",0.675467182905805
"A3_baseline_all_total_profit","total_profit","treatratio_comp",-3.88499097869529,5.12344503698302,-0.758277087126321,0.448341454707349,3173,,,,"baseline_all",0.675467182905805
"A3_baseline_all_lnlabor","lnlabor","type",0.00330458009367778,0.0379716737294985,0.0870275067993804,0.930655140898633,3173,,,,"baseline_all",0.693427101724886
"A3_baseline_all_lnlabor","lnlabor","treatratio_comp",-0.0313206625767504,0.0478579423430785,-0.654450673040274,0.512868944429465,3173,,,,"baseline_all",0.693427101724886
"A3_baseline_all_lnwage_cost","lnwage_cost","type",0.0062428185151345,0.0401948939276289,0.155313720354001,0.876583900502119,3167,,,,"baseline_all",0.764857911450645
"A3_baseline_all_lnwage_cost","lnwage_cost","treatratio_comp",-0.031669744914139,0.0508054202643403,-0.623353664812957,0.533097042110802,3167,,,,"baseline_all",0.764857911450645
"A3_baseline_all_total_fixedassets","total_fixedassets","type",1.27406704432576,2.55239954729814,0.499164421837651,0.61769817304409,3173,,,,"baseline_all",0.709547940496845
"A3_baseline_all_total_fixedassets","total_fixedassets","treatratio_comp",0.181381638218722,3.30230833145363,0.0549257125663007,0.956201106192976,3173,,,,"baseline_all",0.709547940496845
"A3_baseline_all_lnmaterial_cost","lnmaterial_cost","type",-0.0271888545271196,0.0505774992966223,-0.537568185561426,0.590912908923057,3173,,,,"baseline_all",0.839627240443825
"A3_baseline_all_lnmaterial_cost","lnmaterial_cost","treatratio_comp",0.0123552788561456,0.0635961761662434,0.194277071373731,0.845971378685585,3173,,,,"baseline_all",0.839627240443825
"A3_baseline_no_shutdown_attrition_lnpart5revenue","lnpart5revenue","type",-0.00565288673912789,0.0455637480248807,-0.124065446416767,0.901273506677937,2482,,,,"baseline_no_shutdown_attrition",0.871666200155439
"A3_baseline_no_shutdown_attrition_lnpart5revenue","lnpart5revenue","treatratio_comp",-0.0162187046146798,0.0572640685586647,-0.283226550660898,0.777026806364781,2482,,,,"baseline_no_shutdown_attrition",0.871666200155439
"A3_baseline_no_shutdown_attrition_total_profit","total_profit","type",2.06945890929694,3.8651863670859,0.535409864559049,0.592414457885103,2482,,,,"baseline_no_shutdown_attrition",0.530804513792691
"A3_baseline_no_shutdown_attrition_total_profit","total_profit","treatratio_comp",-5.14721505349593,4.80389524244818,-1.0714669645612,0.284063733180102,2482,,,,"baseline_no_shutdown_attrition",0.530804513792691
"A3_baseline_no_shutdown_attrition_lnlabor","lnlabor","type",0.0120784561606815,0.0420379616178484,0.287322593575832,0.773889319618788,2482,,,,"baseline_no_shutdown_attrition",0.954874925696228
"A3_baseline_no_shutdown_attrition_lnlabor","lnlabor","treatratio_comp",-0.0144811511775202,0.0528171114416453,-0.274175372000789,0.783972678610751,2482,,,,"baseline_no_shutdown_attrition",0.954874925696228
"A3_baseline_no_shutdown_attrition_lnwage_cost","lnwage_cost","type",0.00399470313156414,0.0442740011387486,0.090226838072423,0.928114246651262,2480,,,,"baseline_no_shutdown_attrition",0.985456882336088
