"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes"
"RCC_treated","RCC_amount","type",8.07850117787047,0.954634459583164,8.46240264718488,0.00000000000130581179609095,3173,0.718524458700882,,
"RCC_peer","RCC_amount","type",8.92898530588127,0.966136429636366,9.24195075559044,0.0000000000000410139951247454,3173,0.718524458700882,,
"RCC_peer","RCC_amount","inter_untpeer",4.322954073039,0.910532848235734,4.7477189663341,0.0000093222654778197,3173,0.718524458700882,,
"RCC_saturation","RCC_amount","T50",8.90760166742525,1.49429902170998,5.96105701603952,0.0000000710944864232464,3173,0.718524458700882,,
"RCC_saturation","RCC_amount","T80",8.9346880618922,1.09558732303664,8.15515831009064,0.00000000000511046606832421,3173,0.718524458700882,,
"RCC_saturation","RCC_amount","C50",2.40462825065872,1.33806427686179,1.79709472275756,0.0762416254866253,3173,0.718524458700882,,
"RCC_saturation","RCC_amount","C80",3.45569156917368,0.763653002909259,4.52521178599268,0.0000216008737364582,3173,0.718524458700882,,
"other_amount_peer","otherloan_amount","type",1.84064120205897,0.99481446922296,1.85023565599792,0.0681156697891684,2668,8.57687252451042,,
"other_amount_peer","otherloan_amount","inter_untpeer",0.672860362468132,1.247444459558,0.539391038464785,0.591173413783771,2668,8.57687252451042,,
"other_amount_saturation","otherloan_amount","T50",2.02353725944181,1.27168799893444,1.59122147974766,0.115657198394923,2668,8.57687252451042,,
"other_amount_saturation","otherloan_amount","T80",1.78627653773581,1.11868037822985,1.59677113543578,0.114412907757712,2668,8.57687252451042,,
"other_amount_saturation","otherloan_amount","C50",0.284459510554278,1.00177250553731,0.283956196623411,0.777206113300857,2668,8.57687252451042,,
"other_amount_saturation","otherloan_amount","C80",0.488491309791209,1.17094493148419,0.417177013757631,0.677709784451217,2668,8.57687252451042,,
"all_amount_peer","aallloan_end","type",12.3699526521716,1.75583737442224,7.04504462222302,0.000000000682969824513329,2668,9.43675735587122,,
"all_amount_peer","aallloan_end","inter_untpeer",5.81094627734883,1.51717135007456,3.83011864616562,0.000259498649323009,2668,9.43675735587122,,
"all_amount_saturation","aallloan_end","T50",12.841248113821,2.10260019852711,6.10731803545743,0.0000000384558111030783,2668,9.43675735587122,,
"all_amount_saturation","aallloan_end","T80",12.2710190142742,2.00012366174243,6.1351301666939,0.0000000341972955009952,2668,9.43675735587122,,
"all_amount_saturation","aallloan_end","C50",3.15398644950921,1.54056713902506,2.04728918955469,0.0440408216802421,2668,9.43675735587122,,
"all_amount_saturation","aallloan_end","C80",4.620273157018,1.38577663404647,3.33406773032881,0.00131816774430353,2668,9.43675735587122,,
