"outcome","bin","mean_share_competitors_treated","nonlinear_effect","nonlinear_se","nonlinear_ci_low","nonlinear_ci_high","linear_effect"
"lnpart5revenue",1,0,0,,,,0
"lnpart5revenue",2,0.406694602953294,-0.0267098894753807,0.057950364093459,-0.14029260309856,0.0868728241477989,-0.0347911395617186
"lnpart5revenue",3,0.689670545797722,-0.061619193296964,0.0367060249520343,-0.133563002202951,0.0103246156090232,-0.0589986295274509
"lnpart5revenue",4,0.864358933546133,-0.0743221278660498,0.0358538045940793,-0.144595584870445,-0.00404867086165436,-0.0739425408403447
"total_profit",1,0,0,,,,0
"total_profit",2,0.406694602953294,-6.62788045849521,3.59521062261787,-13.6744932788262,0.418732361835814,-3.85454725856607
"total_profit",3,0.689670545797722,-9.90367231402168,4.94593911136496,-19.597712972297,-0.209631655746371,-6.53652075123227
"total_profit",4,0.864358933546133,-10.0746939278757,4.56269166147753,-19.0175695843716,-1.13181827137971,-8.19217253812429
"lnlabor",1,0,0,,,,0
"lnlabor",2,0.406694602953294,-0.0118825620061673,0.0411672152848481,-0.0925703039644695,0.0688051799521349,-0.0267933964441043
"lnlabor",3,0.689670545797722,-0.0514242477814257,0.0325792444869327,-0.115279566975814,0.0124310714129624,-0.0454360992626751
"lnlabor",4,0.864358933546133,-0.0568363241080826,0.0378175541408624,-0.130958730224173,0.0172860820080076,-0.0569447231616308
