"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","sample"
"Table8_all_firms_lnpart5revenue","lnpart5revenue","interpost",0.0952802272601571,0.0405676254376167,2.34867646879345,0.0214068456573038,8220,5.45352317910244,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnpart5revenue","lnpart5revenue","localinter1",-0.122117862788355,0.0534699331235415,-2.28386039881896,0.0251364969628135,8220,5.45352317910244,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnpart5revenue","lnpart5revenue","localinter2",0.190002001432158,0.0491505922761998,3.86571132987471,0.000229767867959292,8220,5.45352317910244,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnpart5revenue","lnpart5revenue","localinter5",0.0522593943034029,0.0623562392202931,0.838078032877835,0.404580885763381,8220,5.45352317910244,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnpart5revenue","lnpart5revenue","localinter6",-0.113053662212478,0.0720608449444231,-1.56886395517109,0.120780214175576,8220,5.45352317910244,"Firm FE + Post",,"all_firms"
"Table8_all_firms_total_profit","total_profit","interpost",11.9147209908414,2.75326506930758,4.32748779754716,0.000044805643863863,8220,51.9453375166298,"Firm FE + Post",,"all_firms"
"Table8_all_firms_total_profit","total_profit","localinter1",-11.836313565952,4.78311608826329,-2.4746030302287,0.0155376969626552,8220,51.9453375166298,"Firm FE + Post",,"all_firms"
"Table8_all_firms_total_profit","total_profit","localinter2",14.6961796401041,4.98135889418775,2.95023505679376,0.00420465637148992,8220,51.9453375166298,"Firm FE + Post",,"all_firms"
"Table8_all_firms_total_profit","total_profit","localinter5",-10.3100468110631,11.6183489173584,-0.887393457056482,0.377630548716026,8220,51.9453375166298,"Firm FE + Post",,"all_firms"
"Table8_all_firms_total_profit","total_profit","localinter6",7.56853210602484,14.6760519250263,0.515706277457266,0.607537190946768,8220,51.9453375166298,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnlabor","lnlabor","interpost",0.077879403855479,0.0309889624678161,2.51313363383371,0.0140557075908683,8220,1.95637867894284,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnlabor","lnlabor","localinter1",-0.0643173851260648,0.0385879234752111,-1.66677497345465,0.0996220562616511,8220,1.95637867894284,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnlabor","lnlabor","localinter2",0.0620341984998692,0.029705408556682,2.08831325721373,0.0400751974277176,8220,1.95637867894284,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnlabor","lnlabor","localinter5",-0.0375632228799637,0.0486631031388823,-0.771903566707613,0.442534174576158,8220,1.95637867894284,"Firm FE + Post",,"all_firms"
"Table8_all_firms_lnlabor","lnlabor","localinter6",0.00181557865213185,0.0495659174820119,0.0366295782336875,0.97087515632791,8220,1.95637867894284,"Firm FE + Post",,"all_firms"
"Table8_treated_and_pure_control_lnpart5revenue","lnpart5revenue","interpost",0.0478265498852162,0.141639214779567,0.337664607641666,0.736534758966168,6967,5.45341819611406,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_lnpart5revenue","lnpart5revenue","localinter1",-0.0286748218410071,0.0677727510391348,-0.423102521313456,0.673399842153498,6967,5.45341819611406,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_lnpart5revenue","lnpart5revenue","localinter2",0.169337861672298,0.0560347363474274,3.02201585499335,0.00340809324175345,6967,5.45341819611406,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_lnpart5revenue","lnpart5revenue","localinter5",0.0852190089095685,0.0936873453052752,0.909610669742929,0.36586636950528,6967,5.45341819611406,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_lnpart5revenue","lnpart5revenue","localinter6",-0.171104543161654,0.126451413710093,-1.35312479427027,0.179975248191709,6967,5.45341819611406,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_total_profit","total_profit","interpost",-6.17789050058983,11.8349196590721,-0.522005275790287,0.603165125966045,6967,51.3594119598922,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_total_profit","total_profit","localinter1",-4.29475836175422,4.67160107898426,-0.919333284058583,0.360792317338633,6967,51.3594119598922,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_total_profit","total_profit","localinter2",17.793830255514,5.74446618591002,3.09756027447051,0.0027226972359934,6967,51.3594119598922,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_total_profit","total_profit","localinter5",-1.59979171026802,13.3613900070332,-0.11973243123851,0.905006958965001,6967,51.3594119598922,"Firm FE + Post",,"treated_and_pure_control"
"Table8_treated_and_pure_control_total_profit","total_profit","localinter6",12.4170121279516,15.0714903993671,0.82387420214746,0.412555677982331,6967,51.3594119598922,"Firm FE + Post",,"treated_and_pure_control"
