"sigma","component","treatment_share","unit","estimate","std.error","ci_bc_low","ci_bc_high"
4,"Producer Surplus",1,"Share of Profit (%)",4.04936522405219,4.57973184214302,-6.0078091091534,12.6976152760161
4,"Consumer Surplus",1,"Share of Profit (%)",21.0789352388663,7.4759921760228,6.66808052295177,36.4277853648553
4,"Spillover",1,"Share of Profit (%)",,,,
4,"Total",1,"Share of Profit (%)",25.1283004629185,9.81236579000806,6.70590521309252,44.8585068798414
4,"Producer Surplus",1,"USD",3566.12993039443,4032.5591997207,-5291.96071152359,11160.0474403872
4,"Consumer Surplus",1,"USD",18561.4861562258,6582.67552620917,5873.10781129157,32075.6623440934
4,"Spillover",1,"USD",,,,
4,"Total",1,"USD",22118.8108275329,8639.7815152791,5899.47947938743,39491.5870069606
4,"Producer Surplus",0.5,"Share of Profit (%)",2.02468261202609,2.28986592107151,-3.0039045545767,6.34880763800806
4,"Consumer Surplus",0.5,"Share of Profit (%)",10.5394676194331,3.7379960880114,3.33404026147588,18.2138926824276
4,"Spillover",0.5,"Share of Profit (%)",3.5612664757721,1.79885332024622,0.862000491797763,7.94629528531701
4,"Total",0.5,"Share of Profit (%)",16.1254167072313,6.57527935672208,4.48389563191987,30.1333721709859
4,"Producer Surplus",0.5,"USD",1778.66233565352,2016.33249226595,-2663.32674184015,5538.53412401866
4,"Consumer Surplus",0.5,"USD",9280.74307811292,3291.48151257603,2932.15127610209,16009.7420783947
4,"Spillover",0.5,"USD",3134.67223511214,1583.94194756491,735.950386484176,6991.40365432791
4,"Total",0.5,"USD",14202.882907966,5789.61593118127,3947.47602376907,26534.6540370877
6,"Producer Surplus",1,"Share of Profit (%)",4.04936522405219,4.57973184214302,-6.0078091091534,12.6976152760161
6,"Consumer Surplus",1,"Share of Profit (%)",12.6473611433198,4.48559530561368,4.00084831377106,21.8566712189132
6,"Spillover",1,"Share of Profit (%)",,,,
6,"Total",1,"Share of Profit (%)",16.696726367372,7.26260151548319,3.30231393846236,31.4499943666237
6,"Producer Surplus",1,"USD",3566.12993039443,4032.5591997207,-5291.96071152359,11160.0474403872
6,"Consumer Surplus",1,"USD",11138.652745553,3949.66793705156,3522.10363495746,19246.3762921678
6,"Spillover",1,"USD",,,,
6,"Total",1,"USD",14695.97741686,6394.69675178272,2902.44003408097,27688.189195352
6,"Producer Surplus",0.5,"Share of Profit (%)",2.02468261202609,2.28986592107151,-3.0039045545767,6.34880763800806
6,"Consumer Surplus",0.5,"Share of Profit (%)",6.32368057165989,2.24279765280684,2.00042415688553,10.9283356094566
6,"Spillover",0.5,"Share of Profit (%)",2.36631569870825,1.29523059552579,0.390016174218544,5.36505498842045
6,"Total",0.5,"Share of Profit (%)",10.7146788823942,4.84389843594654,1.92690710766328,20.3924275446827
6,"Producer Surplus",0.5,"USD",1778.66233565352,2016.33249226595,-2663.32674184015,5538.53412401866
6,"Consumer Surplus",0.5,"USD",5564.92374323279,1974.72525763459,1761.05181747873,9588.70701469451
6,"Spillover",0.5,"USD",2086.8464037123,1140.50739741622,345.312451603064,4726.39188397193
6,"Total",0.5,"USD",9430.43248259861,4265.19798751594,1653.31964441637,17936.3380811689
8,"Producer Surplus",1,"Share of Profit (%)",4.04936522405219,4.57973184214302,-6.0078091091534,12.6976152760161
8,"Consumer Surplus",1,"Share of Profit (%)",9.03382938808555,3.20399664686691,2.85774879555076,15.6119080135094
8,"Spillover",1,"Share of Profit (%)",,,,
8,"Total",1,"Share of Profit (%)",13.0831946121377,6.28980043651846,1.31383758973072,25.3635029452596
8,"Producer Surplus",1,"USD",3566.12993039443,4032.5591997207,-5291.96071152359,11160.0474403872
8,"Consumer Surplus",1,"USD",7951.14895591647,2821.23631996965,2518.30409899459,13700.5428770302
8,"Spillover",1,"USD",,,,
8,"Total",1,"USD",11517.2788863109,5538.00899800339,1154.36615066284,22327.230341072
8,"Producer Surplus",0.5,"Share of Profit (%)",2.02468261202609,2.28986592107151,-3.0039045545767,6.34880763800806
8,"Consumer Surplus",0.5,"Share of Profit (%)",4.51691469404278,1.60199832343346,1.42887439777538,7.8059540067547
8,"Spillover",0.5,"Share of Profit (%)",1.85419393710946,1.09414484866662,0.192413020942882,4.36655828834967
8,"Total",0.5,"Share of Profit (%)",8.39579124317833,4.17622657158597,0.624497497913747,16.3510429672295
8,"Producer Surplus",0.5,"USD",1778.66233565352,2016.33249226595,-2663.32674184015,5538.53412401866
8,"Consumer Surplus",0.5,"USD",3979.97710750193,1410.68935475902,1259.15204949729,6862.24025114859
8,"Spillover",0.5,"USD",1628.97293116783,963.582508173864,162.229512619675,3832.36199480999
8,"Total",0.5,"USD",7396.41763341067,3677.26871562829,550.796930384256,14397.9005426205
