"","bootstrapped_best_policy_name","bootstrapped_best_coef","Is_true","best_policy_accuracy","outcome"
"1","(Info Hubs (All), No Incentives, SMS (All))",0.00447681375429507,0,0.955,"shots_per_dollar"
"2","(Info Hubs (All), No Incentives, SMS (All))",0.0043463476858107,0,0.955,"shots_per_dollar"
"3","(Info Hubs (All), No Incentives, SMS (All))",0.00323026232540004,0,0.955,"shots_per_dollar"
"4","(Info Hubs (All), No Incentives, SMS (All))",0.0037524375533589,0,0.955,"shots_per_dollar"
"5","(Info Hubs (All), No Incentives, SMS (All))",0.00347858635678758,0,0.955,"shots_per_dollar"
"6","(Info Hubs (All), No Incentives, SMS (All))",0.00383252842964638,0,0.955,"shots_per_dollar"
"7","(Info Hubs (All), No Incentives, SMS (All))",0.00413448821777719,0,0.955,"shots_per_dollar"
"8","(Info Hubs (All), Slopes (All), SMS (All))",-0.00844196138656203,0,0.955,"shots_per_dollar"
"9","(Info Hubs (All), No Incentives, SMS (All))",0.00388944740103238,0,0.955,"shots_per_dollar"
"10","(Info Hubs (All), No Incentives, SMS (All))",0.00433937261039107,0,0.955,"shots_per_dollar"
"11","(Info Hubs (All), No Incentives, SMS (All))",0.00472429228908572,0,0.955,"shots_per_dollar"
"12","(Info Hubs (All), No Incentives, SMS (All))",0.00410125771098628,0,0.955,"shots_per_dollar"
"13","(Info Hubs (All), No Incentives, SMS (All))",0.00466709360713348,0,0.955,"shots_per_dollar"
"14","(Info Hubs (All), No Incentives, SMS (All))",0.0041344564035645,0,0.955,"shots_per_dollar"
"15","(Info Hubs (All), No Incentives, SMS (All))",0.00404128413427646,0,0.955,"shots_per_dollar"
"16","(Info Hubs (All), Slopes (All), SMS (All))",-0.00789309881367792,0,0.955,"shots_per_dollar"
"17","(Info Hubs (All), No Incentives, SMS (All))",0.00447102541054457,0,0.955,"shots_per_dollar"
"18","(Info Hubs (All), No Incentives, SMS (All))",0.00412640952045981,0,0.955,"shots_per_dollar"
