"created_month","id_village_grp","created_year","inreminders","old_sys_bug","reminder_system_type","elig_meas_rem","trmeasles_rem","trmeasles_sub","injpal_data","id_district","id_phc","id_sc","district","final_phc","has_hra","final_sc","final_village_name","village_population","inctreat","inctreat_arm","trtreat_arm_server_first","trtreat_arm_server_second","commtreat_arm","vil_added_later","vil_phc_surv","baseline","endline","samp_endl","serveronly","missingfromserver","vil_other","missing_commtreat","num_main_ever","BCG_ever","Penta1_ever","Penta2_ever","Penta3_ever","Measles1_ever","fully_immunized","reminder_control_first","reminder_control_second","trfrac33_first","trfrac33_second","trfrac66_first","trfrac66_second","trfrac100_second","communication_control","random","gossip","trusted","trustgossip","seedsrisk","anyseed","incentive_control","highslope","highflat","lowslope","lowflat","flat","slope","nchildren","nchildren_m5","nchildren_9mo","nchildren_9mo_m5","nkidsvillage","nkidsvillage_9mo","nkidsvillage_m5","nkidsvillage_9mo_m5","shot_BCG","shot_Penta1","shot_Measles1","shot_Penta3","shot_Penta2","hist_BCG","hist_NR_BCG","hist_Penta1","hist_NR_Penta1","hist_Penta2","hist_NR_Penta2","hist_Penta3","hist_NR_Penta3","hist_Measles1","hist_NR_Measles1","num_main_any","num_main_shots","num_shots_hist","first_implementation"
3,"1_01_01_V01Y_0",2017,0,NA,"Old System",NA,NA,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,69,22,20,15,8,4,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,22,21,22,21,162,91,159,89,3,5,3,3,7,19,19,15,15,8,8,5,5,1,1,179,21,48,1
4,"1_01_01_V01Y_0",2017,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,75,20,16,16,14,6,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,32,32,32,32,162,91,159,89,4,6,6,9,7,17,17,11,11,8,8,5,5,1,1,207,32,42,1
5,"1_01_01_V01Y_0",2017,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,49,12,14,10,8,3,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,26,26,26,26,162,91,159,89,2,9,3,5,6,11,11,6,6,5,5,3,3,0,0,129,25,25,1
6,"1_01_01_V01Y_0",2017,0,NA,"Old System",NA,NA,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,57,13,12,11,12,9,8,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,24,24,24,24,162,91,159,89,3,4,9,5,3,10,10,8,8,8,8,7,7,0,0,165,24,33,1
7,"1_01_01_V01Y_0",2017,0,NA,"Old System",NA,NA,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,51,10,10,13,10,8,7,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,23,23,22,22,162,91,159,89,2,3,8,4,7,8,8,7,7,6,6,6,6,0,0,141,24,27,1
8,"1_01_01_V01Y_0",2017,0,NA,"Old System",NA,NA,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,27,9,6,6,4,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,20,20,16,16,162,91,159,89,4,4,1,4,7,5,5,2,2,0,0,0,0,0,0,75,20,7,1
9,"1_01_01_V01Y_0",2017,0,NA,"Old System",NA,NA,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,43,14,8,7,6,7,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,29,29,17,17,162,91,159,89,6,7,7,4,5,8,8,2,2,2,2,2,2,0,0,103,29,14,1
10,"1_01_01_V01Y_0",2017,0,NA,"Old System",NA,NA,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,59,13,14,9,7,8,8,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,37,36,15,14,162,91,159,89,5,10,6,6,7,8,8,4,4,2,2,1,1,1,1,136,34,16,1
11,"1_01_01_V01Y_0",2017,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,30,6,6,6,3,7,7,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,26,26,9,9,162,91,159,89,2,6,5,3,6,5,5,1,1,0,0,0,0,0,0,89,22,6,0
12,"1_01_01_V01Y_0",2017,0,NA,"Old System",NA,NA,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,50,12,13,10,7,6,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,38,38,11,11,162,91,159,89,5,9,6,6,8,9,9,4,4,2,2,1,1,0,0,165,34,16,0
1,"1_01_01_V01Y_0",2018,0,NA,"Old System",NA,NA,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,40,11,7,9,8,4,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,33,33,6,6,162,91,159,89,5,6,4,8,8,6,6,2,2,1,1,0,0,0,0,121,31,9,0
2,"1_01_01_V01Y_0",2018,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,42,11,13,8,6,3,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,32,32,6,6,162,91,159,89,0,12,3,6,7,11,11,1,1,1,1,0,0,0,0,144,28,13,0
3,"1_01_01_V01Y_0",2018,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_01","Bhiwani","Achina",1,"Achina","Achina",4718,1,3,0,0,0,0,1,1,1,0,0,0,0,0,28,4,3,8,8,5,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,27,26,9,9,162,91,159,89,1,2,4,6,7,3,3,1,1,1,1,1,1,1,1,101,20,7,0
3,"1_01_02_V01Y_0",2017,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,78,24,22,19,10,3,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,24,23,24,23,140,83,139,82,2,3,2,7,9,22,22,19,19,10,10,3,3,1,1,228,23,55,1
4,"1_01_02_V01Y_0",2017,1,0,"Old System",1,1,1,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,64,15,17,11,13,8,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,22,22,22,22,140,83,139,82,0,7,8,5,2,15,15,10,10,9,9,8,8,0,0,193,22,42,1
5,"1_01_02_V01Y_0",2017,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,40,10,10,10,6,4,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,14,14,14,14,140,83,139,82,1,3,4,2,5,9,9,7,7,5,5,4,4,0,0,114,15,25,1
6,"1_01_02_V01Y_0",2017,1,0,"Old System",1,1,1,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,47,11,10,9,11,4,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,19,19,19,19,140,83,139,82,3,5,4,7,3,9,9,6,6,6,6,4,4,0,0,146,22,25,1
7,"1_01_02_V01Y_0",2017,1,0,"Old System",1,1,1,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,46,11,9,11,7,7,7,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,26,26,26,26,140,83,139,82,2,2,7,1,5,10,10,7,7,6,6,6,6,0,0,147,17,29,1
8,"1_01_02_V01Y_0",2017,1,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,35,8,10,5,8,4,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,27,26,25,24,140,83,139,82,1,8,4,7,3,7,7,2,2,2,2,1,1,0,0,118,23,12,1
9,"1_01_02_V01Y_0",2017,1,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,24,8,3,6,4,4,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,17,17,12,12,140,83,139,82,5,1,4,2,5,3,3,2,2,1,1,1,1,0,0,59,17,7,1
10,"1_01_02_V01Y_0",2017,0,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,36,9,11,4,6,4,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,34,34,22,22,140,83,139,82,1,10,4,5,3,8,8,1,1,1,1,1,1,0,0,124,23,11,1
11,"1_01_02_V01Y_0",2017,1,0,"Old System",1,1,1,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,33,8,4,10,4,6,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,36,36,20,20,140,83,139,82,5,3,6,4,9,3,3,2,2,1,1,0,0,0,0,123,27,6,0
12,"1_01_02_V01Y_0",2017,0,0,"Old System",0,1,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,44,12,14,5,8,5,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,36,36,9,9,140,83,139,82,2,13,5,8,5,10,10,1,1,0,0,0,0,0,0,146,33,11,0
1,"1_01_02_V01Y_0",2018,0,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,32,8,7,11,3,3,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,27,27,7,7,140,83,139,82,1,5,3,3,10,7,7,2,2,1,1,0,0,0,0,109,22,10,0
2,"1_01_02_V01Y_0",2018,0,0,"Old System",1,1,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,46,10,11,7,9,8,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,40,40,13,13,140,83,139,82,4,9,8,8,6,6,6,1,1,1,1,1,1,0,0,158,35,9,0
3,"1_01_02_V01Y_0",2018,1,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_02","Bhiwani","Achina",1,"Bass","Bass",4482,1,3,2,2,1,0,1,1,1,0,0,0,0,0,34,5,7,12,6,4,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,36,36,8,8,140,83,139,82,1,6,4,6,12,4,4,1,1,0,0,0,0,0,0,121,29,5,0
3,"1_01_03_V01Y_0",2017,1,0,"Old System",0,1,0,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,47,14,13,11,7,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,14,14,14,14,98,61,98,61,1,2,2,5,4,13,13,11,11,7,7,2,2,0,0,112,14,33,1
4,"1_01_03_V01Y_0",2017,1,0,"Old System",0,1,0,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,25,6,6,4,5,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,12,12,12,12,98,61,98,61,4,5,1,4,3,5,5,3,3,2,2,1,1,0,0,71,17,11,1
5,"1_01_03_V01Y_0",2017,1,0,"Old System",1,1,1,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,59,15,13,12,10,9,9,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,19,19,19,19,98,61,98,61,3,3,9,2,3,12,12,10,10,9,9,9,9,0,0,156,20,40,1
6,"1_01_03_V01Y_0",2017,1,0,"Old System",1,0,0,TRUE,"1","1_01","1_01_03","Bhiwani","Achina",1,"Bhagvi","Bhagvi",4260,1,2,2,2,5,0,1,1,1,0,0,0,0,0,31,9,6,7,6,3,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,16,16,16,16,98,61,98,61,4,3,3,3,4,5,5,3,3,3,3,3,3,0,0,82,17,14,1
