"study_id","estimand_id","target","k","removal_fraction","direction","position","observation_id","model_row_position"
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",1,0.000378931413414172,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",2,0.000757862826828344,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",2,0.000757862826828344,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",3,0.00113679424024252,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",3,0.00113679424024252,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",3,0.00113679424024252,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",4,0.00151572565365669,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",4,0.00151572565365669,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",4,0.00151572565365669,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",4,0.00151572565365669,"Increase",1847,2079,1847
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",5,0.00189465706707086,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",5,0.00189465706707086,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",5,0.00189465706707086,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",5,0.00189465706707086,"Increase",1847,2079,1847
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",5,0.00189465706707086,"Increase",1786,2009,1786
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",6,0.00227358848048503,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",6,0.00227358848048503,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",6,0.00227358848048503,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",6,0.00227358848048503,"Increase",1847,2079,1847
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",6,0.00227358848048503,"Increase",1786,2009,1786
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",6,0.00227358848048503,"Increase",1217,1373,1217
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",7,0.0026525198938992,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",7,0.0026525198938992,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",7,0.0026525198938992,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",7,0.0026525198938992,"Increase",1847,2079,1847
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",7,0.0026525198938992,"Increase",1786,2009,1786
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",7,0.0026525198938992,"Increase",1217,1373,1217
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",7,0.0026525198938992,"Increase",1144,1285,1144
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",8,0.00303145130731338,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",8,0.00303145130731338,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",8,0.00303145130731338,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",8,0.00303145130731338,"Increase",1847,2079,1847
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",8,0.00303145130731338,"Increase",1786,2009,1786
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",8,0.00303145130731338,"Increase",1217,1373,1217
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",8,0.00303145130731338,"Increase",1144,1285,1144
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",8,0.00303145130731338,"Increase",2235,2517,2235
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",9,0.00341038272072755,"Increase",84,95,84
