"study_id","estimand_id","target","k","removal_fraction","direction","position","observation_id","model_row_position"
"03_WbHS","table5_fu1_selfesteem_all","treatment",1,0.00157728706624606,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",2,0.00315457413249211,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",2,0.00315457413249211,"Increase",20,1067,20
"03_WbHS","table5_fu1_selfesteem_all","treatment",3,0.00473186119873817,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",3,0.00473186119873817,"Increase",20,1067,20
"03_WbHS","table5_fu1_selfesteem_all","treatment",3,0.00473186119873817,"Increase",88,1214,88
"03_WbHS","table5_fu1_selfesteem_all","treatment",4,0.00630914826498423,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",4,0.00630914826498423,"Increase",20,1067,20
"03_WbHS","table5_fu1_selfesteem_all","treatment",4,0.00630914826498423,"Increase",88,1214,88
"03_WbHS","table5_fu1_selfesteem_all","treatment",4,0.00630914826498423,"Increase",439,2066,439
"03_WbHS","table5_fu1_selfesteem_all","treatment",5,0.00788643533123028,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",5,0.00788643533123028,"Increase",20,1067,20
"03_WbHS","table5_fu1_selfesteem_all","treatment",5,0.00788643533123028,"Increase",88,1214,88
"03_WbHS","table5_fu1_selfesteem_all","treatment",5,0.00788643533123028,"Increase",439,2066,439
"03_WbHS","table5_fu1_selfesteem_all","treatment",5,0.00788643533123028,"Increase",102,1240,102
"03_WbHS","table5_fu1_selfesteem_all","treatment",6,0.00946372239747634,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",6,0.00946372239747634,"Increase",20,1067,20
"03_WbHS","table5_fu1_selfesteem_all","treatment",6,0.00946372239747634,"Increase",88,1214,88
"03_WbHS","table5_fu1_selfesteem_all","treatment",6,0.00946372239747634,"Increase",439,2066,439
"03_WbHS","table5_fu1_selfesteem_all","treatment",6,0.00946372239747634,"Increase",102,1240,102
"03_WbHS","table5_fu1_selfesteem_all","treatment",6,0.00946372239747634,"Increase",313,1746,313
"03_WbHS","table5_fu1_selfesteem_all","treatment",7,0.0110410094637224,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",7,0.0110410094637224,"Increase",20,1067,20
"03_WbHS","table5_fu1_selfesteem_all","treatment",7,0.0110410094637224,"Increase",88,1214,88
"03_WbHS","table5_fu1_selfesteem_all","treatment",7,0.0110410094637224,"Increase",439,2066,439
"03_WbHS","table5_fu1_selfesteem_all","treatment",7,0.0110410094637224,"Increase",102,1240,102
"03_WbHS","table5_fu1_selfesteem_all","treatment",7,0.0110410094637224,"Increase",313,1746,313
"03_WbHS","table5_fu1_selfesteem_all","treatment",7,0.0110410094637224,"Increase",526,2240,526
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",20,1067,20
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",88,1214,88
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",439,2066,439
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",102,1240,102
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",313,1746,313
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",526,2240,526
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",249,1572,249
"03_WbHS","table5_fu1_selfesteem_all","treatment",9,0.0141955835962145,"Increase",221,1511,221
"03_WbHS","table5_fu1_selfesteem_all","treatment",9,0.0141955835962145,"Increase",20,1067,20
"03_WbHS","table5_fu1_selfesteem_all","treatment",9,0.0141955835962145,"Increase",88,1214,88
"03_WbHS","table5_fu1_selfesteem_all","treatment",9,0.0141955835962145,"Increase",439,2066,439
"03_WbHS","table5_fu1_selfesteem_all","treatment",9,0.0141955835962145,"Increase",102,1240,102
